Gene = BTLA
index = 148
Annotated 5SS: [  291 20107 28350 29804]
Annotated 3SS: [19791 28205 29756 33177]
SMsplice 5SS: [  291 20107 28350 29804]
SMsplice 3SS: [19791 28205 29756 33177]
top_k =  500
Partition function (log Z): -22.686737043584138

Sorted 5' Splice Sites (High to Low Probability):
Position 291: 0.9671129743713011
Position 2314: 0.10991033882758217
Position 2086: 0.10331317407071404
Position 1638: 0.04217612515935367
Position 113: 0.03190872276874683
Position 10099: 0.020927670547704568
Position 2344: 0.007287395909480452
Position 117: 0.00722664187813645
Position 9522: 0.00556090665316266
Position 4179: 0.0035520090834775487
Position 539: 0.0033473779380230008
Position 3186: 0.0028813919399200876
Position 4721: 0.002612875541813211
Position 2239: 0.0024399072931485933
Position 1885: 0.0024072068859075087
Position 2603: 0.0023822402226078908
Position 2297: 0.0020360018683201774
Position 2351: 0.001473219274729947
Position 2081: 0.0012380331954103365
Position 2338: 0.0011541112451597707
Position 308: 0.001133274447213685
Position 691: 0.0005745848062662025
Position 396: 0.0003425716626647334
Position 3472: 0.00025669064777029645
Position 3167: 0.00015757957918007405
Position 392: 0.0001520449970942935
Position 1106: 0.00013018592315050943
Position 1669: 0.00011031099394772521
Position 2131: 5.4311010037951565e-05
Position 1456: 4.421679744290333e-05
Position 1847: 4.098283642192969e-05
Position 791: 3.900702748487786e-05
Position 1206: 2.5144470166066062e-05
Position 1759: 1.836569564400716e-05
Position 1232: 1.6101120519463106e-05
Position 194: 7.808559131064167e-06
Position 573: 7.089816315501264e-06
Position 369: 6.614756972084158e-06
Position 471: 1.5367045292135657e-06
Position 248: 6.486711405956787e-07
Position 90: 3.924172957692432e-07
Position 8: 9.536435741419603e-08
Position 175: 3.099842216151801e-08
Position 376: 6.697920158026112e-09
Position 335: 4.041995882314406e-09
Position 318: 3.0053790943143703e-09
Position 880: 1.6225189938276244e-09
Position 578: 1.3805293456826478e-09
Position 374: 7.859714540675995e-10
Position 381: 4.4538080120487104e-10
Position 557: 5.983786648483746e-11
Position 402: 1.2347980346103605e-11
Position 419: 3.9757582505428935e-13
Position 444: 7.192301317987356e-14

