Gene = RBM8A
index = 1124
Annotated 5SS: [ 177  519  728 1055 1496]
Annotated 3SS: [ 458  649  917 1358 1608]
SMsplice 5SS: [ 177  519  728 1055 1496]
SMsplice 3SS: [ 458  649  917 1358 1608]
top_k =  500
Partition function (log Z): 9.67570006916997

Sorted 5' Splice Sites (High to Low Probability):
Position 1055: 0.991254373109564
Position 1496: 0.9781083125145881
Position 519: 0.9626884007605211
Position 177: 0.8785493779003052
Position 728: 0.495084983421852
Position 752: 0.46765475204972007
Position 1658: 0.3384054954436204
Position 1674: 0.24795297456240137
Position 215: 0.08061505385826535
Position 3592: 0.054904503096983595
Position 747: 0.020982707771596287
Position 383: 0.019958004834628833
Position 2170: 0.015450675138638726
Position 2134: 0.013617158018763335
Position 3718: 0.01279398083696369
Position 2628: 0.009726025778861967
Position 4028: 0.00916838915852573
Position 3845: 0.008877320214963541
Position 1763: 0.008752537416738345
Position 767: 0.0074038666264382965
Position 365: 0.005773738999239942
Position 1771: 0.005402395575776996
Position 371: 0.004562223493458867
Position 199: 0.004097386098634761
Position 263: 0.003981908187753833
Position 732: 0.0036563197526986745
Position 1260: 0.003295195653425513
Position 1525: 0.0029866425691652604
Position 1102: 0.0023966579116144085
Position 367: 0.0018314094457909332
Position 63: 0.0018030883605601612
Position 3095: 0.0014449140977390608
Position 2600: 0.001365056696041422
Position 5006: 0.001087728364374024
Position 1242: 0.0009612779981333508
Position 539: 0.0008294691124353036
Position 388: 0.0007511667333512189
Position 2194: 0.000676003609762024
Position 2596: 0.0005994776848343774
Position 2568: 0.0004961798243798218
Position 3272: 0.0004902999171931924
Position 1216: 0.0004666912214871775
Position 3039: 0.0004291316599190513
Position 760: 0.0003725941132509373
Position 552: 0.00036943549945874356
Position 1227: 0.0003628020666810516
Position 1728: 0.0002345655671886813
Position 770: 0.00013356211792915767
Position 1782: 0.0001286914463466981
Position 2472: 0.00010920241059993542
Position 1774: 0.00010189777900521545
Position 773: 0.00010167514531301025
Position 1474: 9.201651597528131e-05
Position 1869: 9.090883432021412e-05
Position 1460: 8.004628529150891e-05
Position 792: 5.262570959391647e-05
Position 1467: 4.537377645225545e-05
Position 260: 4.4339279751451994e-05
Position 802: 4.005010853440795e-05
Position 674: 3.9547997934120674e-05
Position 525: 3.7274020900112034e-05
Position 1264: 2.9853737515485898e-05
Position 335: 2.971025254854803e-05
Position 1064: 2.943264147620938e-05
Position 1452: 2.6910713286162853e-05
Position 1278: 1.8995472589728998e-05
Position 635: 1.895662857810299e-05
