Gene = UBE2H
index = 1519
Annotated 5SS: [   447  72055  73382  94048  95439 113743]
Annotated 3SS: [ 71977  73306  94007  95385 113613 117887]
SMsplice 5SS: [   447  31819  43203  55849  73382  94048  95439 103976 113743]
SMsplice 3SS: [ 31709  43041  55698  73306  94007  95385 103871 113613 114364]
top_k =  500
Partition function (log Z): -66.22061499085714

Sorted 5' Splice Sites (High to Low Probability):
Position 447: 0.6741262393727977
Position 68: 0.31218740805994494
Position 3991: 0.10785815875593835
Position 2896: 0.08623561813719503
Position 7593: 0.03408820941261432
Position 678: 0.01786452948486113
Position 1154: 0.016938604343070655
Position 489: 0.01428704331168679
Position 4901: 0.009260814886189375
Position 4027: 0.009066000943889124
Position 60: 0.006940605042808234
Position 475: 0.00544626442532763
Position 7359: 0.005271099331455471
Position 3011: 0.003961325031781193
Position 3: 0.00323029127748624
Position 1238: 0.0032211688119071795
Position 3594: 0.002870760975870298
Position 1232: 0.0026277512664803705
Position 1672: 0.0024172360819106013
Position 1243: 0.002265861876258027
Position 4396: 0.0017241352597441005
Position 1479: 0.0014453189457793354
Position 2891: 0.0011520007866025808
Position 4006: 0.0007377034370031634
Position 436: 0.0006081655790067225
Position 1467: 0.0003328960836945259
Position 789: 0.0001762098440973849
Position 479: 0.0001069685761482369
Position 238: 8.696045223706805e-05
Position 2730: 7.451849035931498e-05
Position 477: 2.523839787971561e-05
Position 196: 2.238950857905746e-05
Position 228: 1.8868639959619866e-05
Position 439: 1.782906566865279e-05
Position 1016: 9.79133822822094e-06
Position 286: 4.563214878512374e-06
Position 491: 3.7553667426355944e-06
Position 407: 3.2837876336311515e-06
Position 1005: 3.1404656588172987e-06
Position 72: 1.3842353138021844e-06
Position 1150: 1.1962533827767626e-06
Position 1102: 1.1475728275257248e-06
Position 1429: 1.1218419337675143e-06
Position 221: 1.0090796303823727e-06
Position 230: 2.880491507516061e-07
Position 40: 2.2048375918458286e-07
Position 552: 2.1188693236090506e-07
Position 29: 2.067764055383848e-07
Position 26: 1.6822986996772484e-07
Position 288: 1.5804467492491447e-07
Position 693: 1.54856239085077e-07
Position 456: 5.5761387861755386e-08
Position 113: 2.545754428932148e-08
Position 396: 1.8466131924945966e-08
Position 351: 1.2099385071955166e-08
Position 576: 1.0459770031264106e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 5561: 0.13168273410736228
Position 12403: 0.12511759319295732
Position 7442: 0.10068922966748833
Position 2815: 0.08352805768890595
