Gene = PARK7
index = 998
Annotated 5SS: [  131  1213  3763  7742  9301 16076]
Annotated 3SS: [ 1099  3660  7681  9230 15988 23230]
SMsplice 5SS: [  131  1213  3763  9301 16076]
SMsplice 3SS: [ 1099  3660  9230 15988 23230]
top_k =  500
Partition function (log Z): 2.0235336244339375

Sorted 5' Splice Sites (High to Low Probability):
Position 1213: 0.9998087160771438
Position 3763: 0.9864962863079125
Position 16076: 0.8402747726806757
Position 9301: 0.7617846453638362
Position 131: 0.6296612151734117
Position 7742: 0.4702254764065363
Position 21342: 0.4676426636086934
Position 419: 0.3715219345459882
Position 3556: 0.29987524846263386
Position 9338: 0.23286415452463893
Position 3564: 0.2326269201872234
Position 18694: 0.17550212265891318
Position 3964: 0.14968943251373903
Position 3984: 0.12615574760293058
Position 7486: 0.10832029995352759
Position 73: 0.10421599094142803
Position 7713: 0.09323872011147645
Position 21575: 0.08279291760165343
Position 19323: 0.062266288864987474
Position 18741: 0.05699643804516876
Position 2687: 0.05465333380440823
Position 3521: 0.03898181683711295
Position 15754: 0.032934287058171294
Position 4016: 0.03257448739679699
Position 7090: 0.021984546341420053
Position 2296: 0.021075917545095933
Position 999: 0.019720310114477564
Position 535: 0.018297092852896026
Position 5942: 0.016193510675831385
Position 34: 0.013602005240967465
Position 6996: 0.01344937049356773
Position 21962: 0.013375992079896072
Position 8806: 0.013299163117450344
Position 18808: 0.011417092153058967
Position 4479: 0.011147622415852586
Position 4741: 0.010327470413083814
Position 2606: 0.009966706716530535
Position 17508: 0.00882534599750438
Position 4020: 0.007828522458913146
Position 17416: 0.007664882350235609
Position 2467: 0.006212558792386095
Position 6243: 0.006026040740695694
Position 46: 0.005664141899068146
Position 17831: 0.0053414544489523985
Position 9342: 0.0052453500786316335
Position 20139: 0.00510127752492187
Position 490: 0.004636536440613099
Position 3897: 0.00416565694978539
Position 17449: 0.003545788110839835
Position 846: 0.003459747724724896
Position 1923: 0.003222322676491141
Position 251: 0.00303864042785437
Position 2887: 0.002510352361142131
Position 16477: 0.002296395649910213
Position 2430: 0.002275906649456503
Position 216: 0.0018425749245975737
Position 3968: 0.0017015583854846168
Position 8614: 0.0014079963908515496
Position 517: 0.0011144891249673303
Position 342: 0.0009634716748002541
Position 158: 0.000941468793955804
Position 125: 0.0008809412064093208
Position 188: 0.0008062888723075958
Position 17437: 0.000733867833751453
Position 198: 0.0007218225023091795
Position 1573: 0.0007057489724967017
Position 66: 0.0006669902351697807
Position 80: 0.000644464563947358
Position 439: 0.0005991498462991167
Position 3071: 0.0005485465951620906
Position 934: 0.0004671653517190193
Position 160: 0.00042812316953488687
Position 4364: 0.00039359496566574863
Position 1858: 0.00033038515563165707
Position 3035: 0.00026803917174459383
Position 963: 0.0002673161918206044
Position 1682: 0.0002662040614131352
Position 2138: 0.00026042901271231136
Position 2907: 0.00023070653855988954
Position 2684: 0.00022912818285671552
Position 23473: 0.00021162217612301162
Position 3767: 0.00018078273625483766
Position 574: 0.00017223490971902098
Position 412: 0.00016855457480187134
Position 3292: 0.00016465221582861718
Position 6432: 0.00014770155877945107
Position 1816: 0.00012778369876233504
Position 104: 0.0001266273245310883
Position 664: 0.0001083891794677513
Position 986: 8.800603614419354e-05
Position 709: 8.126819049024948e-05
Position 323: 7.410400488741084e-05
Position 2925: 6.998600210095762e-05
Position 182: 6.812278059289053e-05
Position 2733: 6.328142819138095e-05
Position 525: 6.082607970380489e-05
Position 326: 5.815739602112459e-05
Position 748: 5.7060318911685755e-05
Position 206: 5.523797923726855e-05
Position 789: 4.864904426781601e-05
Position 826: 4.380648300715473e-05
Position 970: 4.2171199413551996e-05
Position 1043: 3.012134480557947e-05
Position 50: 2.6409286087560675e-05
Position 5: 1.727361302719507e-05
Position 617: 1.5652690605825753e-05
Position 3707: 1.510787990378391e-05
Position 783: 1.4945727628979486e-05
Position 281: 1.180272840610418e-05
Position 218: 1.1417432495245107e-05
Position 520: 1.0459818470526172e-05
Position 731: 7.361561761318692e-06
Position 4242: 5.82978513206086e-06
Position 714: 5.517574986625445e-06
Position 2071: 5.048415773784929e-06
Position 3995: 4.9106382048399815e-06
Position 763: 4.586108842973896e-06
Position 2150: 3.6265938076495627e-06
Position 3721: 3.304944929763545e-06
Position 3783: 2.9926454984956045e-06
Position 3988: 1.8810632495227185e-06
Position 4024: 1.6666194275186206e-06
Position 68: 6.827700728329697e-07
Position 3: 4.4199900950271407e-07
Position 77: 3.195251846287253e-07
Position 1481: 1.450565224565511e-07
Position 200: 1.3984684828771615e-07
Position 1667: 1.0468896847932232e-07
Position 1189: 6.411755569672476e-08
Position 1180: 5.8776972401800265e-08
Position 38: 5.6320241688647975e-08
Position 1637: 1.8553640544380822e-08
Position 167: 4.3435139686000706e-09
Position 1452: 2.6072507861255336e-09
Position 1195: 1.0822276085968866e-09
Position 1217: 1.0012281522158571e-09
Position 291: 6.925865378814649e-10
Position 300: 6.120349521791604e-10
Position 405: 2.787459410447902e-10
Position 622: 7.384449477329269e-11
Position 572: 6.09022990834993e-13
Position 1293: 1.3051189294394228e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 9230: 0.9999861838145478
Position 1099: 0.9921743448120725
Position 23230: 0.9747510011017256
Position 3660: 0.9135557097725029
Position 15988: 0.8378975319312599
Position 21222: 0.4737447606484753
Position 7681: 0.40277559981216055
Position 3408: 0.3306125746536372
Position 3887: 0.2950689585793345
Position 7421: 0.22555171668363827
Position 3433: 0.1582721739246432
Position 281: 0.14606432609013728
Position 18654: 0.10426600789262686
Position 3465: 0.07703541335328531
Position 21449: 0.07593135119405059
Position 19229: 0.06246523736735691
Position 18563: 0.05809599256815699
Position 3628: 0.057950091283096784
Position 18582: 0.047939890611099385
Position 7565: 0.035289321417708165
Position 18600: 0.03434847835118945
Position 2637: 0.03107676164827723
Position 17343: 0.022955935771976455
Position 3930: 0.02185849633212485
Position 5856: 0.021614233622509218
Position 15667: 0.01819902988380697
Position 2530: 0.017754353126361654
Position 6897: 0.01735382058180673
Position 905: 0.015780379618513047
Position 232: 0.015361160241817117
Position 21888: 0.013613481853242817
Position 21490: 0.012950545131443388
Position 2178: 0.011842443676120046
Position 8641: 0.009888699874873008
Position 3679: 0.009301345502316248
Position 20020: 0.008519991043430345
Position 2567: 0.008360676155169434
Position 4395: 0.007829363852379874
Position 15717: 0.007419725292118354
Position 15609: 0.007350208328545403
Position 17651: 0.00695032969518678
Position 3666: 0.006872927694869034
Position 6947: 0.006772509797807378
Position 2174: 0.006320396864567708
Position 321: 0.005871911212633246
Position 6877: 0.005760393237268661
Position 6873: 0.005547193218105013
Position 4453: 0.004718165523518541
Position 2466: 0.0046094954657477346
Position 7601: 0.004588579448027797
Position 2198: 0.003567511966338582
Position 8644: 0.0034104632425773366
Position 4191: 0.003091028412024357
Position 2112: 0.0030382610396459766
Position 1741: 0.0029841250691985044
Position 16018: 0.0029672253878734265
Position 3600: 0.0028671071251345063
Position 16358: 0.002825164147750897
Position 4364: 0.002663633024573302
Position 4678: 0.002615442020003152
Position 2571: 0.0024952555377775426
Position 7709: 0.002460417728457392
Position 995: 0.002393967264193357
Position 2338: 0.0023537036507347577
Position 23192: 0.002153483275275329
Position 3413: 0.001994025248046973
Position 3367: 0.0019570670476926995
Position 709: 0.0018714293085912862
Position 2335: 0.001557329807901279
Position 2764: 0.0015528620102154887
Position 8386: 0.0014079963908515496
Position 3604: 0.0012190871568162301
Position 7506: 0.0011253602690748012
Position 3229: 0.0011053262674763859
Position 2427: 0.0009629010278883778
Position 880: 0.0009431612440660128
Position 1136: 0.0009308566489344229
Position 4435: 0.0008265348633106702
Position 970: 0.0007292025751226875
Position 3550: 0.0007044530147210303
Position 1159: 0.00062969934110221
Position 6007: 0.000605420964159449
Position 2890: 0.0005784535845853848
Position 731: 0.0005521324981221246
Position 1409: 0.0005299114250230971
Position 1765: 0.0005127685774152297
Position 773: 0.0004872700344355536
Position 2537: 0.0004627601852771673
Position 2857: 0.00046008448065149217
Position 2362: 0.000379517900539504
Position 1051: 0.00037493348442175676
Position 2413: 0.00028529088285512717
Position 431: 0.0002792322296349771
Position 16117: 0.0002480892561579747
Position 1585: 0.0002351797589907386
Position 2017: 0.0002279746020816269
Position 19701: 0.00021826346181283378
Position 1432: 0.00021559691579019506
Position 23594: 0.00021162217612301162
Position 340: 0.00018244843324950784
Position 939: 0.00018122435622409383
Position 446: 0.00017097797241475486
Position 2037: 0.000156241714686905
Position 1845: 0.00015294076340959128
Position 20821: 0.00013491288188339514
Position 14752: 0.000124169165873674
Position 19061: 0.00010254641065817362
Position 111: 0.00010071576225903443
Position 2032: 9.660754314615604e-05
Position 6325: 7.910636667892943e-05
Position 1138: 7.788413088480994e-05
Position 4519: 7.267597281950965e-05
Position 6349: 6.859519210052169e-05
Position 15082: 6.182921728266471e-05
Position 9898: 6.107963783930251e-05
Position 4516: 5.840756751223255e-05
Position 17379: 4.887646807565443e-05
Position 2224: 4.8323651930646496e-05
Position 617: 4.653209280599966e-05
Position 1445: 4.5334342914736655e-05
Position 490: 4.442591763547545e-05
Position 18722: 4.4336870264768734e-05
Position 3099: 4.138943614974485e-05
Position 3172: 3.900907211985557e-05
Position 2924: 3.69874211200209e-05
Position 2255: 3.640967565983358e-05
Position 826: 3.593813746063955e-05
Position 1192: 3.370386562195466e-05
Position 9459: 3.0435729923294498e-05
Position 17675: 2.944931399563979e-05
Position 9428: 2.588822493829954e-05
Position 347: 2.5196645497239526e-05
Position 714: 2.4483583226892334e-05
Position 9965: 2.3810604245333037e-05
Position 13788: 2.31908952005986e-05
Position 17295: 2.1145097766889773e-05
Position 2470: 1.9751231084065282e-05
Position 2180: 1.9038325813409506e-05
Position 13844: 1.816062617157795e-05
Position 1704: 1.5186109888430395e-05
Position 2117: 1.1895837688391469e-05
Position 664: 9.294996159466433e-06
Position 12131: 7.761301048484678e-06
Position 3311: 6.4642793010490435e-06
Position 10399: 6.223864671432539e-06
Position 9747: 4.91193901751707e-06
Position 9987: 4.678807491764142e-06
Position 13808: 4.264965625548898e-06
Position 387: 3.6642439515553706e-06
Position 9577: 3.649484444951261e-06
Position 7942: 3.6116531542365134e-06
Position 3953: 3.3032306949744815e-06
Position 9398: 3.219369069778783e-06
Position 1611: 3.0507666697628266e-06
Position 1989: 2.7692180657145014e-06
Position 2271: 2.6861501986529965e-06
Position 3740: 2.6473038741598134e-06
Position 9872: 2.5826419058437553e-06
Position 2258: 2.508494387543295e-06
Position 3853: 2.4390854398708328e-06
Position 1975: 2.4081378430664883e-06
Position 1965: 2.0139586524665657e-06
Position 3826: 1.984142431013235e-06
Position 1893: 1.8862457804009317e-06
Position 1822: 1.3668620069867235e-06
Position 1898: 1.2647599963295285e-06
Position 9695: 1.168104905839503e-06
Position 4059: 1.1405877916908445e-06
Position 10831: 1.0917066075512196e-06
Position 10992: 1.0745577153500996e-06
Position 9380: 1.0383606171019818e-06
Position 1331: 1.0053271327381467e-06
Position 10402: 8.814240203156441e-07
Position 1922: 7.192528604681469e-07
Position 1591: 7.011852722801048e-07
Position 10021: 6.572307058595798e-07
Position 1654: 6.296300272987279e-07
Position 1519: 5.647888793253229e-07
Position 9610: 5.119783214611642e-07
Position 9594: 4.6555958938756314e-07
Position 3893: 3.733656015261867e-07
Position 1065: 3.585452878565878e-07
Position 6727: 1.7708479273818105e-07
Position 1165: 1.6680128378917097e-07
Position 1857: 1.5009405619168209e-07
Position 2614: 8.551934915418355e-08
Position 3842: 8.541043666202007e-08
Position 5151: 7.470972372885205e-08
Position 1293: 5.289405049089176e-08
Position 1587: 4.738460262666015e-08
Position 2643: 3.689521831141183e-08
Position 474: 3.0351774317908743e-08
Position 622: 2.0233884198730093e-08
Position 744: 1.2808136100210149e-08
Position 1162: 1.2547695745740858e-08
Position 999: 1.1615540508139127e-08
Position 115: 8.152088002027956e-09
Position 907: 5.741392229578991e-09
Position 130: 4.3401292282643365e-09
Position 1531: 2.2160524072046132e-09
Position 117: 1.504115691863634e-09
Position 1463: 1.342192277317112e-09
Position 837: 1.3335094499662077e-09
Position 135: 6.919970981454865e-10
Position 776: 5.701193454759792e-10
Position 141: 5.579642022191271e-10
Position 1777: 1.8131546545431893e-10
Position 494: 1.7975549211981286e-10
Position 506: 3.637896049369203e-12
Position 514: 3.062197000263262e-12
Position 77: 2.8390805992272816e-12
