Gene = URM1
index = 1537
Annotated 5SS: [   97  6788 16579 17991]
Annotated 3SS: [ 6716 16496 17941 18346]
SMsplice 5SS: [   97  6788 16579 17991]
SMsplice 3SS: [ 6675 16496 17941 18346]
top_k =  500
Partition function (log Z): 0.1930120386770806

Sorted 5' Splice Sites (High to Low Probability):
Position 97: 0.9950490601669951
Position 16579: 0.9933130673998777
Position 6788: 0.9871430987164599
Position 1253: 0.49571418636110653
Position 17991: 0.4178125775464591
Position 826: 0.2565016241914853
Position 12616: 0.23567472743368892
Position 2316: 0.23142006747970917
Position 13497: 0.2239558602312895
Position 3022: 0.17974474739193966
Position 18145: 0.17926125242043123
Position 13327: 0.1735736881422594
Position 14522: 0.07400885251325837
Position 13279: 0.07065414429348636
Position 13509: 0.07012931757277184
Position 12948: 0.06441888598651145
Position 659: 0.06319121276567125
Position 3881: 0.057571939894192854
Position 943: 0.05682959990842791
Position 14022: 0.053050383488309955
Position 16167: 0.05155250987082897
Position 3434: 0.04900241461112226
Position 18211: 0.048417700928098155
Position 16405: 0.040779254786151395
Position 18492: 0.03192389309689396
Position 10721: 0.02786756430599727
Position 974: 0.024476754179574456
Position 3965: 0.02433586912912001
Position 9128: 0.020597110945739648
Position 5510: 0.020517271497272276
Position 19135: 0.019920798409703375
Position 12940: 0.01791935162208404
Position 3601: 0.01789126558161709
Position 14057: 0.015195936341450148
Position 1687: 0.013171466469676619
Position 13333: 0.012886800372010721
Position 8778: 0.011888193587379909
Position 18088: 0.009917424604949812
Position 2421: 0.008819650233489369
Position 2299: 0.0066720994056884515
Position 16610: 0.006457623148270197
Position 17039: 0.005009928698515842
Position 16786: 0.004083568551181559
Position 13354: 0.0029844629507159823
Position 10873: 0.0029336042728019605
Position 18348: 0.002748634621972589
Position 2650: 0.002626321569777647
Position 978: 0.002508902282254633
Position 18205: 0.002344089194569212
Position 2233: 0.002036464320478747
Position 17179: 0.0019850398948189365
Position 1961: 0.0017888735270470205
Position 951: 0.0016822103913916666
Position 712: 0.0014376411040232385
Position 2687: 0.0012703045783517412
Position 16897: 0.0012396478107412196
Position 18596: 0.0011750931432737207
Position 588: 0.0009711712152339148
Position 717: 0.0009584556127918514
Position 16958: 0.0009549455250482754
Position 76: 0.0006558303320852079
Position 86: 0.0005741159462545179
Position 2451: 0.00052819267465808
Position 213: 0.000489750274082562
Position 617: 0.00031788360751496236
Position 517: 0.0002892828125089941
Position 918: 0.0002476308566192482
Position 8736: 0.00020036620872653307
Position 8853: 0.00019895219109847983
Position 953: 0.00016737773454242216
Position 621: 0.00015625689520702834
Position 2746: 0.0001445234657341172
Position 265: 0.00013934642944592884
Position 955: 0.00013807666975938884
Position 957: 0.0001247683741221525
Position 959: 0.00012206097703820352
Position 357: 0.00012161304333479059
Position 961: 0.0001097951126801606
Position 1716: 4.02587975362122e-05
Position 2938: 3.9854788164977987e-05
Position 908: 1.9069631201070222e-05
Position 91: 1.8740441549794395e-05
Position 654: 1.8718443955771467e-05
Position 789: 9.953947523092396e-06
Position 366: 8.450099667315185e-06
Position 25: 5.584928606296253e-06
Position 136: 3.3723415170862246e-06
Position 1204: 3.1522901316186e-06
Position 330: 2.8685923371963604e-06
Position 536: 2.8652821558640486e-06
Position 1224: 2.6728117996613965e-06
Position 1208: 2.295106065800128e-06
Position 196: 1.902082487761537e-06
Position 120: 1.4052411341370292e-06
Position 277: 1.0752533887458242e-06
Position 493: 9.954997929585397e-07
Position 759: 6.565177719116459e-07
Position 360: 5.500073666210173e-07
Position 273: 4.1484137541333343e-07
Position 508: 3.509221180623831e-07
Position 80: 2.817036369622919e-07
Position 423: 2.7671218080356397e-07
Position 35: 2.760250857990415e-07
Position 168: 1.9355642034656123e-07
Position 16648: 1.2356576289286761e-07
Position 320: 1.2097056982009156e-07
Position 239: 1.0993447366175409e-07
Position 252: 9.955646705231599e-08
Position 204: 1.5472502231809173e-08
Position 139: 6.432689919908126e-09
Position 529: 5.818905442487871e-09
Position 350: 4.643441737772175e-09
Position 101: 3.778547134659951e-09
Position 198: 3.1160101650587146e-09
Position 337: 4.247861635685616e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 16496: 0.9990788234094009
Position 18346: 0.7851111858200891
Position 17941: 0.6263187006766588
Position 13182: 0.5352372145329483
Position 6716: 0.5021408680115615
Position 6675: 0.48500223070489845
Position 1123: 0.2626395884943352
Position 576: 0.2598762489876333
Position 12499: 0.19934171571068177
Position 2876: 0.1797846021801047
Position 2117: 0.13177838347757856
Position 1005: 0.11785669072682148
Position 12787: 0.0823382376085955
Position 825: 0.07610844938254921
Position 14406: 0.07400885251325837
Position 646: 0.0665238639318376
Position 1168: 0.05971819282280005
Position 3775: 0.0545549647811295
Position 16022: 0.05155250987082899
Position 2188: 0.05107192384062743
Position 13933: 0.0493617006823259
Position 19282: 0.048271616253114644
Position 2137: 0.045992846599086
Position 16263: 0.0416425111922057
Position 3352: 0.030189706639565488
Position 10642: 0.028124363397706666
Position 19023: 0.027978848715880047
Position 18743: 0.025841995561406348
Position 16830: 0.02353762737649216
Position 12581: 0.022649051177686928
Position 8956: 0.020597110945739634
Position 5419: 0.020517271497272276
Position 3800: 0.020248616148185447
Position 13273: 0.018947059029586058
Position 13905: 0.018884619147434206
Position 1222: 0.017607385457716385
Position 16706: 0.015524276502209462
Position 17655: 0.015506742414409132
Position 18068: 0.015016331589354875
Position 18042: 0.014523583918382404
Position 2164: 0.01375322957283139
Position 12375: 0.013683960545320242
Position 18539: 0.01263462762150311
Position 8680: 0.012287511987204921
Position 3158: 0.012022596491563495
Position 18978: 0.011837696518010912
Position 1416: 0.010834408993280113
Position 973: 0.010661739065558257
Position 17859: 0.009526173392979493
Position 20285: 0.008227362226585478
Position 3239: 0.008203387806902197
Position 3448: 0.007958116148641286
Position 18109: 0.007743967249877904
Position 16771: 0.007687295424247342
Position 20011: 0.007162336973291429
Position 1147: 0.00698008483084741
Position 17787: 0.006769790790996581
Position 18491: 0.006157360333926408
Position 18925: 0.005971313622859305
Position 2237: 0.005527514536179997
Position 18892: 0.005287876969929826
Position 3600: 0.00512073760053761
Position 1065: 0.0050070416233572446
Position 3429: 0.004919472717607903
Position 846: 0.004685836498843268
Position 18981: 0.004677221129454857
Position 19666: 0.004661574631293498
Position 20387: 0.004043490276388704
Position 19772: 0.0038692887309675116
Position 3130: 0.0035804990328608156
Position 612: 0.0035722317586908583
Position 18236: 0.0030523849770813655
Position 17616: 0.00275969651704214
Position 10580: 0.002676805181092577
Position 1135: 0.0026422567537814317
Position 17817: 0.0026184123487547075
Position 2496: 0.0024232746434657156
Position 595: 0.0024149524075315625
Position 19057: 0.002307909328663106
Position 1245: 0.002296420524160099
Position 18144: 0.0021511191991125554
Position 3681: 0.0019834904934603135
Position 1506: 0.001970772218726151
Position 17394: 0.0017756320159537644
Position 17092: 0.00138483372436037
Position 16878: 0.001349347454769901
Position 16849: 0.0010940831002950013
Position 18252: 0.0010744730761937738
Position 516: 0.0010064253120462936
Position 1900: 0.0008851979736832901
Position 16725: 0.0008647701681496827
Position 539: 0.0008383562712621024
Position 2618: 0.0007425186070142822
Position 1028: 0.0006881811792893453
Position 2493: 0.0006417189301682321
Position 617: 0.0005531144045620601
Position 16653: 0.0005464524730486884
Position 18257: 0.000488901206487211
Position 16970: 0.00048307682318479304
Position 19885: 0.00044502910686126674
Position 2285: 0.0004013203883565792
Position 2412: 0.00031361161467982363
Position 2037: 0.0003074997571043348
Position 1744: 0.0002861411164373629
Position 1799: 0.0002843487132660211
Position 16798: 0.0002716959295819461
Position 1686: 0.00023656100889308938
Position 740: 0.00021875047332621688
Position 1365: 0.00021009302885554193
Position 695: 0.0002002783111433947
Position 918: 0.00017737854187131234
Position 2034: 0.00016015286291549876
Position 350: 0.0001198429134258001
Position 2282: 0.00010400047325976831
Position 2537: 0.0001031588057382682
Position 2197: 0.00010228600726205665
Position 1816: 9.759775837333574e-05
Position 490: 9.699080855522984e-05
Position 2058: 9.412976615608753e-05
Position 706: 9.2309771175087e-05
Position 1172: 6.63547962951948e-05
Position 16238: 5.788623378960186e-05
Position 1380: 5.332874204410175e-05
Position 204: 5.000084521656986e-05
Position 265: 4.803442480833751e-05
Position 288: 4.572557840089507e-05
Position 1478: 4.4008183681054385e-05
Position 759: 4.050277635126918e-05
Position 493: 3.998248868961177e-05
Position 1248: 3.701183118729266e-05
Position 1527: 3.1915837745108996e-05
Position 1393: 2.9942287603116516e-05
Position 1034: 2.6237264980841915e-05
Position 776: 2.055207613396863e-05
Position 3302: 1.990135559814728e-05
Position 1622: 1.9881902293778604e-05
Position 712: 1.729965494262619e-05
Position 654: 1.7264525751123416e-05
Position 1010: 1.423589922085457e-05
Position 862: 1.097434990224205e-05
Position 781: 9.508452134793331e-06
Position 768: 9.347062328877855e-06
Position 17751: 9.306390720529051e-06
Position 658: 8.771236429036303e-06
Position 1924: 8.301114198137841e-06
Position 1547: 7.971685180146e-06
Position 727: 6.798256540896528e-06
Position 1229: 5.836859558470942e-06
Position 742: 4.843936176019918e-06
Position 681: 4.094093609697086e-06
Position 717: 3.8140230304652906e-06
Position 234: 2.948742250381488e-06
Position 799: 2.1293049437568056e-06
Position 290: 1.6483652994609362e-06
Position 373: 1.3858226449046842e-06
Position 443: 1.3594872591977023e-06
Position 546: 4.3257619737220427e-07
Position 664: 4.1251726717140186e-07
Position 977: 3.3851959384263954e-07
Position 851: 2.0087323713300642e-07
Position 942: 1.9461436140831788e-07
Position 269: 8.647860755590487e-08
Position 1312: 8.379689121896188e-08
Position 1530: 8.02954179213674e-08
Position 370: 5.499293732309436e-08
Position 621: 2.9497720387564508e-08
Position 217: 2.7498653391163358e-08
Position 436: 1.9692080986893073e-08
Position 1838: 1.7983153657245963e-08
Position 356: 1.76771009658536e-08
Position 377: 1.6164801490392745e-08
Position 237: 1.5528911308648133e-08
Position 149: 6.499242481636988e-09
Position 450: 3.2192398960516317e-09
Position 239: 2.9738436243886085e-09
Position 453: 1.646835246631378e-10
Position 602: 1.454840493624818e-10
Position 304: 1.2911863229405046e-10
