Gene = GDA
index = 583
Annotated 5SS: [  216 46122 53276 61308 64525 70040 73761 76318 78574 81715 91832 95812
 97967]
Annotated 3SS: [46032 53103 61219 64418 70011 73652 76209 78475 81646 91684 95680 97938
 98804]
SMsplice 5SS: [   216  12785  16093  23816  27155  46122  46527  47502  48207  53276
  58705  61308  64525  76318  78574  95812  98872  99165 101375]
SMsplice 3SS: [ 12683  15865  23737  27069  46032  46427  47399  47994  53103  58562
  61219  64418  76209  78475  95680  98804  99003 101282 102344]
top_k =  500
Partition function (log Z): -45.17760212546161

Sorted 5' Splice Sites (High to Low Probability):
Position 12785: 0.9877566991767187
Position 22648: 0.9689980056143094
Position 23816: 0.9677604013478317
Position 27155: 0.9379670276677048
Position 216: 0.9079401811208381
Position 10650: 0.5164598004849599
Position 9547: 0.43769423769432103
Position 2622: 0.3212713882592492
Position 16093: 0.32083194232283574
Position 12037: 0.31658627459291994
Position 13672: 0.31235712533052995
Position 3417: 0.299764640982095
Position 16038: 0.24812912244431415
Position 15979: 0.1794674790701445
Position 9396: 0.16376755508394314
Position 4795: 0.1351551407253942
Position 12590: 0.061343810924270416
Position 13618: 0.05195598376176306
Position 3751: 0.02225721413302604
Position 198: 0.021789952088130678
Position 389: 0.021037823644375984
Position 1461: 0.02062702249611116
Position 1398: 0.01821152741711349
Position 174: 0.01435308734200427
Position 7446: 0.013350195330285523
Position 309: 0.011086343789214574
Position 6135: 0.010759620968452004
Position 1833: 0.009882307368980912
Position 1004: 0.009020563487148928
Position 7454: 0.008924719446735743
Position 5462: 0.0085604476805974
Position 140: 0.007438552127658035
Position 475: 0.007152391176516667
Position 6647: 0.007038222630257698
Position 1278: 0.0030930906483042655
Position 7465: 0.002818449120894159
Position 1510: 0.0025880247529367403
Position 2060: 0.0016347058208924191
Position 2004: 0.000989313856223334
Position 16302: 0.0009475594738531382
Position 16084: 0.0006937192199917797
Position 316: 0.0005922129917132517
Position 1522: 0.0005526701945525136
Position 95: 0.0005390840360862896
Position 2569: 0.00035597112379998313
Position 1361: 0.00012354723691286192
Position 1243: 9.906569411330403e-05
Position 1861: 9.448454743522725e-05
Position 3428: 3.820194508138736e-05
Position 262: 3.4113558703352e-05
Position 300: 3.225138477484189e-05
Position 281: 2.6456440609518735e-05
Position 759: 1.6929619053351935e-05
Position 931: 1.4657661616051362e-05
Position 46: 1.1344884165299684e-05
Position 231: 7.972456959509197e-06
Position 1239: 6.545723863789327e-06
Position 621: 4.011729895907051e-06
Position 789: 2.4793789032189175e-06
Position 953: 3.981962907853386e-07
Position 658: 6.845109280671807e-08
Position 463: 2.5938372562064107e-08
Position 592: 2.3259542905379148e-08
Position 35: 2.2921393927428805e-08
Position 771: 2.1437690014559425e-08
Position 636: 1.9859717669916356e-08
Position 393: 1.2078234245883706e-08
Position 97: 8.578152059208909e-10
Position 290: 3.5058246707904833e-10
Position 1604: 2.1846566819806015e-10
Position 144: 1.7094939800742533e-10
Position 1609: 1.3094842955830379e-10
Position 336: 5.776567942547397e-11
Position 25: 3.896591975832719e-11
Position 347: 2.9139833088801305e-11
Position 1170: 2.6939471060044687e-12
Position 1259: 2.6062685545786898e-12
Position 1180: 2.0194723580050034e-12
Position 1302: 2.507853615971637e-13
Position 1437: 9.946383862300063e-14
Position 1837: 9.214246508026904e-14
Position 419: 1.7616534522900696e-15
Position 495: 6.583967813284161e-16
Position 624: 9.183365540037929e-17
Position 672: 4.502054254917427e-17
