Gene = STIL
index = 1347
Annotated 5SS: [  112  1200  3872  9259 11914 12587 14243 18383 20690 24713 26597 31803
 33907 42072 44513 51245 53859]
Annotated 3SS: [  990  3784  9150 11800 12398 13994 18298 20602 24561 26486 31687 32937
 41905 44280 51033 53607 62224]
SMsplice 5SS: [  112   301  3872  9259 11914 12587 18383 26597 31791 42072 44513 53859]
SMsplice 3SS: [  217  3784  9150 11800 12398 18298 26486 31687 41905 44280 53607 62224]
top_k =  500
Partition function (log Z): -0.6906593189685024

Sorted 5' Splice Sites (High to Low Probability):
Position 18383: 0.9984798183129784
Position 112: 0.9860401123852288
Position 12587: 0.9514558859171602
Position 42072: 0.9513338644784336
Position 11914: 0.9172926882740758
Position 3872: 0.8847690261666525
Position 26597: 0.8223076656789898
Position 31791: 0.7940896432647682
Position 44513: 0.7225885890164975
Position 301: 0.7011560602498752
Position 14243: 0.6367715497349591
Position 33907: 0.6308744287569332
Position 9259: 0.5878475356975481
Position 32470: 0.39740734898878033
Position 33202: 0.28221556526001257
Position 12221: 0.27303404367735895
Position 32532: 0.26422070720075513
Position 31803: 0.2058285667460758
Position 16401: 0.13897398965524338
Position 16102: 0.13327592899039692
Position 24713: 0.1285729892220774
Position 3928: 0.11445809775944767
Position 18017: 0.07450584673185377
Position 44416: 0.07437842049071701
Position 11494: 0.0692511236181239
Position 26566: 0.06455253944891441
Position 33501: 0.06408818845759982
Position 26658: 0.05378915576468698
Position 5901: 0.04380824665385603
Position 6269: 0.042264795629113915
Position 33031: 0.04222883430340464
Position 1200: 0.04147112234443633
Position 5791: 0.03361205109381859
Position 47487: 0.032760328522988956
Position 12260: 0.0284985637400643
Position 1983: 0.02690446036589801
Position 42050: 0.020562901699238283
Position 42062: 0.018539510826102737
Position 6488: 0.017657394638429892
Position 11649: 0.017017077065298255
Position 9496: 0.014919072478944858
Position 11227: 0.013931741101711238
Position 14038: 0.012815137033901665
Position 4865: 0.012527535224365498
Position 4718: 0.011902215961512742
Position 514: 0.011686120920803135
Position 4767: 0.011168029081240444
Position 314: 0.011061490845077671
Position 18217: 0.010168830501174977
Position 1783: 0.00871000221496619
Position 2491: 0.008184670034994148
Position 33647: 0.00752822291616695
Position 6308: 0.0067015207790952535
Position 12643: 0.005640817835716709
Position 12753: 0.005584570675627893
Position 1086: 0.004956436460309357
Position 20640: 0.004505047956013256
Position 12028: 0.004483216332168636
