Gene = POC5
index = 1046
Annotated 5SS: [  176  4628  9745 11778 14877 22827 25086 27099 28470 32275 39708]
Annotated 3SS: [ 4529  9605 11693 14670 22649 24980 26918 28315 31996 39530 42902]
SMsplice 5SS: [  176  4628  4868 11778 14472 14877 20797 21437 25086 27099 28470 32275
 39708]
SMsplice 3SS: [ 4529  4815 11693 14334 14670 20721 21230 25008 26918 28315 32080 39530
 42902]
top_k =  500
Partition function (log Z): 0.3443913525950659

Sorted 5' Splice Sites (High to Low Probability):
Position 27099: 0.9879001311778424
Position 176: 0.9823813769586237
Position 4628: 0.9554183930139634
Position 14877: 0.9253687881514875
Position 11778: 0.9145908852787946
Position 32275: 0.8543536209969477
Position 39708: 0.8366315481498808
Position 28470: 0.809830150741023
Position 21437: 0.7552506607325096
Position 14472: 0.7513405516586509
Position 20797: 0.6933135728293884
Position 5402: 0.629356125124274
Position 4868: 0.4294370471609921
Position 28196: 0.3679116615557523
Position 16843: 0.2935256725344905
Position 25086: 0.28178924609865386
Position 5106: 0.24404294001449714
Position 27896: 0.22583810381569663
Position 9745: 0.19964145488890664
Position 2840: 0.1928586313585844
Position 358: 0.15712062417599007
Position 4153: 0.1470838767827619
Position 28415: 0.14392057627229016
Position 4875: 0.1421308237665204
Position 22827: 0.13895713818973623
Position 27437: 0.1360079791591939
Position 41266: 0.13361748863023323
Position 33472: 0.13179971945344918
Position 33423: 0.11803979211439383
Position 18397: 0.11573490549860155
Position 28154: 0.11102653908377241
Position 6632: 0.08752460065250099
Position 31352: 0.07806167062977096
Position 14434: 0.07103692301964065
Position 6872: 0.0678461415296906
Position 21681: 0.06386461680993798
Position 12815: 0.06160026586086348
Position 14882: 0.06159200969783256
Position 10016: 0.05324520354508647
Position 7514: 0.04804948162884129
Position 15278: 0.04585697604463725
Position 401: 0.04470873857693601
Position 36112: 0.043463942454110185
Position 5102: 0.042748377524740123
Position 3982: 0.03543281202545465
Position 29967: 0.03417954006414792
Position 13981: 0.030159967973249626
Position 1818: 0.029811612134091763
Position 5129: 0.029181271804568223
Position 29229: 0.0290987465027123
Position 41243: 0.027413569642126604
Position 36519: 0.026678285660311843
Position 11506: 0.024907855961801038
Position 461: 0.020722145198335706
Position 5518: 0.018121762158565334
Position 11848: 0.013059149875381974
Position 36030: 0.012460270103163012
Position 15638: 0.011501069827543866
Position 14531: 0.011134145866699573
Position 28844: 0.010980939763404784
Position 5124: 0.010626737577838857
Position 28568: 0.010185031360036902
Position 9517: 0.009406766076301035
Position 27058: 0.009130845027972366
Position 5030: 0.009046782317273471
Position 994: 0.008718964121330147
Position 29406: 0.007343986431596429
Position 28161: 0.007202800731926781
Position 836: 0.006875949641437232
Position 368: 0.005480350752488748
Position 898: 0.004094915831400956
Position 34512: 0.003705318037715232
Position 15716: 0.003673877558533652
Position 2099: 0.003429098831048676
Position 28115: 0.0026046322335120603
Position 1571: 0.0024657673212161485
Position 180: 0.002316275376649807
Position 30203: 0.0022400919969667765
Position 6861: 0.002232236846398271
Position 15084: 0.0021508981820417415
Position 6635: 0.0021274031517041145
Position 27403: 0.0020074658021650093
Position 5744: 0.0019939613972491167
Position 16505: 0.001971371576606597
Position 9477: 0.0019523200487891544
Position 1836: 0.0019369594632955326
Position 407: 0.0016110382890576023
Position 495: 0.0015406024805310616
Position 34471: 0.0011198770518064743
Position 4389: 0.0011159913319905056
Position 4385: 0.001092180754099569
Position 227: 0.0010782146973007509
Position 4886: 0.0010766999909569248
Position 6471: 0.0010510673865760393
Position 21921: 0.0007330381274715239
Position 6902: 0.0007065687929547199
Position 6954: 0.0007025865487731157
Position 5316: 0.0005955144546372902
Position 6944: 0.0004854147360124483
Position 37739: 0.00039103174555022064
Position 4682: 0.0003182542164259273
Position 1186: 0.00029799876225462834
Position 2663: 0.0002720727774035869
Position 6243: 0.00017987477299054595
Position 74: 0.00015071455246226727
Position 319: 0.00013495315612140052
Position 5609: 0.00013355590035173652
Position 5489: 0.00012930242389149038
Position 419: 9.899650453893323e-05
Position 28663: 8.743695476628262e-05
Position 28961: 6.83837210290013e-05
Position 1660: 6.266301121802e-05
Position 27520: 6.140225771186405e-05
Position 28583: 3.845006585950134e-05
Position 1537: 2.4886979017654853e-05
Position 28536: 2.3610794515219308e-05
Position 8323: 2.030961281623814e-05
Position 28564: 1.890704426997191e-05
Position 62: 1.657103613037227e-05
Position 28682: 1.5241308820528628e-05
Position 160: 1.463553351101555e-05
Position 1175: 7.8628868508175e-06
Position 438: 6.697138094153973e-06
Position 27: 4.719805630685871e-06
Position 823: 3.3479068798303174e-06
Position 487: 2.8921743622190673e-06
Position 57: 1.410589687070922e-06
Position 80: 1.014727168783431e-06
Position 611: 6.857764926178637e-07
Position 149: 3.4267326837843487e-07
Position 327: 2.997504767940685e-07
Position 295: 2.774376676599667e-07
Position 652: 2.06464660352714e-07
Position 206: 1.7241928189472965e-07
Position 682: 6.329903503134008e-08
Position 47: 3.956806380001044e-08
Position 450: 2.0705180145174582e-08
Position 83: 1.3373329760364922e-08
Position 453: 6.68686415364316e-09
Position 261: 1.0020362258594382e-09
Position 230: 5.580136460254399e-10
Position 247: 2.929048101485186e-10
Position 306: 1.0314109172095058e-10
Position 776: 9.619323364348989e-11
Position 259: 2.7192014265123634e-11
Position 391: 1.7868593902573767e-11
Position 309: 1.1939376630386108e-11
Position 343: 4.700111248722295e-12
Position 68: 3.708193737584037e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 26918: 0.9970309762058149
Position 28315: 0.9524202758276257
Position 11693: 0.9276500351541767
Position 39530: 0.8724362117032274
Position 14334: 0.8029363939322594
Position 21230: 0.7552506607325099
Position 20721: 0.6565591187648006
Position 4815: 0.655563704063949
Position 5255: 0.6383808412450411
Position 42902: 0.5891730079276146
