Gene = PIP
index = 1032
Annotated 5SS: [ 135 3223 7113]
Annotated 3SS: [3116 6997 7440]
SMsplice 5SS: [ 135 3223 3495 7113]
SMsplice 3SS: [3116 3403 6997 7440]
top_k =  500
Partition function (log Z): -5.513135012340047

Sorted 5' Splice Sites (High to Low Probability):
Position 3223: 0.9873989132292649
Position 135: 0.868427827732463
Position 7113: 0.5993931697037664
Position 3495: 0.40163070443496174
Position 5276: 0.383869113221201
Position 3815: 0.24538106441446791
Position 6064: 0.17210235805168958
Position 3468: 0.11449048219927765
Position 5533: 0.09323660125340645
Position 3833: 0.06574825078878196
Position 3612: 0.061758446126544395
Position 3658: 0.060440312850403785
Position 1197: 0.055250048817549906
Position 1048: 0.04769145976003678
Position 513: 0.046606614092518844
Position 4523: 0.04551499256879202
Position 278: 0.02917357779350512
Position 2491: 0.024091462145868735
Position 701: 0.02351609117320926
Position 394: 0.021279719612838588
Position 384: 0.020873403089965503
Position 2486: 0.019412141896623943
Position 2494: 0.01861688629153247
Position 6219: 0.018034009486249076
Position 3533: 0.017464221397779933
Position 4612: 0.015126157787828661
Position 2536: 0.014017464203928886
Position 1184: 0.011537765288183706
Position 6460: 0.006959200997639219
Position 4235: 0.006759985886520445
Position 4464: 0.005035761188301115
Position 879: 0.0041870637145207485
Position 759: 0.003934036940584754
Position 3936: 0.0026422052495691977
Position 5997: 0.002569579084061799
Position 5271: 0.0021724367727304263
Position 1800: 0.0019013243193969783
Position 7035: 0.0016185992496272775
Position 3157: 0.0012930521434518793
Position 3822: 0.0010459118564739493
Position 4379: 0.0007530428280434061
Position 5975: 0.0006451234788331753
Position 3616: 0.00041996817879376864
Position 3220: 0.0002121822760554875
Position 3505: 0.00019500699051893582
Position 3153: 0.00019148439593986435
Position 988: 0.00011609311964716837
Position 946: 0.00011046808516960872
Position 3227: 0.00010140562188039169
Position 371: 9.895141550808829e-05
Position 788: 9.626348437180994e-05
Position 391: 6.264267038870114e-05
Position 677: 5.940070058259212e-05
Position 60: 4.6111487798744024e-05
Position 923: 4.3259258555097315e-05
Position 1276: 2.72681877844763e-05
Position 837: 2.6764034500126283e-05
Position 896: 2.652080681477979e-05
Position 1716: 2.561476102306139e-05
Position 769: 2.4560981717565024e-05
Position 1427: 2.2361760445076048e-05
Position 2736: 2.164908489570632e-05
Position 1555: 2.0454377895276423e-05
Position 730: 1.8145820416297506e-05
Position 105: 1.7785976591115962e-05
Position 464: 1.4976407323540472e-05
Position 1725: 1.425045862678017e-05
Position 593: 1.3194387398778207e-05
