Gene = RPL35A
index = 1202
Annotated 5SS: [ 235  992 1325 4161]
Annotated 3SS: [ 948 1171 4015 5762]
SMsplice 5SS: [ 235 1325 4161]
SMsplice 3SS: [1171 4015 5762]
top_k =  500
Partition function (log Z): -3.402242244241875

Sorted 5' Splice Sites (High to Low Probability):
Position 235: 0.8756735048970912
Position 4161: 0.851911195487358
Position 1325: 0.7856794823763695
Position 992: 0.30610819185741217
Position 3674: 0.18973233234885198
Position 1342: 0.18844656689087577
Position 5608: 0.1547577585961241
Position 313: 0.08664825189688674
Position 3908: 0.06952505111708979
Position 897: 0.05914282534968623
Position 4101: 0.013902206781804453
Position 2639: 0.012894669701834269
Position 2051: 0.012583295568186643
Position 1040: 0.012520874379580159
Position 284: 0.010453582723348823
Position 3920: 0.009470979175047904
Position 2634: 0.008133407451566614
Position 3916: 0.005461711567512071
Position 773: 0.0052444120691999534
Position 60: 0.005159236337772662
Position 280: 0.0036075053898704927
Position 4165: 0.003139149429929061
Position 3642: 0.0028369986792286936
Position 1101: 0.0026822879659959943
Position 1255: 0.00263127361228818
Position 11: 0.0024358696332352496
Position 1090: 0.001997974539758751
Position 2020: 0.0018857708991817277
Position 2035: 0.0014645839280437386
Position 5662: 0.0012881233529355323
Position 4214: 0.0011302221157492229
Position 1107: 0.0010157482543945078
Position 246: 0.0007395950666538479
Position 4865: 0.0006135936902409849
Position 5553: 0.0005417521173197274
Position 5173: 0.0005021218831084574
Position 485: 0.00042145246262818853
Position 317: 0.00037079943974066033
Position 614: 0.0003337246820761408
Position 4840: 0.0002805188536498097
Position 616: 0.0002707536025349189
Position 436: 0.00024361788695053088
Position 1079: 0.00021404629000435347
Position 1023: 0.0001486716638517985
Position 445: 8.044441618371301e-05
Position 91: 7.747067373783722e-05
Position 811: 7.012640251954398e-05
Position 386: 6.108966892736312e-05
Position 398: 5.875345263259409e-05
Position 239: 4.582530043624498e-05
Position 14: 4.1701024330380564e-05
Position 491: 3.0284912638081508e-05
Position 908: 2.9750277674266045e-05
Position 1027: 2.784863468001313e-05
Position 744: 2.5482541257070628e-05
Position 1034: 1.9000672792910794e-05
Position 352: 1.4837679223616543e-05
Position 405: 6.487859888675593e-06
Position 918: 6.094936456537218e-06
Position 489: 5.9843023448265395e-06
Position 1346: 3.748885577149614e-06
Position 1308: 3.6531531971815636e-06
Position 2080: 1.6860812217461854e-06
Position 511: 4.763374978330539e-07
Position 78: 4.0077201316814875e-07
Position 66: 3.441235952026294e-07
Position 325: 3.4267724068086847e-07
Position 3: 3.3470436532673703e-07
Position 400: 3.013796093614547e-07
Position 167: 2.0438316112769052e-07
Position 496: 4.7575870955161375e-08
Position 469: 3.4509035891069604e-08
Position 557: 9.70832058925717e-09
Position 115: 2.2990987646085523e-09
Position 157: 8.117285250402641e-10
Position 126: 3.9063576599602204e-10
Position 229: 1.4197813385682897e-10
Position 294: 5.937618941821455e-11
Position 306: 5.5459505502573156e-11
Position 537: 2.952830805880085e-11
Position 566: 2.668733602971285e-11
Position 526: 2.3513889921455205e-11
Position 288: 7.222258898536401e-15
Position 200: 5.18516986753652e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1171: 0.9593022731345089
Position 4015: 0.8549393523880358
Position 5762: 0.7987481298112773
Position 948: 0.19360672515194735
Position 5512: 0.13918218685442482
Position 725: 0.06409233473820183
Position 3815: 0.06182914549075836
Position 744: 0.0599274869668331
Position 5713: 0.05828560886357194
Position 3565: 0.05800087834078089
Position 3527: 0.04688804898951113
Position 632: 0.0465474540499614
Position 3831: 0.03158063831025252
Position 3543: 0.030248464192790075
Position 3500: 0.030069487816018346
Position 3619: 0.028408648058306344
Position 6301: 0.024441996634044193
Position 2531: 0.021814561832883217
Position 5838: 0.01791441334776105
Position 6154: 0.01513173494160898
Position 5006: 0.011155150076191004
Position 5302: 0.009397535855892513
Position 1254: 0.009034584638641891
Position 4093: 0.008638084284236494
Position 5527: 0.00718767787587303
Position 5096: 0.006842135696161647
Position 1205: 0.005153174070753788
Position 1895: 0.004966429804181406
Position 4731: 0.004749313726908252
Position 1921: 0.004700826812687835
Position 1963: 0.004230004653307843
Position 4543: 0.004202112257378347
Position 5326: 0.003725634092836339
Position 5241: 0.0036146145382348477
Position 2552: 0.0035028311010360355
Position 5552: 0.003137130423603117
Position 5458: 0.0029781186334340588
Position 4391: 0.0028978603476695996
Position 3889: 0.0026788632604874507
Position 3981: 0.0023710535856536316
Position 4567: 0.0022580574853576156
Position 91: 0.0021923802637201224
Position 686: 0.0021500679699741547
Position 2527: 0.002149765926807486
Position 5078: 0.0020985060777177454
Position 5952: 0.0019689454594217213
Position 4782: 0.0017818335896558268
Position 6231: 0.001681400625996983
Position 5461: 0.0015442129647730567
Position 1756: 0.0014673461416270892
Position 753: 0.0014553549862605024
Position 3394: 0.001418530058308897
Position 5244: 0.0014057088232812991
Position 5892: 0.00137601376683056
Position 1225: 0.001357463885514416
Position 4295: 0.0012493967891073435
Position 772: 0.0012072024942717159
Position 873: 0.0010068605124619757
Position 3800: 0.0009207652713768165
Position 4371: 0.0009050323823157454
Position 1031: 0.0008917011428710423
Position 6351: 0.0008186173516520847
Position 5169: 0.0008132071306419745
Position 593: 0.0008008252411937987
Position 1136: 0.0007350641824781574
Position 5115: 0.0007236411694145772
Position 6582: 0.0007183396801159309
Position 5656: 0.000656449429439612
Position 4954: 0.000630851819591273
Position 860: 0.0006048904314536524
Position 1792: 0.0005902799583334739
Position 6006: 0.0005773421194194489
Position 136: 0.0005383637245048364
Position 537: 0.0004135703055796279
Position 181: 0.0004070046038598637
Position 4618: 0.00037860021949604264
Position 496: 0.00037719993025361057
Position 579: 0.0003700669268175939
Position 5779: 0.0003660594953079091
Position 1184: 0.0003546382756083548
Position 6470: 0.0003383670370435432
Position 1010: 0.0003345556705415939
Position 5217: 0.0003206876075751657
Position 5621: 0.0003175346438223321
Position 3457: 0.0003127169134327281
Position 2205: 0.00030567809411651784
Position 4983: 0.00028662133770684294
Position 652: 0.000279691246958
Position 4641: 0.00026327508202790686
Position 4136: 0.00020926108359306327
Position 4940: 0.0001904717121881363
Position 5268: 0.00018021764046155568
Position 4120: 0.0001682359204317484
Position 4235: 0.00015539871468288108
Position 1984: 0.00014796079031686446
Position 359: 0.00013627757106096598
Position 4448: 0.00011710594509938104
Position 3360: 0.00011706267117607958
Position 3218: 0.00011519854955131776
Position 760: 9.576637772499738e-05
Position 2890: 7.945422116985588e-05
Position 3244: 7.38749890522182e-05
Position 445: 6.994617422364057e-05
Position 2079: 6.879431139667606e-05
Position 2019: 5.422679397615127e-05
Position 566: 5.265257274965543e-05
Position 335: 5.203977606633065e-05
Position 2039: 5.1484524167772274e-05
Position 975: 5.116194115476607e-05
Position 2113: 4.643114640332565e-05
Position 133: 3.768202966949817e-05
Position 991: 3.642557566483708e-05
Position 325: 3.2891183502579804e-05
Position 362: 2.3402797858423847e-05
Position 3065: 2.2287196239619107e-05
Position 2768: 2.2223013822190212e-05
Position 2866: 2.1480737280595775e-05
Position 157: 2.062113042799783e-05
Position 697: 1.8589961842159936e-05
Position 1601: 1.7797384422924997e-05
Position 306: 1.5858462539409036e-05
Position 422: 1.333066170514576e-05
Position 1236: 1.3187876154122909e-05
Position 3642: 1.2087189529771607e-05
Position 1411: 1.1843420481822612e-05
Position 1269: 1.1235146627838321e-05
Position 888: 8.26070135872334e-06
Position 1812: 7.748603185043035e-06
Position 1897: 7.389484530392414e-06
Position 234: 7.3611803662836655e-06
Position 164: 4.626236950176195e-06
Position 3834: 4.017940303089045e-06
Position 364: 3.96305889258201e-06
Position 150: 2.5333360309335243e-06
Position 1278: 1.2709658135687413e-06
Position 1740: 6.633103882739158e-07
Position 1829: 6.524305201954195e-07
Position 2002: 4.4929798616898824e-07
Position 373: 4.135390204726722e-07
Position 1987: 3.6944330187338246e-07
Position 1978: 3.36960302350296e-07
Position 1742: 3.1232725596539896e-07
Position 98: 1.815282459689223e-07
Position 110: 1.5943617472526844e-07
Position 1121: 1.4573725597804748e-07
Position 511: 1.1480420250039206e-07
Position 1317: 5.562167930674605e-08
Position 283: 2.1527921761703497e-08
Position 244: 1.74703100406554e-08
Position 469: 1.3254428285621384e-08
Position 1117: 9.916016671632732e-09
Position 239: 8.4430228880031e-09
Position 607: 4.072020654150701e-09
Position 368: 2.0719711669969657e-09
Position 699: 6.816794895337924e-10
Position 507: 4.2718025857480905e-10
