Gene = MSL2
index = 887
Annotated 5SS: [875]
Annotated 3SS: [43107]
SMsplice 5SS: [  875  1149  3896 42995]
SMsplice 3SS: [ 1048  3816 42818 43107]
top_k =  500
Partition function (log Z): -27.004399677334227

Sorted 5' Splice Sites (High to Low Probability):
Position 875: 0.7917410713914
Position 3896: 0.7836640774986678
Position 1149: 0.6808856557500484
Position 1452: 0.4481329373849405
Position 1989: 0.38630819233037467
Position 265: 0.11819883810776555
Position 2471: 0.07256813288387337
Position 2905: 0.04293683901371996
Position 2984: 0.04100835251631238
Position 2021: 0.024555137785491225
Position 940: 0.02340482421355145
Position 2869: 0.020470475768242735
Position 2812: 0.020124563715364814
Position 6445: 0.01810951228826341
Position 2184: 0.014695423510710001
Position 3419: 0.014637207805208632
Position 935: 0.011376568098164975
Position 3437: 0.0085809500696097
Position 1429: 0.005994591457085729
Position 6382: 0.005274429718398476
Position 6964: 0.004386726349495737
Position 3521: 0.0037462546493638805
Position 1998: 0.0034020771362224117
Position 1119: 0.0030704321597516005
Position 252: 0.001915616313123075
Position 617: 0.0014000817278450944
Position 4766: 0.001024226182569565
Position 494: 0.0009289964202334009
Position 963: 0.0009236208220494106
Position 1128: 0.0008391332440617746
Position 514: 0.0007419264792180701
Position 2380: 0.0005050625501099395
Position 1225: 0.00043480742627443394
Position 554: 0.0004137074513167829
Position 967: 0.0003759068849459643
Position 28: 0.0003758243846559056
Position 1261: 0.00030419167686614125
Position 363: 0.0002949203605118274
Position 1232: 0.000282578304328695
Position 1556: 0.0002602989345966451
Position 997: 0.00025051588069040877
Position 1134: 0.00024046884895423656
Position 1401: 0.0002164309220010816
Position 4721: 0.00016244463297300916
Position 1094: 0.00016177359068201167
Position 1143: 0.0001245692722754199
Position 1104: 0.00011462685844125432
Position 1235: 0.0001081009613327085
Position 1131: 9.625177809629361e-05
Position 1393: 8.717669896019816e-05
Position 960: 8.509126557018973e-05
Position 522: 7.686845624482256e-05
Position 556: 6.474196854845851e-05
Position 1642: 5.966952285054633e-05
Position 468: 4.376377814835231e-05
Position 598: 4.196502433078762e-05
Position 948: 3.916884480065505e-05
Position 382: 2.7598862256644983e-05
Position 868: 2.5548185552853773e-05
Position 716: 2.5348570132062456e-05
Position 724: 2.4422950600546014e-05
Position 742: 2.4364199764703707e-05
Position 143: 2.345918143954095e-05
