Gene = SSNA1
index = 1340
Annotated 5SS: [132 619]
Annotated 3SS: [ 418 1159]
SMsplice 5SS: [158 505]
SMsplice 3SS: [ 418 1159]
top_k =  500
Partition function (log Z): -4.349087534792169

Sorted 5' Splice Sites (High to Low Probability):
Position 505: 0.6732724810730476
Position 158: 0.6609267469488581
Position 132: 0.2905833204331121
Position 619: 0.28906899811834824
Position 268: 0.01901814562752837
Position 1123: 0.015990287993119863
Position 1072: 0.01310063935371741
Position 1245: 0.011584497740444472
Position 1496: 0.011127976227684402
Position 130: 0.01088326000014947
Position 1088: 0.006978319589065556
Position 1381: 0.006887693965532224
Position 266: 0.003984682945833655
Position 1397: 0.002694692212838395
Position 324: 0.00268079520834944
Position 1321: 0.001964298240479953
Position 968: 0.0018449131545067565
Position 125: 0.0018198454511308276
Position 180: 0.0016051019716773142
Position 1485: 0.0013951177205310113
Position 47: 0.0010486880539828628
Position 894: 0.0009057888355747893
Position 56: 0.0006674838680888886
Position 199: 0.00045015962875185174
Position 1294: 0.0003870884868853516
Position 321: 0.0003594411689690042
Position 347: 0.0002387826233776918
Position 1296: 0.00020879570457104957
Position 576: 0.00010740912479626181
Position 1086: 5.4169819339972736e-05
Position 53: 2.7050157287977483e-05
Position 948: 2.5520865567641392e-05
Position 13: 2.0269067445033098e-05
Position 1323: 1.6764939599384457e-05
Position 10: 4.04565306690456e-06
Position 668: 1.2858154340129337e-06
Position 252: 1.0556646030525702e-06
Position 73: 1.029624135245685e-06
Position 959: 4.099575973947397e-07
Position 272: 3.9482916674851914e-07
Position 719: 3.8515111104276975e-07
Position 686: 3.812734435679363e-07
Position 798: 3.4680363487825766e-07
Position 863: 2.995874681990743e-07
Position 535: 2.8386872369391897e-07
Position 712: 2.549818170493361e-07
Position 848: 2.51855564725697e-07
Position 882: 2.3573609692745043e-07
Position 866: 1.9061206958786868e-07
Position 792: 1.2487567574964396e-07
Position 923: 1.1215679944057911e-07
Position 810: 6.422789656693808e-08
Position 837: 6.380138067155774e-08
Position 831: 6.18426205693113e-08
Position 786: 5.621079561397395e-08
Position 1003: 4.6753480461084465e-08
Position 880: 3.9104409372888665e-08
Position 961: 3.708089279762916e-08
Position 806: 3.217521612571062e-08
Position 670: 2.0020133609552197e-13
Position 723: 1.953115619337383e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 418: 0.9778708974435161
Position 1159: 0.7166460200250094
Position 1042: 0.15256511080151866
Position 1380: 0.03809709837244287
Position 1306: 0.029437105654628034
Position 1603: 0.026458402282106712
Position 858: 0.018472115727581975
Position 880: 0.012159430387091512
Position 396: 0.012010461498588339
Position 1011: 0.008620074102979311
Position 1355: 0.008570648973687802
Position 1548: 0.00671669188958267
Position 1122: 0.006418735741404943
Position 1657: 0.004285422734222564
Position 1058: 0.002311621368940227
Position 1358: 0.0020222098495389553
Position 1472: 0.001588092472163664
Position 746: 0.000964283469081731
Position 1720: 0.000853541663235638
Position 1671: 0.0007152012491170223
Position 1188: 0.0005872372342304505
Position 1607: 0.0004656066285278605
Position 972: 0.0003848456396699097
Position 1705: 0.00034437267586461765
Position 462: 0.0003153010197429829
Position 424: 0.00025907418144298534
Position 1419: 0.0002299613663578217
Position 1610: 0.00021095043323850863
Position 468: 0.00020536818957354026
Position 1495: 0.0002008386132385806
Position 576: 0.00018995386322469764
Position 1198: 0.00016939685772028668
Position 719: 0.00016767277311076375
Position 934: 0.00015340889617946728
Position 194: 0.0001397752310310587
Position 1108: 0.00011590977117979196
Position 298: 8.380959826911183e-05
Position 1332: 7.954580506818045e-05
Position 1205: 7.081275777533633e-05
Position 1097: 6.974764590859857e-05
Position 904: 6.166561414780856e-05
Position 779: 6.10765353052325e-05
Position 1282: 5.803823546643613e-05
Position 887: 5.439229241496546e-05
Position 1311: 5.279232480380487e-05
Position 618: 5.142899916250479e-05
Position 498: 4.121074755745444e-05
Position 683: 3.78724929693671e-05
Position 597: 2.9632252653309614e-05
Position 1067: 2.4346420455599818e-05
Position 558: 2.195112348332295e-05
Position 1396: 2.1909096374823168e-05
Position 260: 2.1350188603130303e-05
Position 771: 2.0517432021243866e-05
Position 1222: 1.8840873360199084e-05
Position 1071: 1.6881574213410246e-05
Position 243: 1.627291128471474e-05
Position 752: 1.6032784623971557e-05
Position 1552: 1.0455974725386526e-05
Position 353: 1.0121738891017016e-05
Position 441: 8.364164194892486e-06
Position 946: 6.568380231658827e-06
Position 438: 5.981418175842643e-06
Position 923: 5.607733959537624e-06
Position 543: 4.734625096684793e-06
Position 988: 4.525196008322725e-06
Position 913: 4.363622008586528e-06
Position 986: 3.711117570154215e-06
Position 513: 2.6604745072064894e-06
Position 953: 2.030812211523775e-06
Position 603: 1.9386993477920504e-06
Position 520: 1.7927969904560528e-06
Position 504: 1.7708548333699734e-06
Position 525: 1.6584512838272834e-06
Position 959: 1.5289316476732955e-06
Position 893: 1.5110107331816285e-06
Position 471: 1.3815107135268884e-06
Position 426: 1.3255438573504413e-06
Position 91: 8.447223193765573e-07
Position 477: 8.058112196331139e-07
Position 356: 7.524985800447276e-07
Position 1229: 6.358737828640805e-07
Position 281: 6.139578691582357e-07
Position 690: 4.822176607538316e-07
Position 1263: 2.985526688776351e-07
Position 1078: 2.798102554389008e-07
Position 240: 2.531156564983502e-07
Position 245: 1.7872516999345888e-07
Position 981: 1.1995119992414812e-07
