Gene = CACFD1
index = 271
Annotated 5SS: [ 201 3569 5461 8042]
Annotated 3SS: [3495 5334 7933 8575]
SMsplice 5SS: [ 201 5461 8042]
SMsplice 3SS: [5334 7933 8575]
top_k =  500
Partition function (log Z): 1.3023189721432331

Sorted 5' Splice Sites (High to Low Probability):
Position 5461: 0.9841081026305696
Position 201: 0.6678110232433754
Position 8042: 0.6634418644300571
Position 3569: 0.6073076400635296
Position 8015: 0.3217046483008387
Position 8721: 0.3161023960345758
Position 93: 0.24190914265064195
Position 2734: 0.23546934054791827
Position 2233: 0.2144577750709169
Position 2939: 0.18768142136603405
Position 632: 0.1858199111142487
Position 4817: 0.1596936902728334
Position 7328: 0.13557536122497799
Position 5694: 0.0987224613254299
Position 7219: 0.08266757903069634
Position 636: 0.06871499467052002
Position 8308: 0.06414229788860111
Position 5236: 0.06095983828050823
Position 6581: 0.0594918893972869
Position 411: 0.05776451063334048
Position 8285: 0.051290795927744805
Position 1262: 0.05075436663107722
Position 8478: 0.04644419297930287
Position 1678: 0.04606797571132296
Position 8924: 0.03167070360705993
Position 7349: 0.030880629725862512
Position 157: 0.03049316777723285
Position 1907: 0.030184633893177746
Position 2537: 0.02994535090582225
Position 6650: 0.029837098384058378
Position 5182: 0.028649975307456325
Position 10487: 0.021626731822112884
Position 678: 0.018558555681354866
Position 8711: 0.018209986193905008
Position 2850: 0.016057004717924893
Position 9884: 0.016043670657149876
Position 5791: 0.014135026522886434
Position 205: 0.012829471337581125
Position 1425: 0.012785913577543351
Position 6144: 0.012370617909628463
Position 5172: 0.012135165697344106
Position 3719: 0.01016507009713358
Position 2739: 0.00989100342241544
Position 9484: 0.008274628730234471
Position 6726: 0.007966721262285247
Position 5536: 0.007809340727290092
Position 768: 0.0072828774547006895
Position 9795: 0.007095911827311342
Position 751: 0.006976534495946971
Position 5795: 0.005526147409720918
Position 7512: 0.005481015250020971
Position 9767: 0.004618673214409667
Position 8010: 0.00399753366207386
Position 7588: 0.0037029303798789257
Position 4087: 0.0034649524296705893
Position 55: 0.002988696669226095
Position 8105: 0.0023886904891385176
Position 9209: 0.0021706696975821215
Position 5758: 0.0020628819216685916
Position 983: 0.0018086916831286885
Position 1454: 0.001629298196430043
Position 5417: 0.001447058713991159
Position 3573: 0.0014102501391219653
Position 151: 0.0013619284717615225
Position 9199: 0.0012886119204209023
Position 8715: 0.0010858603012841171
Position 9739: 0.001034881859366999
Position 185: 0.0008840432045758317
Position 307: 0.0007014947662785139
Position 746: 0.0004818723488206331
Position 314: 0.00038107836905655086
Position 46: 0.00029486151973902324
Position 8663: 0.0002076373540285613
