Gene = ACBD6
index = 23
Annotated 5SS: [   910   7494  10686  72775  89589 105439 188263]
Annotated 3SS: [  7428  10588  72691  89482 105348 188231 214436]
SMsplice 5SS: [   910   7494   8593  10686  23091  36300  72775  78892  89589 100586
 105439 111337 133663 155793 160978 188263 191441 202752 202967]
SMsplice 3SS: [  7428   8474  10588  22972  36149  72691  78730  89482 100494 105348
 111226 133529 155698 160824 188231 191214 202697 202845 214436]
top_k =  500
Partition function (log Z): -101.88587484323395

Sorted 5' Splice Sites (High to Low Probability):
Position 10686: 0.9797204086829903
Position 8593: 0.9217270248878592
Position 7494: 0.8465900228191566
Position 910: 0.6472992072534337
Position 16148: 0.3122498937050138
Position 15004: 0.25352723004684097
Position 1274: 0.22399609348099256
Position 23091: 0.21262635255274295
Position 900: 0.19811038768755596
Position 3471: 0.18711630713207544
Position 12794: 0.18458263087875845
Position 17603: 0.1623057478594828
Position 8239: 0.10254788762758829
Position 8231: 0.10047551849594792
Position 16498: 0.09625013709971186
Position 862: 0.06947532502179839
Position 6403: 0.03941489211223679
Position 1528: 0.03936732049558611
Position 10915: 0.03168454808688685
Position 7522: 0.027230343350678483
Position 9061: 0.027025065391553988
Position 7562: 0.026581153433029032
Position 11586: 0.022326243894957357
Position 14564: 0.020796133414508887
Position 14827: 0.018850052106183252
Position 5607: 0.010651811588726523
Position 7541: 0.009028948888510307
Position 543: 0.008164249875588095
Position 1903: 0.007763227047423444
Position 6206: 0.006750902753234258
Position 7100: 0.006248678024764232
Position 1265: 0.0042648001212865485
Position 1017: 0.003277221811560693
Position 891: 0.0032751029548445977
Position 3107: 0.0031318701815969455
Position 984: 0.002866775821589122
Position 14488: 0.002798582208738923
Position 769: 0.0025575572882365347
Position 17764: 0.002528382385518226
Position 2386: 0.0018163633005591317
Position 462: 0.0016130364364302296
Position 1804: 0.0015647735091108095
Position 3557: 0.001449850559370472
Position 606: 0.0013984551535602518
Position 3042: 0.0013671809875880328
Position 4608: 0.0011633334649760651
Position 15463: 0.001125940925859251
Position 4319: 0.0009043325513159004
Position 522: 0.0004265236552174443
Position 989: 0.000350112572807414
Position 142: 0.00026602702108238644
Position 486: 0.00023275966873593577
Position 1698: 0.00013092891697724833
Position 3011: 0.00011165143988641608
Position 1406: 0.00010318044497759938
Position 2522: 9.47451345646978e-05
Position 572: 8.348429846143957e-05
Position 10672: 7.969355925630482e-05
Position 1614: 7.547116427771122e-05
Position 1943: 5.74709320738954e-05
Position 1003: 5.620603660313127e-05
Position 8426: 5.500427727958741e-05
Position 734: 5.064274872779066e-05
