Gene = NASP
index = 912
Annotated 5SS: [  146  7211 18306 20957 22532 24278 29189 30122 30307 31142 31412 32334
 32644 33532]
Annotated 3SS: [ 7162 18194 20875 22421 23260 29108 30035 30232 30952 31244 32276 32565
 33402 34000]
SMsplice 5SS: [  146  7211 18306 20957 22532 29189 30122 30307 31142 32334 32644 33532]
SMsplice 3SS: [ 7108 18194 20875 22421 29108 30035 30232 30952 32276 32565 33402 34000]
top_k =  500
Partition function (log Z): 5.825412218917222

Sorted 5' Splice Sites (High to Low Probability):
Position 7211: 0.9999958875144791
Position 22532: 0.9848280543396252
Position 29189: 0.976097263053999
Position 20957: 0.9701961531581055
Position 146: 0.9483109544217205
Position 31142: 0.8321127839922573
Position 32644: 0.7926655027373763
Position 18306: 0.6961698831060684
Position 30122: 0.685348100416776
Position 32334: 0.6028432584065287
Position 33532: 0.5720863929702938
Position 31412: 0.43678154956573045
Position 30307: 0.41277072555008676
Position 7024: 0.21003611836711272
Position 621: 0.18550846219393222
Position 7028: 0.12917330316357367
Position 6990: 0.12272368429431907
Position 403: 0.09690580216686363
Position 23647: 0.07898470973616531
Position 25233: 0.07712986631958194
Position 615: 0.07191683250046194
Position 31071: 0.07024624359399542
Position 332: 0.0685356240315723
Position 658: 0.06753802276801843
Position 30291: 0.05142036023715069
Position 31167: 0.04284338302115104
Position 30474: 0.040709522221665496
Position 30470: 0.03895439711889884
Position 22020: 0.036755299307858265
Position 33466: 0.03646107186806177
Position 28093: 0.03247800952427537
Position 1790: 0.032262827080118114
Position 30406: 0.031192511265538857
Position 16020: 0.03017845941998373
Position 25555: 0.02843557046499087
Position 31083: 0.020831702171710452
Position 1150: 0.020204906959616714
Position 34517: 0.019951767135544096
Position 6994: 0.019327749032180323
Position 1734: 0.01815254782207644
Position 2610: 0.015836340665313645
Position 23627: 0.015710557506648622
Position 31371: 0.015614894541571745
Position 33539: 0.01518578589965431
Position 22507: 0.014971933087162638
Position 33508: 0.014921533623154806
Position 26683: 0.013768337830864815
Position 34179: 0.013182909321486256
Position 31668: 0.012659598431184216
Position 31934: 0.010798199244181865
Position 33666: 0.009463245415761653
Position 32049: 0.00847700754298487
Position 1230: 0.00837886620618462
Position 2634: 0.007676111484373726
Position 31382: 0.00760328173363433
Position 4696: 0.00710664769112744
Position 4889: 0.007106066666346279
Position 31673: 0.005414775161502756
