Gene = DMAP1
index = 450
Annotated 5SS: [  73  404  987 1444 5015 5301 5787 6023 6424 6855]
Annotated 3SS: [ 293  894 1247 4855 5132 5600 5950 6350 6561 7103]
SMsplice 5SS: [  73  404 5015 5301 5787 6023 6424 6855]
SMsplice 3SS: [ 293 4855 5132 5600 5950 6350 6561 7103]
top_k =  500
Partition function (log Z): 17.978583095840595

Sorted 5' Splice Sites (High to Low Probability):
Position 5301: 0.9970885363346417
Position 6424: 0.9968020615018397
Position 5787: 0.8999814851810082
Position 73: 0.7937887297644304
Position 6855: 0.7704349508619937
Position 1444: 0.7646917792766932
Position 6023: 0.5965228747012341
Position 404: 0.5915414618323331
Position 5015: 0.49786168515411466
Position 6027: 0.3923726408548627
Position 1865: 0.36489075226495216
Position 1851: 0.2521446478344479
Position 2044: 0.23736527149503897
Position 1162: 0.18476321472451576
Position 1015: 0.17618654741664663
Position 440: 0.14634142851066523
Position 3974: 0.128600122220872
Position 6665: 0.12650706164593986
Position 5795: 0.07066608309843636
Position 3722: 0.062429846350393725
Position 991: 0.04813511403369326
Position 604: 0.04802186467491571
Position 6989: 0.040998593874057895
Position 499: 0.04067231964609668
Position 6715: 0.03979089353995739
Position 208: 0.0371828898625812
Position 95: 0.033340601777052815
Position 3773: 0.019778703196516777
Position 4993: 0.018265338893485746
Position 1324: 0.018035201437923237
Position 128: 0.012014406860623503
Position 4865: 0.010222357489037031
Position 2687: 0.007676438824169866
Position 1167: 0.007301018347851403
Position 317: 0.006922216036530593
Position 3931: 0.006449655801772657
Position 6102: 0.006342862414102963
Position 1869: 0.004179024445530454
Position 1434: 0.0032329326027348364
Position 6624: 0.0031604867452291016
Position 3215: 0.00269085672803244
Position 2671: 0.0026345498381419048
Position 3197: 0.0022694642293696657
Position 2069: 0.002259315762340361
Position 802: 0.0021131576469276938
Position 6180: 0.0017670031201924262
Position 6898: 0.0016372406713710342
Position 6828: 0.0014949089174284267
Position 590: 0.0014879596376302518
Position 81: 0.0013996464388249111
Position 6420: 0.0012449263335317523
Position 6418: 0.0009231817327389647
Position 6995: 0.0008034244062995845
Position 1006: 0.0007533654470062762
Position 44: 0.0006005261176602887
Position 5193: 0.0005791107908534796
Position 806: 0.0004956673135743101
Position 639: 0.0004657781578455588
Position 110: 0.0004493552073561269
Position 6000: 0.00032103928968465117
Position 1703: 0.00031155683891490184
Position 5162: 0.00027004995022508966
Position 5816: 0.0002540740271605624
Position 6141: 0.00025393058821046225
Position 425: 0.0002512557493288871
Position 641: 0.0002042298961279096
Position 6048: 0.00016602603531885084
Position 6969: 0.00015885428487039382
Position 700: 0.00015127192244359386
Position 5389: 0.00014263718465608983
Position 5867: 0.00014202648784695788
Position 7007: 0.00011404467333565536
Position 5858: 8.520581141394722e-05
