Gene = BRK1
index = 143
Annotated 5SS: [  228 10117]
Annotated 3SS: [10033 10676]
SMsplice 5SS: [  228 10117]
SMsplice 3SS: [ 9966 10676]
top_k =  500
Partition function (log Z): -6.48034625984221

Sorted 5' Splice Sites (High to Low Probability):
Position 10117: 0.9627276354307767
Position 228: 0.9573031232337845
Position 751: 0.3544702532761723
Position 772: 0.1292184022109644
Position 1041: 0.06326197719330177
Position 10875: 0.05310807014303349
Position 842: 0.03745879599899788
Position 5296: 0.022190306806047937
Position 9917: 0.0124604896207419
Position 5898: 0.011650678245899158
Position 274: 0.009120598475343071
Position 358: 0.00653565475601759
Position 223: 0.0021160219299630194
Position 131: 0.001865268407351581
Position 591: 0.0017237244531003153
Position 10687: 0.001503556790261781
Position 1945: 0.001345889279543423
Position 3379: 0.0011925952943344976
Position 5132: 0.0008428481140115444
Position 3638: 0.0005348070989080809
Position 69: 0.00043012949431564545
Position 64: 0.000365643992788804
Position 10914: 0.00033214142261612915
Position 169: 0.00033079181615804234
Position 7700: 0.0002975638294530741
Position 11008: 0.0002929031896503502
Position 5616: 0.0002732475082642125
Position 6045: 0.0002664480630151959
Position 30: 0.00023107765981162192
Position 6058: 0.0001945482708082993
Position 492: 0.00018076352261122376
Position 5623: 0.00017894440347212214
Position 277: 0.000164512167076257
Position 760: 0.00016314356376618793
Position 5178: 0.00014023667411365185
Position 4401: 0.0001342126065072151
Position 475: 0.00012593143138253616
Position 410: 0.0001207493425116733
Position 3039: 0.0001016553370346108
Position 10: 9.469043328727804e-05
Position 794: 7.095511706387438e-05
Position 535: 5.907780028912373e-05
Position 14: 3.62193213848624e-05
Position 338: 2.871965892184831e-05
Position 532: 2.5980158381642056e-05
Position 888: 2.574984534911862e-05
Position 397: 2.497439624358018e-05
Position 519: 2.1871161772051888e-05
Position 571: 2.0389226482742687e-05
Position 1738: 1.7228122693366356e-05
Position 331: 1.6910517630342248e-05
Position 1149: 1.4070881597777669e-05
