Gene = AKNAD1
index = 49
Annotated 5SS: [  166  5423  7558  8183  8343 13961 19545 22166 22648 26536 29890 33529
 33725 36550 40047]
Annotated 3SS: [ 4326  7517  8033  8279 13826 19387 22037 22565 26443 29791 33405 33616
 36467 39916 40791]
SMsplice 5SS: [  166  8343 13961 19485 26536 26816 29890 33529 33777 39757 40086]
SMsplice 3SS: [ 8279 13826 19387 26443 26697 29791 33405 33616 39681 39916 40791]
top_k =  500
Partition function (log Z): 2.4516213524619204

Sorted 5' Splice Sites (High to Low Probability):
Position 29890: 1.0000000000000038
Position 8343: 0.9850418219994284
Position 166: 0.935536633238497
Position 13961: 0.9348244504634122
Position 33529: 0.8176939264817126
Position 19485: 0.682052917576173
Position 33777: 0.6647059155451355
Position 22166: 0.6625195976325633
Position 40086: 0.6244377098594562
Position 20999: 0.5739733040831038
Position 39757: 0.5565510162960834
Position 7192: 0.5186382258566797
Position 26816: 0.5083190800065261
Position 6047: 0.45975065709624124
Position 6752: 0.45313392032362226
Position 36550: 0.4374342186830163
Position 32185: 0.3882127561368365
Position 14875: 0.3482849603092712
Position 34299: 0.33930388682253676
Position 8183: 0.31425973819508957
Position 5423: 0.3037149361781282
Position 40047: 0.2903652154303036
Position 19545: 0.2897833935942106
Position 33982: 0.2876980571831582
Position 33725: 0.2699398129096183
Position 26536: 0.23213701864015351
Position 22648: 0.2280067012123211
Position 6732: 0.21751458453309325
Position 8893: 0.19403954731849737
Position 3559: 0.19372127773736716
Position 8682: 0.18555484871026973
Position 8666: 0.17788856539286937
Position 14765: 0.16610590267099168
Position 18677: 0.16177407832604423
Position 7558: 0.1551953908079309
Position 7874: 0.1285129420138424
Position 16485: 0.12406036830667516
Position 40221: 0.11733889108419551
Position 6269: 0.11125800520706779
Position 27220: 0.08837810725427618
Position 37061: 0.08740096604350298
Position 39772: 0.08295802931819067
Position 30523: 0.07611633570478057
Position 6589: 0.07061134556666868
Position 8974: 0.07032627760928704
Position 6747: 0.05687232977040245
Position 26845: 0.05210781554353707
Position 33986: 0.048485827430947606
Position 6966: 0.04175311102574699
Position 7741: 0.04161003177650043
Position 36825: 0.03823055787653152
Position 7934: 0.0381490027985329
Position 28040: 0.03766593293393015
Position 253: 0.03685045065067359
Position 25833: 0.03340033709786663
Position 26805: 0.031881773367736906
Position 28369: 0.030117224358857372
Position 31500: 0.0301008739458233
Position 8672: 0.030040137784976564
Position 6096: 0.028346230480800334
Position 34939: 0.028045404162668635
Position 6926: 0.02548020620787642
Position 20476: 0.02332183830318651
Position 29198: 0.022375664448691157
Position 7359: 0.021592905758582935
Position 6615: 0.02047738005678664
Position 22931: 0.01818713578402305
Position 1084: 0.012131279512510858
Position 297: 0.01200892275045328
Position 3459: 0.008280904301700451
Position 38215: 0.00788653177828366
Position 13981: 0.0078035900396629145
Position 30196: 0.007107774886467407
Position 3572: 0.0069441040080250255
Position 277: 0.006851219500148994
Position 38: 0.0065134444380466495
Position 33957: 0.006486424315337416
Position 40708: 0.006284015971498232
Position 6127: 0.005342861913261619
Position 39796: 0.004566055602656762
