Gene = SUB1
index = 1353
Annotated 5SS: [  284 56952 60053 67437]
Annotated 3SS: [56878 59929 67327 69371]
SMsplice 5SS: [  284  3365  5063  8154 39286 39542 60053 67437]
SMsplice 3SS: [ 3297  5004  8018 39195 39423 59929 67327 69371]
top_k =  500
Partition function (log Z): -33.90382390685153

Sorted 5' Splice Sites (High to Low Probability):
Position 8154: 0.9250093998337773
Position 284: 0.8780610779816121
Position 5063: 0.6677471567017961
Position 3365: 0.6373300402301966
Position 1159: 0.3216421081616339
Position 6651: 0.3200613077192117
Position 946: 0.28158075649475217
Position 6607: 0.2623127968749191
Position 12966: 0.11394404938862603
Position 6620: 0.10708027514307475
Position 6956: 0.0833595337136342
Position 14741: 0.07846899911877296
Position 1823: 0.06430168915595806
Position 7707: 0.06287174779623092
Position 345: 0.05300698597662159
Position 7737: 0.04588129859415237
Position 3445: 0.03724315236700687
Position 702: 0.03432279052201203
Position 9173: 0.03069464152269878
Position 2823: 0.023952531648450227
Position 486: 0.01593746843233208
Position 9190: 0.009782302555274935
Position 10815: 0.00835430126679246
Position 95: 0.006005946437546375
Position 414: 0.005101425026428157
Position 381: 0.004892756789677859
Position 11185: 0.004781852552665663
Position 11001: 0.004537398262130223
Position 1816: 0.004262008793610466
Position 1497: 0.0035748561143024277
Position 299: 0.0033654542820838193
Position 1577: 0.003171866515486846
Position 4823: 0.0031374147528158503
Position 2962: 0.0029752276133987246
Position 2057: 0.002523453751806624
Position 1910: 0.0022007585733719057
Position 3354: 0.0018771655054389098
Position 924: 0.0017835830411932717
Position 6898: 0.0015826009626469615
Position 8838: 0.0014638759363763867
Position 9117: 0.0013402516761318027
Position 117: 0.0013352943068260807
Position 10043: 0.0013318789413880496
Position 528: 0.001220458927136427
Position 2884: 0.0009166305971472916
Position 2873: 0.0007266636535624908
Position 5933: 0.0006631014751555743
Position 10944: 0.0005222225493576411
Position 2987: 0.0003739956587799105
Position 1364: 0.0003289360768422483
Position 2410: 0.00031405254245794737
Position 278: 0.0003021056850652741
Position 1117: 0.0002714204068337484
Position 1986: 0.0002213084171721869
