Gene = LCE6A
index = 770
Annotated 5SS: [144]
Annotated 3SS: [631]
SMsplice 5SS: [144]
SMsplice 3SS: [631]
top_k =  500
Partition function (log Z): -8.87452081420398

Sorted 5' Splice Sites (High to Low Probability):
Position 144: 0.7224376689015883
Position 41: 0.30147356814347664
Position 446: 0.029601576617961374
Position 450: 0.021977687887372983
Position 918: 0.012734915317188547
Position 369: 0.01042964033841833
Position 348: 0.010105183365755239
Position 642: 0.00357182766029691
Position 237: 0.0016893591722427126
Position 527: 0.0016164080831548825
Position 304: 0.0015016771627030003
Position 496: 0.0013428352864718073
Position 160: 0.0011340048546397655
Position 390: 0.00048327293122970595
Position 950: 0.00043525323518662194
Position 774: 0.0003948963996142909
Position 534: 0.0003732001450136006
Position 376: 0.00033167598815274027
Position 906: 0.00020437840510136235
Position 84: 0.00018328705238668177
Position 803: 0.00012821542084361518
Position 439: 8.1799795495942e-05
Position 75: 6.631151920096907e-05
Position 846: 3.7661413732454726e-05
Position 522: 2.7857786151973982e-05
Position 268: 2.5856076760844908e-05
Position 180: 1.013226077367191e-06
Position 281: 3.009167587750262e-07
Position 116: 2.685372979451715e-07
Position 566: 2.150290916175551e-07
Position 531: 1.682953076836265e-07
Position 20: 9.630590957424868e-08
Position 98: 1.945013555721586e-08
Position 604: 6.707362230236382e-09
Position 486: 4.2011219096474276e-10
Position 454: 2.6137294850180752e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 631: 0.47326573249083626
Position 560: 0.2176531993141379
Position 127: 0.20648766835740034
Position 417: 0.05292057229108847
Position 516: 0.03485230925935284
Position 1021: 0.03077190736080092
Position 347: 0.02387332062924602
Position 717: 0.019214610551460704
Position 770: 0.018306795839233808
Position 1085: 0.010481780411528594
Position 522: 0.009093085267786294
Position 486: 0.009067273014442106
Position 566: 0.006594805025596499
Position 786: 0.002061756889909129
Position 1027: 0.0014992613635318685
Position 773: 0.00119278198030317
Position 292: 0.0008368300885960422
Position 421: 0.0007650316363130157
Position 734: 0.000669258400631243
Position 496: 0.0005691017828888222
Position 664: 0.0003657109226964599
Position 795: 0.00036353401468777643
Position 975: 0.00027618445766399916
Position 446: 0.00021203185727855425
Position 586: 0.00020982319322337736
Position 971: 0.0001918989972589128
Position 645: 0.00016435680686436232
Position 228: 9.086049196971565e-05
Position 849: 7.315272510666004e-05
Position 527: 4.7522651566785684e-05
Position 832: 3.9556196573151445e-05
Position 580: 3.360620125396614e-05
Position 1090: 2.790689249831672e-05
Position 131: 2.646065475644837e-05
Position 466: 2.2839806815621212e-05
Position 872: 1.9755749947204746e-05
Position 667: 1.6675744167675712e-05
Position 1001: 1.1508272330060154e-05
Position 298: 3.5515609856725643e-06
Position 224: 2.8845441870012248e-06
Position 234: 2.2928498393312953e-06
Position 802: 2.203088860265043e-06
Position 302: 2.104378093932714e-06
Position 808: 1.8888319776974699e-06
Position 200: 1.1523823540563327e-06
Position 268: 1.1006709947159994e-06
Position 278: 1.0171949995485016e-06
Position 318: 7.539262422149747e-07
Position 380: 6.640536083513008e-07
Position 237: 4.607663511798249e-07
Position 272: 3.6752870003961886e-07
Position 196: 3.201741219607404e-07
Position 254: 2.772075715581989e-07
Position 257: 2.4482554272819235e-07
Position 170: 2.3153074902957077e-07
Position 163: 5.1357550072617807e-08
Position 167: 2.5162825548016575e-08
Position 249: 1.3827793042432038e-08
Position 139: 9.4417702174756e-09
Position 369: 7.931013834586706e-09
Position 143: 5.710499579374243e-09
Position 390: 3.2854584485147814e-09
Position 313: 2.173007321479697e-09
Position 241: 1.2802415530459059e-09
Position 309: 1.1843894319566592e-09
Position 320: 1.0764287400526686e-09
Position 259: 9.558444531660833e-10
Position 180: 7.412680617270858e-10
Position 243: 2.3050216106619384e-10
Position 281: 1.794375033129736e-10
Position 147: 1.0160309736603617e-10
Position 304: 7.084241912349047e-11
Position 150: 2.92632961035042e-11
Position 94: 4.933849002228565e-13
Position 175: 4.0727902195206815e-13
Position 177: 3.9664155647653834e-13
Position 98: 1.8265982620395308e-13
Position 84: 8.102083816991403e-14
