Gene = SELK
index = 1243
Annotated 5SS: [ 219 3596 5138 6163]
Annotated 3SS: [3504 5053 6075 6426]
SMsplice 5SS: [ 219 1063 3596 5138 6163]
SMsplice 3SS: [ 927 3504 5053 6075 6426]
top_k =  500
Partition function (log Z): 4.435382436226707

Sorted 5' Splice Sites (High to Low Probability):
Position 5138: 0.9800859958268185
Position 6163: 0.9725894996741705
Position 219: 0.9508603715474097
Position 3596: 0.7811752929248439
Position 1063: 0.6548216411204307
Position 1938: 0.2288569898322991
Position 6531: 0.22188362186316557
Position 1785: 0.07894253551380775
Position 2714: 0.07137227590591017
Position 1157: 0.06053432437492079
Position 3642: 0.05312925788740019
Position 1162: 0.04509270968809912
Position 3057: 0.03280783911381838
Position 2490: 0.02286379258695971
Position 5601: 0.01663959216138183
Position 1076: 0.016461285925735866
Position 257: 0.013503717463922888
Position 310: 0.013173793899815595
Position 420: 0.012861999640992333
Position 2402: 0.012385744471922523
Position 732: 0.011934778971452915
Position 698: 0.011888425390647314
Position 5203: 0.00799094717514869
Position 527: 0.006330449736559786
Position 542: 0.0060542408456265885
Position 6576: 0.005491068080260641
Position 3836: 0.005026600813379737
Position 2645: 0.0049242779893906565
Position 1169: 0.0043068578113303274
Position 1020: 0.004131050748205142
Position 6792: 0.0039312147432863384
Position 250: 0.0034469159421162848
Position 3860: 0.0028319744034260128
Position 441: 0.002455847293154876
Position 3405: 0.0023925778558193216
Position 2778: 0.0023431802189817458
Position 2486: 0.0022601699366591567
Position 2860: 0.0020849694566288826
Position 1976: 0.001958851999723409
Position 4781: 0.001883686580346916
Position 3807: 0.0018763262552517934
Position 4931: 0.001703177605800501
Position 5593: 0.001520863154624632
Position 6519: 0.0009370337521461994
Position 1165: 0.0008827691820411793
Position 2342: 0.0008746539233990356
Position 2788: 0.0008065813457603602
Position 274: 0.000770863307963853
Position 2604: 0.000723656694553826
Position 857: 0.000701099158337546
Position 1873: 0.0006990687111016656
Position 3600: 0.0006299855828989165
Position 1029: 0.0005466339936527716
Position 436: 0.0005366575206924145
Position 2738: 0.0004973526099088903
Position 523: 0.0004646641682224202
Position 5664: 0.0004536084394096741
Position 3581: 0.00044897246105913706
Position 1913: 0.000406917497636243
Position 1932: 0.0003747295241672742
Position 6355: 0.0003241721497806844
