Gene = FRRS1
index = 566
Annotated 5SS: [  497 16897 17221 18500 23615 25001 27708 36144 37301 46260 48384 50208
 53376 53689 54960 56596]
Annotated 3SS: [16791 17024 18362 23519 24852 27524 36044 37152 46145 48267 50120 53277
 53629 54843 56533 56672]
SMsplice 5SS: [  497 16897 17221 18500 23615 36144 37301 40577 46260 48384 50208 52411
 53376 53689 53852 54988 56596]
SMsplice 3SS: [16791 17024 18362 23519 36044 37152 40494 46145 48267 50120 52305 53277
 53570 53772 54843 56533 56672]
top_k =  500
Partition function (log Z): 2.671057843205592

Sorted 5' Splice Sites (High to Low Probability):
Position 497: 0.9999999999999982
Position 46260: 0.9999999999999982
Position 16897: 0.999999999999998
Position 36144: 0.999999999999998
Position 37301: 0.999999999999998
Position 50208: 0.989772686656625
Position 23615: 0.9818875773647917
Position 53689: 0.9639479834121503
Position 18500: 0.9201470927404074
Position 17221: 0.8103600311432141
Position 56596: 0.7657940728136274
Position 53376: 0.7340429708969809
Position 48384: 0.6785624200177551
Position 54988: 0.6513103415873261
Position 52411: 0.6428594663969432
Position 30431: 0.570083006969586
Position 53852: 0.5587766746505309
Position 55350: 0.4811300615275572
Position 40577: 0.46127351647442666
Position 40588: 0.43021089559086156
Position 48623: 0.41722966448879867
Position 13422: 0.359656956171672
Position 54960: 0.27729754366301423
Position 24389: 0.227783058802358
Position 17181: 0.17374669498528647
Position 52082: 0.15992604850429826
Position 54439: 0.1422506257627901
Position 50521: 0.1380929344693672
Position 48388: 0.11810190136768144
Position 54022: 0.0864636765923592
Position 18875: 0.08319435342175655
Position 26969: 0.07834967096074404
Position 56086: 0.07497682369617986
Position 21648: 0.05064806196372434
Position 17662: 0.049630313100789074
Position 20584: 0.04837861489539268
Position 27639: 0.041237283040645056
Position 25123: 0.037419139726656045
Position 25001: 0.02988237791906893
Position 27664: 0.025293648334242823
Position 18543: 0.024208835520088512
Position 22657: 0.02417121689827767
Position 54996: 0.0216574794155531
Position 18711: 0.02071656453803762
Position 54641: 0.019742040365431795
Position 23045: 0.01804264107332004
Position 54948: 0.014239624259456761
Position 21653: 0.013250963468401548
Position 49294: 0.011773267527061029
Position 21267: 0.011287774440680642
Position 21632: 0.011186918973308074
Position 49925: 0.007805569673625609
Position 51789: 0.0073521601376865435
Position 17573: 0.005750714984953173
Position 53839: 0.005279421235678216
Position 19897: 0.0043738589380643055
Position 19106: 0.00414086336674286
Position 19174: 0.0040877012036172975
Position 20446: 0.0040624502416975634
Position 19913: 0.0035155514984498183
