Gene = ISG15
index = 719
Annotated 5SS: [154]
Annotated 3SS: [560]
SMsplice 5SS: [154]
SMsplice 3SS: [560]
top_k =  500
Partition function (log Z): -6.552781449758298

Sorted 5' Splice Sites (High to Low Probability):
Position 154: 0.9078030159270765
Position 347: 0.19884069753413536
Position 172: 0.052705937577275715
Position 182: 0.01273325850457581
Position 274: 0.008472273018590638
Position 473: 0.00458474676220354
Position 320: 0.004390494255500794
Position 849: 0.003204492317542957
Position 299: 0.002637777281011507
Position 371: 0.0023596806009031344
Position 390: 0.002057809218138263
Position 709: 0.0017072617841565657
Position 813: 0.0012637686733090775
Position 227: 0.00047531654798779873
Position 606: 0.00026966673936850295
Position 888: 0.00018179274619744534
Position 27: 0.00016410585158514078
Position 439: 0.00015753538277126972
Position 511: 0.00011274568871156558
Position 107: 0.00010157309715235578
Position 281: 0.00010050579090343435
Position 56: 5.68248499171679e-05
Position 207: 2.6001626355939744e-05
Position 29: 2.9101438893080326e-06
Position 626: 1.9360280717031666e-06
Position 119: 1.0659017096517995e-06
Position 576: 1.026495965955889e-06
Position 504: 2.2629534003424553e-07
Position 238: 6.752126739676894e-08
Position 31: 4.75380237805723e-08
Position 422: 4.538869806962368e-08
Position 283: 2.304342956741152e-08
Position 124: 4.849897421378716e-09
Position 506: 1.7552709805670181e-09
Position 165: 5.605278233382769e-10
Position 191: 1.1256681731442063e-10
Position 413: 1.3389189540865862e-13
Position 497: 9.114258815190721e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 560: 0.8394841928514601
Position 221: 0.22065883808039696
Position 605: 0.0753452038972688
Position 478: 0.01784182143327354
Position 636: 0.010459217331684005
Position 534: 0.006979868057146284
Position 226: 0.006798940568686177
Position 619: 0.005190119150960359
Position 938: 0.002447670514481184
Position 235: 0.002322717389618032
Position 884: 0.0022436898270471015
Position 763: 0.0017833443817137844
Position 581: 0.0017714525215570256
Position 722: 0.0011807325335101524
Position 243: 0.0010147057546939728
Position 683: 0.0010072361579111094
Position 298: 0.0009726351001037337
Position 493: 0.0007913867208409178
Position 1035: 0.0006246828438463236
Position 1079: 0.0005173972242793642
Position 742: 0.0004857895970922052
Position 838: 0.0004661607841648051
Position 746: 0.0004231396121153707
Position 390: 0.0003488575607261951
Position 944: 0.00029644990644701365
Position 318: 0.0002854574576163688
Position 706: 0.0002823151802377742
Position 346: 0.00028129113547579744
Position 442: 0.0002404740703222933
Position 911: 0.00019233310509802484
Position 686: 0.00018929991151516015
Position 835: 0.00018711964295754706
Position 959: 0.00015234241389949462
Position 404: 0.0001424338481664995
Position 827: 0.0001406119977317979
Position 881: 0.00012713767669538385
Position 863: 9.478065926683292e-05
Position 644: 9.451430128106815e-05
Position 378: 8.455731831687885e-05
Position 330: 7.030664208517484e-05
Position 295: 6.550420598010168e-05
Position 497: 5.8614527152098216e-05
Position 481: 4.091804022943187e-05
Position 444: 2.8271565893410325e-05
Position 1068: 2.3828980168342926e-05
Position 1056: 2.2720363696685496e-05
Position 134: 2.2263275643103205e-05
Position 727: 2.214602682832435e-05
Position 616: 2.0925783182295123e-05
Position 805: 2.0031656361381162e-05
Position 817: 1.8257654142614338e-05
Position 1100: 1.3676332426257644e-05
Position 273: 8.617554911334086e-06
Position 352: 6.378015722906348e-06
Position 343: 5.751168167620072e-06
Position 397: 3.816339820766641e-06
Position 112: 3.555468118735023e-06
Position 249: 1.9606241369773653e-06
Position 262: 1.9431370487192748e-06
Position 247: 1.4336914694246257e-06
Position 107: 6.767980348975297e-07
Position 310: 6.739803082622425e-07
Position 650: 2.590795229392852e-07
Position 449: 2.2655515245791806e-07
Position 281: 2.107096733237672e-07
Position 197: 1.469558474874355e-07
Position 264: 1.4640873257017068e-07
Position 141: 1.419195623763711e-07
Position 638: 1.2566621337272477e-07
Position 89: 1.1939992478656698e-07
Position 662: 6.621246923930846e-08
Position 332: 1.8070907113046339e-09
Position 254: 1.0658161046017647e-09
Position 171: 8.735627809704704e-10
Position 148: 4.055502955500721e-10
