Gene = PSMC2
index = 1088
Annotated 5SS: [  223  2868  9045 10036 10880 17175 17845 18526 19394 21250 22702 22896]
Annotated 3SS: [ 2609  9006  9953 10779 17042 17771 18429 19228 21161 22498 22798 22982]
SMsplice 5SS: [  223  2868 10036 10880 17175 17845 18526 19389 21250 22702 22896]
SMsplice 3SS: [ 2771  9953 10779 17042 17771 18429 19193 21161 22498 22798 22982]
top_k =  500
Partition function (log Z): 21.25667406608073

Sorted 5' Splice Sites (High to Low Probability):
Position 22702: 0.9983741463255903
Position 10880: 0.997680038219186
Position 22896: 0.9963512018061791
Position 223: 0.993614476389623
Position 18526: 0.9934771869027974
Position 21250: 0.9671286375314565
Position 10036: 0.9510807773366975
Position 17175: 0.893441447276735
Position 2868: 0.8242189741415308
Position 17845: 0.7610440785040451
Position 19389: 0.6130627819831008
Position 9045: 0.4984548493978734
Position 17434: 0.4869577117574217
Position 19394: 0.3368798844021407
Position 822: 0.29296769730448846
Position 10622: 0.2477053740938052
Position 23084: 0.20554585504066475
Position 6490: 0.1996535509096002
Position 15756: 0.15640430400657396
Position 19623: 0.14740117717040943
Position 2125: 0.09561644838474971
Position 18868: 0.09311631426432715
Position 19075: 0.0632728719791062
Position 2336: 0.0466453336280821
Position 19947: 0.043768455073232994
Position 19199: 0.035445090332447714
Position 2610: 0.031456334883597996
Position 10369: 0.01824479852334875
Position 2686: 0.017820063003218017
Position 17137: 0.01722996073725615
Position 12791: 0.01703745909988278
Position 18719: 0.014283244294785552
Position 17442: 0.012791803879694806
Position 23075: 0.011921658577656664
Position 1497: 0.011870569706412641
Position 19399: 0.011851448102843732
Position 13185: 0.010385420923634606
Position 18676: 0.010211448649901183
Position 13814: 0.009921527014612515
Position 17685: 0.009832341500320241
Position 13173: 0.009380746631457446
Position 20169: 0.009003713410823984
Position 14788: 0.00855271764262507
Position 23016: 0.008053951360665865
Position 632: 0.007798845580880968
Position 1362: 0.007485203096838664
Position 22526: 0.007375760142718358
Position 4445: 0.006840616762696475
Position 1008: 0.006826733645045664
Position 20159: 0.006278869528403625
Position 7760: 0.006243805038636174
Position 11579: 0.0060928192654269575
Position 1014: 0.005946430145340843
Position 6254: 0.005632970545588667
Position 18331: 0.005632848033661229
Position 13698: 0.005623106949892528
Position 8026: 0.005577800614338945
Position 22427: 0.005167415993112614
Position 13832: 0.004207097711454513
Position 19293: 0.0038153222014170665
Position 18349: 0.0036723897805475882
Position 578: 0.003415532178673878
Position 21936: 0.003333211514213048
Position 10713: 0.0032524534792924796
Position 1773: 0.003004903389672366
Position 21571: 0.002427065321458228
Position 2429: 0.00240795784685606
Position 5098: 0.0021203941643172007
Position 23280: 0.0018209484674783698
Position 10297: 0.001710891819283649
Position 10073: 0.0015092085448858976
Position 19763: 0.0014360341264859613
Position 10230: 0.001307577148555285
Position 23442: 0.001023420802791567
Position 861: 0.001020310906850955
Position 15623: 0.0009639700591089801
Position 2251: 0.0008871338085762381
Position 14705: 0.0007194080293190941
Position 2470: 0.0006869893692811534
Position 2712: 0.000637257138118426
Position 542: 0.0006116137419101829
Position 23158: 0.0005983700673199254
Position 14362: 0.0005794785008485686
Position 186: 0.0005490796062122429
Position 2117: 0.0005155774595215539
Position 21549: 0.0004118281502294628
Position 229: 0.00039604123040860937
Position 2454: 0.0003371657221109888
Position 15497: 0.00024749804720899005
Position 21301: 0.00021946279629455565
Position 14202: 0.0001883145577784815
Position 973: 0.00017023667278881044
Position 18473: 0.00013755250054825518
Position 19385: 0.00012006528977891072
Position 22603: 0.00011605364290452979
Position 1116: 0.00010963451546393061
Position 15501: 0.00010391866463063594
Position 538: 0.00010087293014769214
Position 227: 8.550645913538626e-05
Position 199: 7.991174839602214e-05
Position 1850: 6.371369153751686e-05
Position 1123: 6.026542240678213e-05
Position 176: 4.63035017172486e-05
Position 936: 4.597043448326771e-05
Position 565: 4.5471291038945126e-05
Position 22577: 4.4236006010809846e-05
Position 1514: 4.246745371588154e-05
Position 18502: 3.898577522453942e-05
Position 1507: 3.88448852946886e-05
Position 19237: 2.5688075873521403e-05
Position 235: 2.115376614895284e-05
Position 351: 1.9601807180839442e-05
Position 9: 1.7306011911752055e-05
Position 18663: 1.7231556176667806e-05
Position 19118: 1.3884740190661306e-05
Position 157: 1.3050203859295476e-05
