Gene = H1FOO
index = 635
Annotated 5SS: [  93 4467 6151 7596]
Annotated 3SS: [4176 5786 7530 7892]
SMsplice 5SS: [  93  315 5857 7596]
SMsplice 3SS: [ 185 5786 7484 7892]
top_k =  500
Partition function (log Z): -2.2410801513929126

Sorted 5' Splice Sites (High to Low Probability):
Position 93: 0.9880148348044636
Position 315: 0.8286052097056786
Position 7596: 0.8041835197665792
Position 5857: 0.7502924146523047
Position 4467: 0.26194149774958386
Position 5430: 0.20278057868344124
Position 2471: 0.16709482804430809
Position 2727: 0.12718997865714968
Position 5890: 0.11728349278673343
Position 302: 0.11112882971745439
Position 5486: 0.06699485949207647
Position 2754: 0.026285851266926043
Position 1300: 0.02300881722643397
Position 7567: 0.021428017344668284
Position 6964: 0.019510475971186842
Position 1251: 0.018290886349404886
Position 1113: 0.013779582186588916
Position 2832: 0.013529439926973268
Position 5489: 0.013136530154970604
Position 3843: 0.010939451070275632
Position 5263: 0.010070607581224878
Position 1304: 0.009683810009532251
Position 4230: 0.0071061647345788004
Position 4340: 0.007082861594504775
Position 4523: 0.00698914727861363
Position 4304: 0.006791139133393475
Position 6151: 0.0062512592575017486
Position 637: 0.006228803677641169
Position 3052: 0.004757356392109075
Position 4370: 0.0046043508395994005
Position 5527: 0.0037390645046134867
Position 4263: 0.003356673492244337
Position 7600: 0.00319896136036153
Position 688: 0.002625037382640635
Position 712: 0.002092962404334731
Position 70: 0.0018827770659199429
Position 2160: 0.0018336044234935544
Position 5925: 0.0015179379111952562
Position 2582: 0.0015169837417646234
Position 5955: 0.0011446826032389958
Position 5226: 0.0011043927252544507
Position 3620: 0.000824358637790745
Position 1242: 0.0005239539612903455
Position 4050: 0.0004220061616567139
Position 1150: 0.00025806912058922566
Position 795: 0.00020852482739469112
Position 2040: 0.00015556483355075093
Position 6057: 0.00012991299077432173
Position 7929: 0.00012521233938624055
Position 729: 0.00010700780770630267
Position 1246: 8.377819976709114e-05
Position 2304: 6.616533618742957e-05
Position 1974: 6.076784643492117e-05
Position 2630: 1.039323219167317e-05
Position 2879: 9.446186681168549e-06
Position 2553: 7.224191277746259e-06
Position 2640: 5.6079869232149384e-06
Position 2882: 2.5166838704819886e-06
Position 1388: 1.9524777496910357e-06
Position 571: 5.849721765550857e-07
Position 421: 1.3820332377204035e-07
Position 397: 3.373447635728904e-08
Position 404: 2.9463222549587344e-08
Position 144: 2.8909572002679352e-08
Position 432: 2.0197467412815333e-08
Position 523: 1.4510660565766357e-08
Position 381: 3.2780694948421776e-09
Position 20: 3.249287183274748e-09
Position 616: 2.504324709386151e-10
Position 505: 1.6655268841858822e-10
Position 547: 5.188116941030225e-11
Position 174: 1.6589013640416703e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 185: 0.8746852744011773
Position 7892: 0.6009776777954023
Position 5786: 0.5914922767649057
Position 7484: 0.4102073571692102
Position 7487: 0.3398484578160458
Position 7784: 0.3032311625798681
Position 5355: 0.29006644086626593
Position 5763: 0.2803168644726494
Position 4176: 0.1767153177407609
Position 2516: 0.1306700152620792
Position 2394: 0.1249783666007951
Position 4203: 0.11574704444310699
Position 7530: 0.10264616206487395
Position 1084: 0.06423970796837668
Position 6937: 0.047519485687861025
Position 2329: 0.032376914928659496
Position 2726: 0.03109015207773092
Position 196: 0.028462988837041264
Position 5790: 0.013368936710916537
Position 5115: 0.011175000306479327
Position 207: 0.010483563545469839
Position 218: 0.009996294587593293
