Gene = UIMC1
index = 1530
Annotated 5SS: [   125  23940  31013  35667  36808  37854  48316  50450  54935  63074
  95098  97886  99295 100398]
Annotated 3SS: [ 23784  30927  35541  36701  37116  48253  50372  54830  62919  95018
  97713  99230 100360 100915]
SMsplice 5SS: [   125   4992  23940  26288  31013  37854  50450  53319  63074  95098
  97886  99295 100398]
SMsplice 3SS: [  4906  23784  26017  30927  37652  50372  53219  62919  95018  97789
  99230 100225 100915]
top_k =  500
Partition function (log Z): -33.859794670329514

Sorted 5' Splice Sites (High to Low Probability):
Position 31013: 0.9962803666839148
Position 23940: 0.9727465564573264
Position 37854: 0.9473810652370797
Position 4992: 0.8953539421977893
Position 125: 0.8628500372850143
Position 26288: 0.5827770133588636
Position 4055: 0.34141027612247493
Position 32970: 0.3318989853682245
Position 9573: 0.3169015527735483
Position 27244: 0.2924423887408977
Position 41575: 0.23223770957524648
Position 28299: 0.21310334232722666
Position 41310: 0.21106791739063735
Position 7342: 0.18957204663354604
Position 35667: 0.18953984255484868
Position 16104: 0.15639581026453314
Position 37043: 0.14503233627696369
Position 41605: 0.13257724202215487
Position 13728: 0.1241101787276662
Position 41649: 0.10598375222454157
Position 1260: 0.09633447515967125
Position 30658: 0.08394290870833021
Position 119: 0.05515304372154795
Position 35604: 0.04788945997886698
Position 25032: 0.029830283503007236
Position 2901: 0.028671748813216002
Position 31513: 0.02490466172667094
Position 23874: 0.02480212995449212
Position 3998: 0.024489667860673053
Position 79: 0.02273214280886139
Position 25105: 0.02053765436922514
Position 40346: 0.016426339620001926
Position 27091: 0.015834493177355323
Position 1875: 0.015292197917152814
Position 1507: 0.014311260601477714
Position 965: 0.014157397132152263
Position 72: 0.012362868001129216
Position 42626: 0.012166376044475898
Position 3107: 0.012014533346117734
Position 3869: 0.011981069743797196
Position 37860: 0.01142997069329071
Position 470: 0.010527861789914808
Position 186: 0.005634935633466062
Position 3983: 0.004096871721301535
Position 36030: 0.003327487689627101
Position 42483: 0.003218959132673064
Position 35689: 0.0031772177177993473
Position 40718: 0.002768492328931946
Position 41556: 0.002496764321659982
Position 23893: 0.00245131231737867
Position 6631: 0.001790908638398597
Position 4411: 0.0012407470466712963
Position 33066: 0.001222546547118566
Position 129: 0.0012112888935617706
Position 32038: 0.0011279066117288808
Position 38162: 0.000859141910739097
Position 31194: 0.0006779505127106527
Position 35299: 0.0006212197054472928
Position 31159: 0.0005803121793260763
Position 961: 0.00030020404648998134
Position 951: 0.00026683669306057584
Position 107: 0.0002457275183553486
Position 1303: 0.00018173313254314167
Position 142: 0.00017490565176092414
Position 1521: 0.00010117409212551455
Position 1868: 9.752205614680649e-05
Position 1925: 7.887972205994358e-05
Position 656: 5.13263061995682e-05
Position 819: 4.5784314046958185e-05
Position 2579: 4.2572533473083835e-05
Position 2249: 3.479696977953079e-05
Position 3393: 2.62229441062582e-05
Position 879: 1.928064700374259e-05
Position 42058: 1.6732556654851837e-05
Position 940: 1.5724551174125906e-05
Position 726: 1.2913026091441924e-05
Position 1401: 1.25995201337719e-05
Position 3314: 1.2554235980410092e-05
Position 519: 1.115288332601242e-05
Position 3182: 9.794718172830595e-06
Position 663: 9.793065855157505e-06
Position 534: 8.50960783347446e-06
