Gene = VOPP1
index = 1549
Annotated 5SS: [  255 51454 74913 80244]
Annotated 3SS: [51394 74834 80106 99479]
SMsplice 5SS: [  255  9025 15547 31446 46532 48155 51454 60821 74521 74913 80244 94500
 94916]
SMsplice 3SS: [ 8922 15264 31327 46446 48036 51394 60723 74442 74834 80106 94386 94829
 99479]
top_k =  500
Partition function (log Z): -46.37877514393711

Sorted 5' Splice Sites (High to Low Probability):
Position 9025: 0.9184478239449627
Position 15547: 0.6825851152496475
Position 7524: 0.5536893783376168
Position 16579: 0.530123782209573
Position 17621: 0.4851659475986711
Position 18484: 0.35047231901208026
Position 501: 0.33634579028574535
Position 9973: 0.33612030360965256
Position 764: 0.32456257488824
Position 255: 0.3148871819549576
Position 15420: 0.290404942644672
Position 412: 0.2536367411709067
Position 10672: 0.23893196855215265
Position 5357: 0.23413328282593537
Position 18506: 0.19601056937383998
Position 13124: 0.1955646828316972
Position 15186: 0.19199131730803448
Position 8390: 0.19126929924223776
Position 18874: 0.15156850156923457
Position 13762: 0.1282204578150366
Position 702: 0.10103890967903652
Position 817: 0.0901337794896172
Position 222: 0.08186943139805195
Position 10635: 0.055789809774229884
Position 9901: 0.05180559497904287
Position 16413: 0.051429942743618166
Position 23008: 0.049524544242948436
Position 16172: 0.045047380816952476
Position 10546: 0.043561783557548334
Position 14045: 0.039695916801281546
Position 10415: 0.039589986010381224
Position 13189: 0.020346505673786354
Position 21399: 0.019172422512843495
Position 10150: 0.016521827044039507
Position 18715: 0.012574635172671425
Position 16846: 0.007429621225160652
Position 3295: 0.007240111235234635
Position 13839: 0.007222889319755215
Position 23027: 0.006693546861883024
Position 4157: 0.0054115031609151916
Position 448: 0.0038516016133146444
Position 11539: 0.003262516538349291
Position 10307: 0.002616517052004364
Position 425: 0.0024361423604852667
Position 17184: 0.002013591065751085
Position 273: 0.00037850148497032367
Position 364: 0.00036353124004788093
Position 10173: 0.00035762899847880666
Position 473: 0.0001487269814874439
Position 88: 5.7026989669223755e-05
Position 674: 3.490609629812573e-05
Position 902: 2.905214009178854e-05
Position 1524: 1.9032756843373495e-05
Position 1845: 1.749745761059956e-05
Position 1128: 1.694891768053487e-05
Position 169: 1.6714104494074793e-05
Position 322: 8.801581925717694e-06
Position 1363: 5.508517370340063e-06
Position 143: 3.6749803485016127e-06
Position 3703: 3.2992931131143734e-06
Position 3430: 2.2524877773815914e-06
Position 3736: 1.8793438644865635e-06
Position 1234: 1.6035565399172683e-06
Position 3609: 1.4720245428937188e-06
Position 2856: 1.271664895520241e-06
Position 509: 5.160726124310943e-07
Position 113: 9.37320168945717e-08
Position 1001: 7.547978366519093e-08
Position 858: 4.708421351899619e-09
Position 542: 3.4721882935059755e-09
Position 852: 2.031050640809726e-09
Position 608: 1.1027901341434147e-09
Position 464: 8.873112430230284e-10
Position 461: 7.02662180097193e-14
Position 531: 3.074506704488279e-14
Position 667: 3.062176429548783e-14
Position 558: 2.6775330232883277e-14
Position 689: 2.5238159982624488e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 15264: 0.9859605955400068
Position 8922: 0.8499104315148607
Position 22868: 0.6211166725437965
Position 7448: 0.5475755422884475
Position 16519: 0.527570137166399
Position 18341: 0.5209305900328874
Position 581: 0.4986824570839914
Position 9772: 0.33652539531428627
Position 10473: 0.29807215061726205
Position 17500: 0.2729786176782802
Position 13019: 0.20840208697371124
Position 5289: 0.19984968036582
Position 17578: 0.19778494518650852
Position 15121: 0.19263103238459248
Position 8362: 0.18241392058093134
Position 13635: 0.17257968884329883
Position 18770: 0.16575615940408478
Position 23359: 0.09247479312148997
Position 16112: 0.07571867495654083
Position 20406: 0.07432743416370784
Position 19483: 0.0716379521503469
Position 8942: 0.06853739243009979
Position 18434: 0.042332747984629965
Position 21435: 0.04193557376358005
Position 10497: 0.041782282755655605
Position 21131: 0.038333278803699695
Position 9740: 0.034414536846409285
Position 16305: 0.030574192915470585
Position 20924: 0.027973037860842896
Position 10267: 0.023405589815093313
Position 5216: 0.01930018875429295
Position 10192: 0.016176284759037048
Position 15629: 0.014593540551080687
Position 17481: 0.013861058273055803
Position 17299: 0.013752979197076597
Position 5145: 0.01275196576520147
Position 10074: 0.011745285432609371
Position 9838: 0.009616803480707245
Position 8000: 0.008855378661306547
Position 9893: 0.008758971619105474
Position 17463: 0.008521474078659412
Position 583: 0.007935027443730043
Position 12857: 0.007509101531773254
Position 9998: 0.006995500759817929
Position 15233: 0.0067976407052797
Position 17068: 0.00615717567711405
Position 7298: 0.006113836049167969
Position 4050: 0.005426585421366227
Position 16652: 0.004784084219040559
Position 3063: 0.004723621856298878
Position 14018: 0.004715219582991422
Position 17854: 0.003837141360490808
Position 17695: 0.0034579227934443653
Position 21975: 0.003205627328840456
Position 535: 0.003191155660842725
Position 11442: 0.0028781519929072467
Position 19130: 0.002497725603596665
Position 5157: 0.0022314479406213674
Position 3156: 0.002158320772861133
Position 16649: 0.0019269129350085305
Position 16788: 0.0019221752556689777
Position 17902: 0.0010250221653544918
Position 15762: 0.0007425354273494535
