Gene = CENPP
index = 346
Annotated 5SS: [   622   6868  12146  20304  54376 285910 287131]
Annotated 3SS: [  6685  12056  20214  54278 285829 287038 287534]
SMsplice 5SS: [   622   6868  12146  20304  54376  70196 135336 137850 148165 237000
 237200 272657 275025 280414 285910]
SMsplice 3SS: [  6685  12056  20214  54278  70094 135216 137658 148046 236765 237088
 272568 274945 280253 285829 287938]
top_k =  500
Partition function (log Z): -136.27974601205523

Sorted 5' Splice Sites (High to Low Probability):
Position 12146: 0.9997962965794137
Position 20304: 0.9741002924589488
Position 6868: 0.8180814337165504
Position 622: 0.4473976090685814
Position 4861: 0.28557323375887744
Position 15559: 0.25316972034596524
Position 536: 0.23357885589744856
Position 217: 0.19535452391007316
Position 22023: 0.181516213285589
Position 10510: 0.05485018999515086
Position 1116: 0.046343918617508445
Position 1047: 0.04457091066655971
Position 6288: 0.04119119439891397
Position 2364: 0.036433290776697574
Position 8913: 0.03596564813021338
Position 6790: 0.03586651810985987
Position 6963: 0.03541988488076284
Position 785: 0.03425092858399845
Position 14524: 0.034214575023828714
Position 969: 0.03365179360575284
Position 16986: 0.0328245511011556
Position 17316: 0.03266533667610602
Position 106: 0.031047370137874827
Position 118: 0.030920261518489523
Position 17191: 0.03002663929777764
Position 1523: 0.02985812739860039
Position 7705: 0.027221623831709143
Position 6449: 0.020590442579768196
Position 2531: 0.020541201327508186
Position 579: 0.017222636440603265
Position 816: 0.013819268672054795
Position 10218: 0.012713166633921288
Position 4854: 0.012651185770700674
Position 2864: 0.01188102332729715
Position 2620: 0.008801689411616468
Position 10888: 0.006997214213716825
Position 2371: 0.006886226340922619
Position 8560: 0.006502331131947034
Position 8403: 0.006289054163504313
Position 401: 0.005951679883936549
Position 7747: 0.005585827360099499
Position 100: 0.005307427528058973
Position 906: 0.004332818436996917
Position 23785: 0.0038643122093576466
Position 916: 0.003599338165234891
Position 7603: 0.0035726570503196694
Position 680: 0.0034913224467811132
Position 4717: 0.002820428210457141
Position 2132: 0.0028028732913195817
Position 20882: 0.002754554505372488
Position 21030: 0.0021695532552653677
Position 6896: 0.0008962067153761152
Position 16495: 0.0008091624468504583
