Gene = PCNP
index = 1003
Annotated 5SS: [  185  5910 11417 16176]
Annotated 3SS: [ 5694 11341 16119 18531]
SMsplice 5SS: [  185 11417 16176]
SMsplice 3SS: [11341 16119 18531]
top_k =  500
Partition function (log Z): -7.199760634987321

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.9905499761558305
Position 11417: 0.9003499190949527
Position 5910: 0.6601570939596253
Position 16176: 0.3856132285821705
Position 16216: 0.3329211047768474
Position 5599: 0.14655030379514222
Position 1843: 0.12231510727206787
Position 18685: 0.11271689999070222
Position 11469: 0.08712668686764967
Position 2523: 0.07774286309307282
Position 5672: 0.07513466183691403
Position 4201: 0.06993273653157239
Position 2674: 0.06145238501717524
Position 5163: 0.04913063888098659
Position 13768: 0.04619493120644128
Position 5576: 0.04146209021297586
Position 5857: 0.04021234826948447
Position 18822: 0.039813249229483864
Position 2700: 0.032020309318135244
Position 5580: 0.029523170504231516
Position 15299: 0.025335109380438144
Position 18357: 0.024884254055351485
Position 6481: 0.023843791914143556
Position 11679: 0.022849344429990932
Position 15595: 0.016352554834980427
Position 15042: 0.011030163046439124
Position 18678: 0.008762083197167689
Position 5222: 0.007032311444155109
Position 3754: 0.006863183712468146
Position 2419: 0.006862669084380626
Position 16646: 0.004573192731321239
Position 17268: 0.00395026678468381
Position 3735: 0.0034390616472018214
Position 5248: 0.0034120414656675585
Position 773: 0.0033219380598782182
Position 5584: 0.002801870900366006
Position 249: 0.0027146767581342737
Position 2695: 0.0025915629644410916
Position 13850: 0.0021781692671065385
Position 14978: 0.0015628422658897213
Position 214: 0.0015258888620459344
Position 395: 0.0014294849763680346
Position 15553: 0.0011325259984572202
Position 839: 0.001102440441544609
Position 17337: 0.0008830671339602777
Position 2267: 0.0005259860461030458
Position 2241: 0.00032122448427784813
Position 1833: 0.000227009679949862
Position 637: 0.00018196205809443617
Position 1083: 0.00015628559919357202
Position 13758: 0.00014518486370112253
Position 303: 0.00013025547215981878
Position 205: 0.00012761293580847803
Position 2478: 0.00011192249722678418
Position 12735: 9.86718051247281e-05
Position 477: 7.615142921973932e-05
Position 2004: 7.546838329602311e-05
Position 495: 6.238638645786408e-05
Position 700: 5.948886756416611e-05
Position 14203: 5.8368655302253176e-05
Position 1012: 5.0063365903853025e-05
Position 1847: 4.814154670352278e-05
Position 963: 4.563430680287998e-05
Position 263: 2.8085726740721665e-05
Position 61: 2.4846983793282105e-05
Position 1801: 2.4845621330884258e-05
Position 2446: 2.2239771572602916e-05
Position 1898: 1.795128555195899e-05
Position 582: 1.7297690639578835e-05
Position 596: 8.898310025503784e-06
Position 1713: 5.027133110533022e-06
Position 1071: 4.932330800528612e-06
Position 1930: 2.465266343731364e-06
Position 1032: 1.9333863684693497e-07
Position 1629: 1.9051165959109547e-07
Position 860: 1.4367931131838374e-07
Position 1279: 1.356102098957843e-07
Position 664: 1.3409985230100436e-07
Position 1906: 7.894120844752801e-08
Position 1212: 7.459998848426789e-08
Position 74: 4.1661192181442405e-08
Position 77: 9.074585079236829e-09
Position 258: 6.149612160151911e-09
Position 202: 4.125619715524121e-09
Position 159: 2.025323832961623e-09
Position 64: 1.8538397548472685e-09
Position 739: 6.996374125213701e-10
Position 627: 5.826074659438052e-10
Position 305: 5.720519947514219e-10
Position 651: 2.7658174848297524e-10
Position 399: 2.515975903358105e-10
Position 91: 5.647422719000698e-12
Position 82: 9.83119624474666e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 18531: 0.9392848570408112
Position 11341: 0.913357313528513
Position 16119: 0.7236379024120675
Position 5694: 0.4192453069358721
Position 5493: 0.29216987746133044
Position 5746: 0.24008413248428975
Position 2355: 0.08010569140322256
Position 1761: 0.08007117057919672
Position 11344: 0.0742692363146793
Position 19524: 0.07422154164094517
Position 4080: 0.06932955217368561
Position 2378: 0.05877056263796721
Position 5051: 0.050328758855514924
Position 19390: 0.04994327475298835
Position 1713: 0.03910253031847257
Position 13667: 0.035898699605057496
Position 15131: 0.02754458541093907
Position 15339: 0.026984320840107844
Position 2604: 0.025846088764161137
Position 6412: 0.023857055248688676
Position 18103: 0.021037945550702722
