Gene = HP1BP3
index = 662
Annotated 5SS: [   40  6344  6877 10092 13238 15759 19105 21312 29523 36966 39145 41146]
Annotated 3SS: [ 6147  6776  9937 13077 15614 19023 21156 29431 36805 39032 41031 41596]
SMsplice 5SS: [  503  6877 13238 15759 19105 21312 29523 39145 41146]
SMsplice 3SS: [ 6776 13077 15614 19023 21156 29431 39032 41031 43513]
top_k =  500
Partition function (log Z): 3.2488554446439784

Sorted 5' Splice Sites (High to Low Probability):
Position 39145: 0.9957916832173012
Position 6877: 0.9946155883980139
Position 29523: 0.9942016498413498
Position 41146: 0.9933502871394804
Position 19105: 0.9670920253358611
Position 15759: 0.9499590313223945
Position 21312: 0.8775177356492543
Position 503: 0.5653138615045994
Position 39798: 0.47965155203768634
Position 41945: 0.40530403524577496
Position 14732: 0.3747434887096193
Position 10092: 0.36938708348780763
Position 6339: 0.3177504982607701
Position 41489: 0.24378339422713607
Position 8096: 0.19555126276651172
Position 10965: 0.19270766960405508
Position 24460: 0.16916204069575003
Position 6344: 0.1551085897577731
Position 770: 0.13461531206486116
Position 436: 0.12428518379260502
Position 11104: 0.12370837858863701
Position 41888: 0.1118371480897084
Position 7302: 0.1084175734464722
Position 31795: 0.10323180525054633
Position 4593: 0.09919555112545043
Position 31888: 0.0990985168367938
Position 40: 0.08911260164402934
Position 498: 0.08667671422662158
Position 6270: 0.08253319355002074
Position 31051: 0.08127646605995395
Position 20523: 0.06804188456202158
Position 120: 0.06265579849684116
Position 27548: 0.06229208472503313
Position 688: 0.057583555916608235
Position 11581: 0.0569441228517418
Position 4578: 0.04014856579951184
Position 40955: 0.03569294570157546
Position 42270: 0.035562606443398884
Position 39358: 0.02852458402069267
Position 5800: 0.02697703927860862
Position 39434: 0.024744938894072598
Position 11577: 0.02440723843244136
Position 370: 0.023156622129837094
Position 24623: 0.021714924566709322
Position 24417: 0.019082892773900042
Position 41832: 0.018767674217862695
Position 43287: 0.01869738896776993
Position 11089: 0.01815632661563813
Position 5318: 0.017304374224574662
Position 2568: 0.013157991705992212
Position 1286: 0.010995220874269138
Position 10013: 0.010366554091565101
Position 14634: 0.009432755580547552
Position 20978: 0.00910207111555496
Position 39334: 0.008698938136242469
Position 24307: 0.008233758049990299
Position 41910: 0.00756533067872976
Position 39528: 0.007535089847068488
Position 19632: 0.007508531231717021
Position 25997: 0.006682821747165454
Position 40635: 0.006039834024077162
Position 29503: 0.0057220314837139186
Position 4622: 0.003667301430053401
Position 42283: 0.003666845963241092
Position 5495: 0.003500031242999211
Position 9851: 0.0034864784977707737
Position 40376: 0.003393448600483147
Position 39345: 0.003285126563251062
Position 41156: 0.0031128570135100404
Position 20659: 0.002232698947722244
Position 476: 0.0020710479911443956
Position 41337: 0.0019197405099693906
Position 24022: 0.0014580172969158053
Position 42643: 0.0014412715681221848
Position 43579: 0.0013952020649468367
Position 20481: 0.0010528829609725797
Position 41657: 0.0010201301403537646
Position 11097: 0.0009981846780668822
Position 8998: 0.000768961577231677
Position 4365: 0.0007166531100145061
Position 11093: 0.0007133209978843595
Position 42292: 0.0006986013496002179
Position 408: 0.000669290088535517
Position 7280: 0.0004609151791496179
Position 10856: 0.00044177053955466594
Position 793: 0.0004107421690087091
Position 175: 0.00039686071305196265
Position 7668: 0.0003202703494282598
Position 7700: 0.0002962821341235468
Position 524: 0.00028688923180547935
Position 1034: 0.00027077697983477194
Position 42745: 0.00026601675087369893
Position 6882: 0.0002614525670120291
Position 528: 0.0002583785578154192
Position 162: 0.0002043519346481535
Position 356: 0.0001070658791345003
Position 244: 8.315145398962813e-05
Position 221: 8.253501713265613e-05
Position 379: 7.377273893595702e-05
Position 592: 7.170217763029166e-05
Position 610: 6.830076854016583e-05
Position 413: 4.732008435706579e-05
Position 41333: 4.439299256846224e-05
Position 41169: 4.386074919994472e-05
Position 227: 3.445812076662046e-05
