Gene = LECT2
index = 777
Annotated 5SS: [ 247 2164 3812]
Annotated 3SS: [2066 3665 7536]
SMsplice 5SS: [ 247 2164 3812]
SMsplice 3SS: [2066 3665 7536]
top_k =  500
Partition function (log Z): -0.8446257511994166

Sorted 5' Splice Sites (High to Low Probability):
Position 247: 0.999253190589567
Position 2164: 0.9810658053611422
Position 3812: 0.9039603925716859
Position 4074: 0.14481745517031655
Position 5843: 0.10807516229797115
Position 2336: 0.08117257342038046
Position 3039: 0.0482929192086126
Position 4916: 0.042961158460822185
Position 5085: 0.03247745217499057
Position 4413: 0.01861494122828861
Position 3052: 0.012942765337857895
Position 3208: 0.009632546414270193
Position 7718: 0.008809420863144927
Position 3021: 0.007323332353082891
Position 4386: 0.006663966616438827
Position 4024: 0.006498530511695469
Position 4949: 0.005213944219493701
Position 2504: 0.004660803214795355
Position 3343: 0.004311190897939524
Position 3999: 0.0031828015398126593
Position 3176: 0.0026929641481034184
Position 2601: 0.0025891911903367284
Position 5801: 0.002362763519665121
Position 6700: 0.0016936686995558036
Position 5840: 0.0015472223863195707
Position 957: 0.001522374718715803
Position 612: 0.001476642243773999
Position 1799: 0.001471388128451104
Position 847: 0.0014340003475820586
Position 4446: 0.001416026179177563
Position 869: 0.0012189534095641411
Position 1682: 0.001101132198469237
Position 7700: 0.0010972944782546997
Position 1634: 0.0008896486602634875
Position 3821: 0.0008765346288403882
Position 2546: 0.0008308866126781858
Position 1288: 0.000825069240649681
Position 756: 0.0007373972048914873
Position 2943: 0.0004823405495184597
Position 1674: 0.00039145892952269733
Position 666: 0.0002948306524332842
Position 4231: 0.0002748081903224684
Position 5577: 0.0002629116493137266
Position 1495: 0.00024669388367437774
Position 973: 0.00022095186812950285
Position 1049: 0.00021403992685369122
Position 813: 0.0002025594239895198
Position 1602: 0.00019559479674316577
Position 414: 0.00016339258288503814
Position 731: 0.00015927695152391798
Position 1281: 0.00014159676275274033
Position 3879: 0.00014057260086577464
Position 5229: 0.0001244306441403404
Position 232: 0.00011741932176255981
Position 851: 9.952549060950526e-05
Position 461: 9.110514370579953e-05
Position 3720: 6.82504998336622e-05
Position 3946: 6.459188196650859e-05
Position 191: 6.08077092973298e-05
Position 504: 5.673845330860584e-05
Position 1078: 3.6810156343226697e-05
Position 1559: 3.5629205360425104e-05
Position 1979: 3.5367765702904695e-05
Position 3839: 3.408570145073042e-05
Position 4741: 3.373614832347353e-05
Position 3888: 3.0984586053896235e-05
Position 4404: 2.484707186576962e-05
Position 4664: 2.3705188799870182e-05
Position 1992: 2.3104904175655908e-05
Position 1644: 2.184282598343491e-05
Position 882: 2.067780007600006e-05
Position 983: 2.0601645196465032e-05
Position 436: 1.9564383404345406e-05
Position 117: 1.9519272133498306e-05
Position 1142: 1.810926757616163e-05
Position 3991: 1.7395689953159487e-05
Position 1948: 1.692799564183365e-05
Position 1757: 1.6789873997844883e-05
Position 1089: 1.4904290389633345e-05
Position 2149: 1.442213072485544e-05
Position 1751: 1.3929510340670422e-05
Position 258: 1.3276170696849237e-05
Position 1994: 1.268553138689691e-05
Position 1037: 1.2394360340510784e-05
Position 3791: 1.1816094911787988e-05
Position 962: 1.0222794943794044e-05
Position 1263: 9.958376329215784e-06
Position 1193: 7.004890670140815e-06
Position 2199: 6.879670620110268e-06
Position 542: 6.538111084049392e-06
Position 1679: 5.684404811503397e-06
Position 938: 4.242053913504289e-06
Position 3793: 3.150813761447497e-06
Position 63: 3.146346998136542e-06
Position 251: 3.0828743931320655e-06
Position 950: 2.8544150017615566e-06
Position 2697: 2.35776446820503e-06
Position 2127: 1.4589313151082041e-06
Position 2284: 1.1464731842023546e-06
Position 61: 6.321753084702157e-07
Position 2171: 4.796960290619846e-07
Position 2363: 3.9164491026273305e-07
Position 2757: 1.951735627003089e-07
Position 2234: 1.5271916071745404e-07
Position 153: 1.4346325552852626e-07
Position 2398: 8.400083163010145e-08
Position 151: 5.8146053100559543e-08
Position 396: 9.154097182521588e-09
Position 3568: 8.874160228372267e-09
Position 2413: 3.814511106395462e-09
Position 465: 3.029517123097868e-09
Position 325: 2.831761034551967e-09
Position 358: 2.158673312791958e-09
Position 203: 4.319843469916297e-10
Position 498: 2.7165500335681316e-10
Position 430: 6.4033530135501e-11
Position 492: 3.1528765572645045e-11
Position 407: 2.1159544952710353e-11
Position 356: 2.369489274028537e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2066: 0.9822263011860091
Position 3665: 0.8438587813276268
Position 7536: 0.3095512356182017
Position 7486: 0.18274513702222644
Position 7628: 0.1811324530686145
Position 3990: 0.14937419272221003
Position 5698: 0.1435580638594757
Position 4815: 0.12681045785194184
Position 2248: 0.06422808923177685
Position 4121: 0.061322304522195045
Position 3878: 0.05082299557446004
Position 2994: 0.044966192265541036
Position 8079: 0.04489249145299697
Position 3668: 0.038862178541811905
Position 6886: 0.026325287061089497
Position 7204: 0.02319546201435383
Position 4023: 0.012740287319866398
Position 2943: 0.010771638121661977
Position 2850: 0.01040265689867118
Position 2314: 0.010284046003959305
Position 5745: 0.009788527437520787
Position 6546: 0.00864691281977256
Position 3555: 0.0080943231566189
Position 3753: 0.0076960903959180605
Position 7181: 0.007419370922971908
Position 2484: 0.0059521393361066
Position 2792: 0.00539483798955322
Position 7000: 0.005011802527408843
Position 3287: 0.004766389553659394
Position 6093: 0.0039095927232891655
Position 2257: 0.0037421946065439907
Position 1431: 0.003605946123003956
Position 5888: 0.0035619765260663547
Position 2814: 0.003491580171085807
Position 4073: 0.003315110221879937
Position 2708: 0.0025143971717077247
Position 5611: 0.0023344331886802597
Position 4488: 0.001996765703598152
Position 5923: 0.001980554936701251
Position 1904: 0.001860443325540548
Position 3517: 0.0018543451196649555
Position 593: 0.0017839711605217292
Position 4199: 0.0017376790513689195
Position 850: 0.0015432542560704168
Position 5407: 0.001447634422752135
