Gene = CXCL14
index = 421
Annotated 5SS: [ 565  846 4708]
Annotated 3SS: [ 739 4593 7410]
SMsplice 5SS: [ 565  846 4708]
SMsplice 3SS: [ 739 4593 7410]
top_k =  500
Partition function (log Z): 1.8478176995648368

Sorted 5' Splice Sites (High to Low Probability):
Position 4708: 0.9970211664847963
Position 565: 0.9841388163451951
Position 846: 0.9726335103772169
Position 4936: 0.17593657606426244
Position 6951: 0.12373864525948139
Position 2134: 0.12098707306173796
Position 5262: 0.09178181862839636
Position 4076: 0.05073349103325015
Position 5753: 0.042625982651003785
Position 5191: 0.031140599810033823
Position 195: 0.027210281062688448
Position 3995: 0.02528464209401334
Position 874: 0.024327395895087478
Position 5243: 0.022289809935485842
Position 5102: 0.01654747009309872
Position 5110: 0.014634875132009917
Position 5147: 0.011292224817743163
Position 3714: 0.009417136354784507
Position 5377: 0.008888128393982864
Position 3688: 0.007996657104671788
Position 5463: 0.0076728895784031635
Position 7224: 0.0075523890859201855
Position 3528: 0.006868300243576557
Position 4080: 0.006803879240525715
Position 5016: 0.006612372276572493
Position 3721: 0.0060919240536029895
Position 3574: 0.005428681504513211
Position 2052: 0.004748426966844453
Position 2174: 0.0036962687076732017
Position 1814: 0.00339384835063359
Position 7141: 0.0031474729230062913
Position 104: 0.002913841294438872
Position 80: 0.00291030369847292
Position 3974: 0.002546370180328336
Position 7601: 0.0024897145336952886
Position 3682: 0.002272070328755078
Position 163: 0.0016539368957253528
Position 6094: 0.0016245480459667313
Position 17: 0.0014857234202270647
Position 6746: 0.0014600566823464946
Position 1961: 0.0014138935319466639
Position 495: 0.0013700757481697548
Position 4173: 0.001339806500494696
Position 7027: 0.0013106920083185065
Position 3831: 0.0012503437928046424
Position 841: 0.0012492650087235929
Position 2992: 0.0011989163023191144
Position 1441: 0.001156537677900833
Position 1395: 0.0010337922584467442
Position 4445: 0.0008683015392132676
Position 4618: 0.0008456872552480341
Position 1219: 0.000793812815322305
Position 53: 0.0007222026763584442
Position 65: 0.0006830551522854133
Position 86: 0.000529839325006601
Position 3531: 0.00039892169889625256
Position 3206: 0.0003849934296434031
Position 569: 0.00038337646708487875
Position 74: 0.0003785594991158134
Position 4353: 0.0003674193766188741
Position 1069: 0.0003609463035606169
Position 2801: 0.0003194518959978741
Position 1473: 0.0003016042945502087
Position 2952: 0.00029421237451581275
Position 816: 0.00027882815930403465
Position 1753: 0.0002598821972862357
Position 106: 0.00023831450897920876
Position 2798: 0.0002040003894181733
Position 3469: 0.00018970412247580468
Position 126: 0.00018945945775554053
Position 23: 0.00015350523229627481
Position 669: 0.00012520375053441503
Position 76: 0.000102434423676371
Position 5: 9.417232822871635e-05
Position 5083: 7.8365959487732e-05
Position 31: 5.8477173032247265e-05
Position 3280: 5.0324780080931594e-05
Position 5036: 4.293299129497048e-05
