Gene = IKBKAP
index = 684
Annotated 5SS: [  253  3120  4348  6745  7594 11275 14864 15306 16570 17913 21853 23107
 25812 27814 30554 31278 32489 32692 33857 34295 35446 35615 36969 37164
 37621 40174 41131 42914 44785 51992 52412 54065 54671 55494 56122 59222]
Annotated 3SS: [ 2914  4194  6662  7512 11188 14766 15214 16445 17818 21621 22935 25711
 27630 30446 31173 32434 32585 33740 34220 35366 35534 36830 37077 37471
 40049 41032 42711 44722 51928 52350 53950 54558 55365 55966 59145 64933]
SMsplice 5SS: [  253  2796  3120  4348  6745  7594 11275 14864 15306 17913 21853 23107
 23663 25812 30554 31278 32692 34295 35446 35615 37621 40174 41131 42914
 44785 51992 52454 54065 54671 55494 56122]
SMsplice 3SS: [ 2626  2914  4194  6662  7512 11188 14766 15214 17818 21621 22935 23493
 25711 30446 31173 32585 34220 35366 35534 37471 40049 41032 42711 44722
 51928 52350 53950 54558 55365 55966 64933]
top_k =  500
Partition function (log Z): 45.00968450917079

Sorted 5' Splice Sites (High to Low Probability):
Position 7594: 0.999986335849242
Position 56122: 0.9996294460808329
Position 44785: 0.9885841043681813
Position 42914: 0.9882197603920079
Position 35615: 0.9881378106907779
Position 32692: 0.9869235646787344
Position 30554: 0.9849383195284019
Position 55494: 0.9781268497286095
Position 37621: 0.9761477279564986
Position 25812: 0.97480870726701
Position 35446: 0.9653372506569794
Position 34295: 0.9265626751864291
Position 14864: 0.9224280412486853
Position 3120: 0.8997286258034284
Position 31278: 0.8817832912987081
Position 21853: 0.8684760006288839
Position 4348: 0.8118083767786733
Position 15306: 0.8080452236487247
Position 23107: 0.7686312465911828
Position 2796: 0.7294308480260606
Position 40174: 0.701446570009414
Position 41131: 0.6783301931841161
Position 17913: 0.6555436079903022
Position 253: 0.6478274773315561
Position 23663: 0.6349995685624119
Position 52454: 0.6295085217315665
Position 6745: 0.6265253034268455
Position 51992: 0.6172169719599453
Position 18975: 0.5938906661858357
Position 54065: 0.5882840627613309
Position 11275: 0.5123662240861405
Position 54671: 0.49894537188997207
Position 5901: 0.46800188236706847
Position 16570: 0.4276897029508105
Position 43361: 0.42239199862925014
Position 11318: 0.4155442892765574
Position 27814: 0.40196119331652347
Position 1033: 0.394032945125324
Position 52057: 0.34864649992159374
Position 27729: 0.3455843901231723
Position 17972: 0.3414262479036408
Position 48349: 0.3251661884143309
Position 26307: 0.3085969583457537
Position 37226: 0.299519852995779
