Gene = KDF1
index = 727
Annotated 5SS: [  57 9065 9725]
Annotated 3SS: [ 7993  9649 10254]
SMsplice 5SS: [  57 9725]
SMsplice 3SS: [ 9649 10254]
top_k =  500
Partition function (log Z): -7.039116850147715

Sorted 5' Splice Sites (High to Low Probability):
Position 9725: 0.9571702289784007
Position 700: 0.4584308328080209
Position 57: 0.4067818960529114
Position 6561: 0.38423029426709504
Position 658: 0.3116000192682858
Position 9899: 0.2646557476421246
Position 393: 0.2155031985018187
Position 247: 0.20134764588613152
Position 7310: 0.19842104152681064
Position 186: 0.1624466242604013
Position 9318: 0.11166406299312037
Position 9889: 0.06889588415162766
Position 6985: 0.06836816677081271
Position 1810: 0.06201488251267601
Position 9324: 0.061774610794166886
Position 4036: 0.04313536661602188
Position 1396: 0.03701749779086248
Position 380: 0.02550063509398641
Position 4084: 0.02471289127880547
Position 1693: 0.016563569213267588
Position 6577: 0.015893840286331652
Position 3889: 0.015636685768547258
Position 286: 0.01341704756117278
Position 9241: 0.010769848483727529
Position 5198: 0.00762477497569224
Position 417: 0.004968981239550392
Position 10326: 0.003957941982244996
Position 155: 0.003140109154776671
Position 10603: 0.0029876393591493577
Position 10696: 0.0027272646533752615
Position 9748: 0.0026915084450310402
Position 9757: 0.0020268024685116516
Position 9893: 0.0018198672751007581
Position 3115: 0.0013530373413784612
Position 3896: 0.0013444041236540377
Position 9970: 0.0012479523038574068
Position 9963: 0.0011161776433806546
Position 9990: 0.001102073297891868
Position 143: 0.0008456810699075723
Position 337: 0.000669889218558527
Position 620: 0.0004277042706553567
Position 718: 0.0003244885864985994
Position 622: 0.00030440705308940486
Position 716: 0.0002874178970763429
Position 819: 0.00021066934174756801
Position 105: 0.00019755754468957085
Position 358: 0.0001792086274778321
Position 720: 0.00016706452543813766
Position 563: 0.00016692557144242458
Position 724: 0.00015901589828958533
Position 1230: 0.0001581412542878283
Position 259: 0.00013967022247571542
Position 962: 0.00013306986957697375
Position 722: 0.00012571031828685717
Position 103: 0.00011857298301555069
Position 1380: 0.000110229819993883
Position 605: 9.766273117249482e-05
Position 602: 8.98916133782525e-05
Position 1504: 5.491926623707077e-05
Position 440: 3.5517102623913706e-05
Position 316: 1.3057888994381352e-05
Position 967: 5.798106026967501e-06
Position 9923: 1.1647208255928793e-06
Position 9966: 1.0723420595742355e-06
Position 458: 9.332434270463035e-07
Position 420: 5.936070163644297e-07
Position 446: 3.343163729970437e-07
Position 486: 1.7504130813253857e-07
Position 728: 2.5249606874774514e-09
Position 444: 3.2486504164614346e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 9649: 0.9737745901725113
Position 503: 0.7610398881763851
Position 10254: 0.6579952153059325
Position 9799: 0.4747023631720885
Position 6458: 0.36891706699453103
Position 9219: 0.19050659115946697
Position 7068: 0.08673510104257846
Position 7179: 0.08103622047045225
Position 1597: 0.07448977907403699
Position 6830: 0.06548885529498327
Position 10535: 0.04732349590301887
Position 270: 0.034306631974485774
Position 1292: 0.03374385667769133
Position 10175: 0.029171434318778916
Position 3861: 0.025740574284468767
Position 10178: 0.02299051147347104
Position 3879: 0.02279501369404507
Position 10325: 0.021928375693679617
Position 9874: 0.019992768771663963
Position 3778: 0.019515172239620425
Position 10286: 0.014075852328327976
Position 7071: 0.012682189239188749
Position 6454: 0.01233143235976229
Position 10584: 0.009811637042562956
Position 6347: 0.009246472453679563
Position 10775: 0.008589224652827795
Position 3908: 0.008324076752159505
Position 7096: 0.007501863819354603
Position 6478: 0.007432128618976054
Position 6979: 0.00652780021777189
Position 10077: 0.006304768627709916
Position 4016: 0.0057232210672742145
Position 594: 0.005682469183230553
Position 10825: 0.005680185846555157
Position 7993: 0.00429873573610322
Position 314: 0.004273490932056808
Position 7283: 0.003937866737464629
Position 5054: 0.0033360000718527095
Position 6295: 0.003294691959385688
Position 6874: 0.002975410067747015
Position 10377: 0.0027982383038621652
Position 4032: 0.002651955852570737
Position 5087: 0.002364650672323031
Position 1180: 0.002148577008111645
Position 1693: 0.0020267665546365027
Position 5127: 0.0019241242315165019
Position 1577: 0.0018000948085466527
Position 240: 0.001339012099951665
Position 552: 0.0011487229676281603
Position 509: 0.000821410948384086
Position 1372: 0.00070510974392014
Position 10554: 0.0006769930468839048
Position 1331: 0.0006247190306743312
Position 5577: 0.000606261292658081
Position 2972: 0.0005604399676465143
Position 2929: 0.00045810392365189646
Position 2852: 0.00041662196238338755
Position 3982: 0.00027313227930112144
Position 1796: 0.0002466542319909324
Position 591: 0.00023599153745658275
Position 350: 0.00019045272372639085
Position 9819: 0.00018091815136696079
Position 1699: 0.00015075566679333214
Position 136: 6.002490051539304e-05
Position 122: 5.7365002166460666e-05
Position 1958: 5.4503956406378576e-05
Position 356: 5.0955944084033446e-05
Position 827: 4.563133271782603e-05
Position 5600: 4.120750595832286e-05
Position 1122: 3.0268161084041033e-05
Position 2765: 3.0246548358862578e-05
Position 555: 2.780879286099762e-05
Position 6275: 2.6827513537202623e-05
Position 1278: 1.528740805956724e-05
Position 1433: 1.3434331424399249e-05
Position 1211: 1.2768047677442227e-05
Position 1537: 1.0782696970126853e-05
Position 742: 7.956360309928523e-06
Position 1307: 6.920097628185815e-06
Position 438: 3.6259570232622314e-06
Position 952: 3.5973861386731417e-06
Position 139: 2.8421018562901886e-06
Position 3015: 2.775107167329113e-06
Position 141: 2.4619329679492892e-06
Position 2995: 1.8138412826131391e-06
Position 774: 1.3775427955625746e-06
Position 1261: 9.114484186819159e-07
Position 861: 7.893398647134207e-07
Position 473: 7.395132562878225e-07
Position 690: 6.444006236692663e-07
Position 561: 3.8718585340797925e-07
Position 1075: 2.601683939310012e-07
Position 407: 2.1936967163942412e-07
Position 216: 9.471615348433566e-08
Position 370: 8.765148013259257e-08
Position 374: 8.255168942892738e-08
Position 127: 6.281118313543073e-08
Position 396: 4.278717906781164e-08
Position 1483: 2.7576245939015236e-08
Position 207: 1.0622496894864423e-08
Position 479: 9.293256795397739e-09
Position 1562: 8.762416165375374e-09
Position 251: 5.050379102866724e-09
Position 413: 1.4117264637485943e-09
Position 415: 8.036335523044774e-10
Position 433: 3.9142726709391433e-10
Position 461: 3.022463426862068e-10
Position 651: 6.284085113350327e-11
Position 628: 3.886719419454463e-11
Position 449: 5.024570057481121e-12
Position 653: 4.5046737877070827e-13
