Gene = MIOS
index = 846
Annotated 5SS: [  201   817  1252  6898  7325 16501 18934 21692 22692 28261 29590 39200]
Annotated 3SS: [  734  1153  5563  7225 16245 18763 21625 22532 28107 29384 39069 40123]
SMsplice 5SS: [  201   817  1252  6806  7325 16501 18934 22692 28261 29590 39200]
SMsplice 3SS: [  734  1153  6667  7073 16245 18763 22532 28107 29384 39069 40123]
top_k =  500
Partition function (log Z): 3.605811643147822

Sorted 5' Splice Sites (High to Low Probability):
Position 817: 0.9973762025936899
Position 29590: 0.9754835722940608
Position 1252: 0.970001211413309
Position 28261: 0.9457067397411634
Position 16501: 0.9435463080649977
Position 7325: 0.9207115354918637
Position 18934: 0.9024100634909372
Position 39200: 0.8940131504499658
Position 22692: 0.8208256164373048
Position 6806: 0.5694548947889645
Position 201: 0.5017297970504513
Position 9925: 0.49088784559597487
Position 9737: 0.4642065405097199
Position 15948: 0.46097385742807306
Position 613: 0.43214422335091435
Position 37160: 0.3590909501522863
Position 35980: 0.29401339238163815
Position 8250: 0.268508504101314
Position 21814: 0.25940033386272104
Position 24941: 0.2577340322486049
Position 28910: 0.13233843270271425
Position 9163: 0.11996050092077441
Position 39390: 0.11952548993477521
Position 40010: 0.11951618155227764
Position 30042: 0.11640615059591958
Position 39784: 0.10731745364999054
Position 31716: 0.09823828797633483
Position 21692: 0.0880581567152725
Position 29172: 0.0765946833400298
Position 29219: 0.06195163576813972
Position 6964: 0.060517539321913144
Position 29789: 0.05723553044458655
Position 2520: 0.043812264275654
Position 28588: 0.043780719114146834
Position 28706: 0.04147469994711949
Position 28226: 0.038416294593913936
Position 500: 0.038158071021488466
Position 31900: 0.024655176804807225
Position 40265: 0.024642859470417396
Position 29208: 0.023441928228800188
Position 18665: 0.02074497711851366
Position 29166: 0.018932368204972818
Position 28500: 0.018046974131185806
Position 35986: 0.01644316025891144
Position 18108: 0.016349742897908748
Position 205: 0.012950376687898932
Position 219: 0.00932350287656237
Position 2630: 0.008799050798063672
Position 6828: 0.007608924887558543
Position 6935: 0.007427558080553908
Position 35963: 0.0073418617964025115
Position 5283: 0.006895435744235372
Position 325: 0.0067281136043989605
Position 29542: 0.006619569343193234
Position 4539: 0.006206924509341882
Position 39401: 0.005623035511504374
Position 32736: 0.005341710671436
Position 10466: 0.005268215799017999
Position 4216: 0.004634659849816286
Position 28856: 0.0027349735015596336
Position 29475: 0.0020269777940352704
Position 826: 0.0013793139716441122
Position 89: 0.0013482350542633234
Position 7845: 0.0012491832129944884
Position 29195: 0.0011030912022490656
Position 1229: 0.0009817454671368693
Position 29094: 0.000696780456095321
Position 639: 0.0005450497689576731
Position 570: 0.000506884646821133
Position 2062: 0.00031268013311807583
Position 982: 0.0002888524669235071
Position 175: 0.00028815581911830173
Position 320: 0.00027336026856659133
Position 2016: 0.0002451746626616149
Position 57: 0.00022314312893114498
Position 65: 0.0001559319607615097
Position 2292: 0.0001510331881473063
Position 804: 9.522066818820205e-05
Position 2363: 8.960788890150125e-05
Position 850: 6.468818142311397e-05
Position 1368: 6.155240038925643e-05
Position 698: 5.377345046557755e-05
Position 2007: 4.939882527768448e-05
Position 127: 4.523214892669787e-05
Position 2358: 4.478131582557714e-05
Position 458: 4.448901600182212e-05
Position 874: 4.031892648416041e-05
Position 1273: 3.97052865610445e-05
Position 853: 3.231691733772823e-05
Position 1565: 3.1677849191702026e-05
Position 154: 3.105800359069996e-05
Position 965: 2.431283807172773e-05
Position 2202: 2.403262407733707e-05
Position 1966: 2.1039398926838557e-05
Position 69: 2.0862122340309823e-05
Position 277: 1.9727927004540315e-05
Position 2110: 1.9498343132107616e-05
Position 2161: 1.9175069963593524e-05
Position 225: 1.7791492531471936e-05
Position 293: 1.7535762654423244e-05
Position 62: 1.7007495024727205e-05
Position 1608: 1.4896020611395584e-05
Position 54: 1.3992572547487405e-05
Position 969: 1.0028180391451877e-05
Position 2298: 9.772498408116008e-06
Position 865: 8.268015113130207e-06
Position 51: 6.822450410012005e-06
Position 554: 5.8952010657068785e-06
Position 1058: 5.045653958774323e-06
Position 393: 4.964103526011622e-06
Position 907: 4.8486762949886344e-06
Position 939: 4.777688470527151e-06
Position 517: 4.676790123874247e-06
Position 877: 3.5402319921155086e-06
Position 83: 2.6367084099588396e-06
Position 561: 2.4987299530231376e-06
Position 928: 2.3916608119509543e-06
Position 1034: 2.1350161695530214e-06
Position 779: 1.8500830609290753e-06
Position 605: 1.7006260219118533e-06
Position 677: 1.1253969434874235e-06
Position 156: 9.417901611146725e-07
Position 887: 7.157018917957711e-07
Position 1042: 6.779082006121495e-07
Position 80: 3.2407806124200714e-07
Position 1173: 6.185805639837337e-08
Position 1766: 4.617687358514044e-08
Position 1428: 1.6588198186985415e-08
Position 1317: 9.396107034640102e-09
Position 1560: 9.179444504839654e-09
Position 1238: 1.2713079539721238e-09
Position 1459: 5.041428475711789e-10
Position 1371: 2.597839762177556e-10
Position 470: 2.566799290029517e-10
Position 1410: 2.3101837493430267e-10
Position 1467: 2.0280492430567435e-10
Position 1393: 7.962571372106581e-11
Position 310: 6.269050527944046e-12
Position 40: 1.4466236202914533e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 29384: 0.9986603729503667
Position 28107: 0.9774435285120867
Position 39069: 0.9524984359613579
Position 1153: 0.9523931274460646
Position 16245: 0.9435463080649981
Position 40123: 0.9241975692149965
Position 18763: 0.844202256777853
Position 22532: 0.6969872788878121
Position 734: 0.6837090442167056
Position 7073: 0.552126435650107
Position 6667: 0.5509093015339854
Position 9582: 0.47844477466487606
Position 21625: 0.3474584905779936
Position 37040: 0.32375055659127083
Position 15757: 0.3220385081672837
Position 35836: 0.3209429842344312
Position 697: 0.29264350466197797
Position 9833: 0.24726914671826802
Position 9849: 0.2293804647225505
Position 7203: 0.2111225676281247
Position 28997: 0.17977930260078073
Position 24840: 0.15828783777175537
Position 39871: 0.15258590113237794
Position 7233: 0.1421048572438812
