Gene = SHISA5
index = 1254
Annotated 5SS: [ 199 3491 3858]
Annotated 3SS: [3374 3644 4031]
SMsplice 5SS: [ 199 3532 3858 4160]
SMsplice 3SS: [3374 3644 4031 4895]
top_k =  500
Partition function (log Z): -8.259570831028276

Sorted 5' Splice Sites (High to Low Probability):
Position 3858: 0.8699097766641634
Position 4160: 0.6350728996782665
Position 199: 0.5511218623387507
Position 3532: 0.5451310988586455
Position 3491: 0.26324746683071965
Position 310: 0.19730677017601828
Position 2708: 0.11959307521479176
Position 159: 0.11230497045199833
Position 514: 0.10444207894314064
Position 4288: 0.08335561103727529
Position 4156: 0.05135280387964625
Position 306: 0.048246063457554875
Position 4896: 0.025355643153029003
Position 2588: 0.022343292543242296
Position 176: 0.019871626623474022
Position 2715: 0.01644115714317466
Position 3099: 0.014030786551720334
Position 1997: 0.01051060216500162
Position 4598: 0.009509732284070998
Position 223: 0.008140524246904226
Position 5182: 0.007260253420811464
Position 335: 0.006883706830924778
Position 2730: 0.005457500937345428
Position 5068: 0.003915612569148633
Position 519: 0.0024884957848462378
Position 1556: 0.0024423898953381167
Position 4152: 0.001922363858873143
Position 1514: 0.0014193264688607049
Position 2510: 0.00113565303322237
Position 221: 0.001118410977442904
Position 300: 0.0010607279902074625
Position 432: 0.0007635517443178169
Position 4167: 0.000731984661055942
Position 493: 0.0006751138659703172
Position 2751: 0.0004948667136637859
Position 4652: 0.00036290325353044374
Position 4236: 0.00030440008517309034
Position 4245: 0.00027754571408855795
Position 3516: 0.00024624693100462635
Position 3796: 0.00014643864806101098
Position 308: 0.0001122351826635883
Position 46: 0.00010695991793505147
Position 3705: 5.8701546348047396e-05
Position 4150: 5.6624854750615303e-05
Position 1619: 5.536286727149718e-05
Position 4142: 5.515836703345966e-05
Position 365: 3.289291413285118e-05
Position 4426: 2.3890891124307093e-05
Position 4243: 2.1611302320969162e-05
Position 657: 2.1101696489959463e-05
Position 1541: 1.2953029219576443e-05
Position 4196: 1.1132563818523666e-05
Position 4205: 1.0481669759328703e-05
Position 298: 7.755634335260623e-06
Position 4203: 6.758794918349787e-06
Position 279: 6.69760682645034e-06
Position 4220: 6.554723090358176e-06
Position 125: 5.792235649601857e-06
Position 1558: 5.617492579326762e-06
Position 50: 5.23067284790811e-06
Position 29: 5.112940884552052e-06
Position 286: 3.741174344643806e-06
Position 2158: 3.180831607891201e-06
Position 354: 1.0416771941381352e-06
Position 422: 1.0229901878312039e-06
Position 59: 9.845173486083874e-07
Position 667: 8.862520362626744e-07
Position 15: 8.808449065042627e-07
Position 227: 7.761416376734208e-07
Position 225: 3.7819613584601465e-07
Position 2236: 1.4833407677279535e-07
Position 17: 1.4597759247309136e-08
Position 68: 1.2277497918707478e-08
Position 314: 9.816514210160413e-09
Position 357: 5.706074130739295e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 4031: 0.831961407091112
Position 3374: 0.7201499281438635
Position 3644: 0.6138484509951655
Position 4895: 0.3246205343094574
Position 4550: 0.2647579520026125
Position 3697: 0.23390267536290496
Position 4530: 0.1354748551456766
Position 3363: 0.06521000477262756
Position 2650: 0.06338347910706817
Position 2622: 0.0625868842458305
Position 5092: 0.06233497747125514
Position 376: 0.05830099290394038
Position 4962: 0.03187942109659455
Position 2298: 0.02289036011850507
Position 3471: 0.022477680299087338
Position 4059: 0.022015343129901842
Position 3796: 0.0211745424133399
Position 4675: 0.020783883282135936
