Gene = PRRC1
index = 1080
Annotated 5SS: [  168  5974  7312  9170 12788 16178 21535 30313]
Annotated 3SS: [ 5850  6921  9008 12684 16013 21430 30209 34097]
SMsplice 5SS: [  168  7126  7312  9170 12833 16178 21535 27078 30313]
SMsplice 3SS: [ 6921  7212  9008 12684 16013 21430 26871 30209 30512]
top_k =  500
Partition function (log Z): 8.05886630464493

Sorted 5' Splice Sites (High to Low Probability):
Position 21535: 1.000000000000001
Position 9170: 0.9828676663636776
Position 16178: 0.9797629534933647
Position 30313: 0.978485572915279
Position 7312: 0.943767886733958
Position 168: 0.926689259833487
Position 27078: 0.7232707916730113
Position 12833: 0.6863987739573995
Position 7126: 0.6691165535510671
Position 22451: 0.5316972565697696
Position 26303: 0.45409132345484793
Position 27264: 0.42195572606493964
Position 5974: 0.4105744857105027
Position 26657: 0.3696493523937512
Position 30526: 0.2956369150387411
Position 32792: 0.29307994096229334
Position 30819: 0.28595060956835494
Position 23912: 0.24949073011597195
Position 18649: 0.19256864262064052
Position 31107: 0.17398254539710833
Position 8644: 0.1733271040631421
Position 391: 0.1588436732489705
Position 21315: 0.14271473301886062
Position 8871: 0.13243372479706306
Position 15692: 0.1265962741174279
Position 18162: 0.12286483321009659
Position 26662: 0.12157841520032033
Position 30083: 0.11571976382763934
Position 32466: 0.11486617461165312
Position 14343: 0.11077771782374123
Position 17795: 0.10358835320773498
Position 32770: 0.09911788288294722
Position 14270: 0.09123738672585648
Position 12213: 0.07170410302936324
Position 18616: 0.06593325786404002
Position 32438: 0.0655133464854855
Position 20395: 0.06320806381880525
Position 11471: 0.062397640714070265
Position 6150: 0.05947851542087566
Position 12788: 0.05599630647546332
Position 34304: 0.05230996276705169
Position 23398: 0.04960471517815235
Position 8582: 0.049422756751453925
Position 27098: 0.04815937964428855
Position 4425: 0.04723653312064151
Position 9376: 0.04564669337585194
Position 11235: 0.04561552093156044
Position 24455: 0.040289610821723595
Position 5742: 0.038476029008361175
Position 17380: 0.0366930629432112
Position 10558: 0.03624606532359072
Position 56: 0.03479933805859361
Position 7953: 0.030790975868939485
Position 27323: 0.030131106724584366
Position 12809: 0.03009895211266889
Position 14295: 0.025922019371803287
Position 31900: 0.025338284243526157
Position 17888: 0.022906262666704123
Position 4883: 0.017632701932642447
Position 5307: 0.01748846463407049
Position 13658: 0.01709931494128203
