Gene = DPT
index = 468
Annotated 5SS: [  395 15044 28248]
Annotated 3SS: [14917 28139 32648]
SMsplice 5SS: [  395  9453  9742 10681 15044 20551 28248]
SMsplice 3SS: [ 9369  9553 10551 14917 20455 28139 32648]
top_k =  500
Partition function (log Z): -2.7682127591507686

Sorted 5' Splice Sites (High to Low Probability):
Position 15044: 0.9778477574459726
Position 395: 0.9667706286242029
Position 28248: 0.9659503050172443
Position 10681: 0.9491129713516042
Position 20551: 0.8070724075901577
Position 9453: 0.7076248751870567
Position 22994: 0.6331062252237091
Position 9742: 0.4702745857757233
Position 18556: 0.40069898199367915
Position 8315: 0.3834488556343566
Position 25897: 0.22319579916933208
Position 11188: 0.19179498015024624
Position 20178: 0.17769005141361788
Position 28951: 0.15787736516338585
Position 8308: 0.15542282795296722
Position 13267: 0.11518597961563178
Position 9469: 0.11157120805137398
Position 13890: 0.11051869312565443
Position 9500: 0.08396864117704697
Position 14677: 0.08271616045593665
Position 19105: 0.07754020715145547
Position 9913: 0.06995945145279506
Position 13439: 0.05640603893443215
Position 14064: 0.053174449423317796
Position 9732: 0.052056157625140966
Position 32841: 0.04260601173732807
Position 9115: 0.03773484137231841
Position 10988: 0.036077636579795166
Position 9509: 0.03314822819378455
Position 20574: 0.029406970174461155
Position 16650: 0.028437738496391567
Position 15386: 0.02551514204993905
Position 40: 0.025065006599684775
Position 2315: 0.023096530072275745
Position 16646: 0.022792019929492254
Position 737: 0.021966136979833753
Position 9140: 0.021547083539185597
Position 17615: 0.019259734286510295
Position 18304: 0.018918915166439104
Position 6075: 0.018609152654717045
Position 17608: 0.01818184541623076
Position 28557: 0.017203536022290432
Position 200: 0.015892354364602772
Position 4909: 0.015553970635119464
Position 3283: 0.014872799623100143
Position 17646: 0.014530807988917165
Position 10246: 0.014067862888563942
Position 15118: 0.012924338777607076
Position 2389: 0.01069439835823346
Position 16164: 0.00950259283627176
Position 2759: 0.009345406440872233
Position 15026: 0.009190095440086747
Position 21366: 0.008856458256808626
Position 22236: 0.007476636964796085
Position 16930: 0.005988006260316778
Position 19866: 0.005771574872549343
Position 18012: 0.00460068085316756
Position 16519: 0.004207040963553875
Position 9504: 0.004021865790321837
Position 9450: 0.0037818459452376475
Position 11567: 0.0035252852743322604
Position 12248: 0.00328179318853177
Position 19843: 0.0030622745779682343
Position 11003: 0.003055141283142673
Position 11200: 0.002927036344266925
Position 10065: 0.0022750049845916493
Position 252: 0.002210074467454892
Position 17830: 0.0014765869859031987
Position 362: 0.0012190580609352543
Position 17161: 0.0011769843663455445
Position 17733: 0.0010293296988001092
Position 3674: 0.0006996663450021408
Position 111: 0.0006840186894608585
Position 6866: 0.00031059832655702397
Position 204: 0.0002879323906922055
Position 146: 0.00021366115318674378
Position 292: 0.00016367437297318542
Position 10758: 0.00012123284362152986
Position 15964: 7.140970664124973e-05
Position 19075: 6.545608288470496e-05
Position 15476: 4.4892575654249586e-05
Position 176: 4.421091668970784e-05
Position 264: 3.261835760383477e-05
Position 2569: 2.3197197906928582e-05
Position 679: 1.9632876747121177e-05
Position 683: 1.5346157081874406e-05
Position 15796: 1.1032887101676976e-05
Position 16761: 1.0901311892693051e-05
Position 17: 1.0286291911156801e-05
Position 4466: 9.00895116755645e-06
Position 484: 6.735812485924914e-06
Position 14975: 6.3158524830577326e-06
Position 16938: 5.5720973436367636e-06
Position 2970: 5.328490435368399e-06
Position 16623: 5.284909115814332e-06
Position 722: 5.169960543405264e-06
Position 15083: 4.46228868160803e-06
Position 68: 2.3768716528427403e-06
Position 60: 2.3271037019696036e-06
Position 2185: 2.091544090727739e-06
Position 1041: 1.396804057775565e-06
Position 126: 7.456575736322989e-07
Position 356: 5.872343676908907e-07
Position 537: 3.177830970781446e-07
Position 236: 2.8636677239774357e-07
Position 100: 1.0020048077099778e-07
Position 238: 6.66513249734048e-08
