Gene = PLPPR1
index = 1041
Annotated 5SS: [   394 156849 241360 257528 280753 284266 288788]
Annotated 3SS: [156740 241170 257394 280501 284088 288655 295315]
SMsplice 5SS: [   394   1010   2029  13293  49479  72801  90314 102284 110974 134592
 139962 156849 168940 239330 241360 246779 257528 280357 280753 281599
 282267 284266 288550 288788]
SMsplice 3SS: [   911   1927  13136  49353  72733  90211 102173 110849 134490 139879
 156740 168743 239199 241233 246692 257394 280162 280501 281524 282068
 284088 288435 288655 295315]
top_k =  500
Partition function (log Z): -140.96146783753673

Sorted 5' Splice Sites (High to Low Probability):
Position 13293: 0.9182800277732609
Position 394: 0.9058474130576626
Position 2029: 0.7595835234001826
Position 1010: 0.706466582042103
Position 9434: 0.48718215880251287
Position 13029: 0.39643224482767925
Position 12717: 0.37167269817505305
Position 17390: 0.30748074894045885
Position 15722: 0.22524165219094386
Position 14326: 0.1670604926944502
Position 12581: 0.1363999963319858
Position 8452: 0.12677474168594693
Position 13842: 0.10187239368871098
Position 999: 0.08840979433503965
Position 782: 0.06779307608034442
Position 7595: 0.03637903537011138
Position 13584: 0.015047649251721366
Position 753: 0.014811569273879797
Position 2023: 0.009997716081302439
Position 15695: 0.009394923892436067
Position 360: 0.004090483456256861
Position 1521: 0.0037212848031626476
Position 1390: 0.002624043185695413
Position 1014: 0.0026074298668519826
Position 1513: 0.0023061528413329123
Position 491: 0.0015157093566735798
Position 1586: 0.0011809811159606283
Position 2906: 0.0011755018355415322
Position 757: 0.0011290808240153301
Position 839: 0.001051655704107351
Position 591: 0.0006886282148227433
Position 982: 0.0006195504732710275
Position 2060: 0.0005616058005305114
Position 398: 0.0004906235262424379
Position 2913: 0.00046547652103287243
Position 1102: 0.0003665748364705467
Position 1598: 0.00033952984120095344
Position 521: 0.00023529042347486775
Position 446: 0.00022517467041119297
Position 796: 8.637052328458063e-05
Position 330: 7.781580409592933e-05
Position 429: 5.943358073620306e-05
Position 509: 5.901998523382054e-05
Position 816: 2.5550141125719175e-05
Position 593: 1.718492524390859e-05
Position 576: 1.3565373330606585e-05
Position 143: 8.896456029128526e-06
Position 2196: 8.238818851347866e-06
Position 309: 7.853302336349094e-06
Position 663: 7.226381395290227e-06
Position 924: 5.133489418537246e-06
Position 759: 2.646869381621511e-06
Position 2212: 2.4854398853692976e-06
Position 307: 1.7520251619187362e-06
Position 513: 1.5380743201989434e-06
Position 748: 1.3834640062799987e-06
Position 547: 8.609067606575614e-07
Position 515: 7.322893716863406e-07
Position 845: 5.139885107970093e-07
Position 1232: 4.401483420655347e-07
Position 1281: 2.6903733861634745e-07
Position 1703: 2.1686122829346127e-07
Position 1216: 1.8202948426117525e-09
Position 1172: 1.51752320464478e-09
Position 928: 8.906171384130981e-10
Position 1243: 3.9400883796643397e-10
