Gene = TSTD1
index = 1500
Annotated 5SS: [ 111  440 1078]
Annotated 3SS: [ 316  914 1163]
SMsplice 5SS: [ 111  440 1078]
SMsplice 3SS: [ 316  834 1163]
top_k =  500
Partition function (log Z): -2.7306380241142048

Sorted 5' Splice Sites (High to Low Probability):
Position 111: 0.8858631345619775
Position 1078: 0.8111754116579352
Position 440: 0.7871519185652833
Position 246: 0.10250620118068271
Position 466: 0.041309402840657414
Position 1088: 0.03126656986552061
Position 492: 0.004813736159982283
Position 796: 0.002267174155718833
Position 916: 0.001969136251695063
Position 447: 0.0012721540497399914
Position 1017: 0.0012082042977159034
Position 382: 0.0011746385704039838
Position 483: 0.0007441508574577382
Position 764: 0.0007260984263146007
Position 583: 0.00041577156820719923
Position 148: 0.00034848209922334477
Position 139: 0.0002813835901355623
Position 761: 0.0002734625687260306
Position 768: 0.00017374398539297001
Position 157: 0.00016496323921768989
Position 790: 0.0001457702114029392
Position 922: 0.00010918917478053377
Position 930: 0.00010772083163767036
Position 914: 3.838846358702366e-05
Position 1211: 3.613568238420363e-05
Position 469: 3.0483352723898432e-05
Position 1062: 2.952785298147202e-05
Position 549: 2.71829580016313e-05
Position 1197: 2.2427805694268274e-05
Position 86: 1.8980039753536676e-05
Position 325: 9.156865154990187e-06
Position 209: 7.186626451856316e-06
Position 175: 7.111546253744673e-06
Position 1108: 5.82952717084399e-06
Position 180: 4.81362846608073e-06
Position 634: 3.3746233764763984e-06
Position 744: 2.2698242678286882e-06
Position 9: 1.8841564711325542e-06
Position 806: 1.5252138223540413e-06
Position 1090: 1.2900826611253063e-06
Position 268: 3.60119005053038e-07
Position 215: 1.180498895331319e-08
Position 37: 9.132815068305508e-09
Position 198: 3.043115505715121e-09
Position 165: 2.1874925095593833e-09
Position 344: 1.4107769818531234e-09
Position 299: 4.878798081912823e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1163: 0.9188344338697547
Position 316: 0.7270978524433965
Position 834: 0.5572045481517202
Position 914: 0.31350186750813175
Position 355: 0.07373124460773924
Position 1021: 0.03830072467437658
Position 295: 0.020733449376511337
Position 278: 0.007936888712754388
Position 850: 0.003575017334406544
Position 961: 0.002536957289764366
Position 586: 0.002240153623262505
Position 982: 0.0018808387200615843
Position 634: 0.001536954149108647
Position 940: 0.001274918055047788
Position 735: 0.0010829353583881867
Position 570: 0.000885570952841456
Position 245: 0.0008054870970078976
Position 856: 0.0006250452543070613
Position 841: 0.0005404396649203163
Position 870: 0.0003599271487744528
Position 1316: 0.00028077092557253014
Position 518: 0.0002024945996370418
Position 577: 9.646924079653998e-05
Position 1137: 8.846090307530439e-05
Position 1273: 4.883174969184046e-05
Position 979: 3.313752077987935e-05
Position 946: 3.2653303070625854e-05
Position 950: 3.106188512240144e-05
Position 988: 2.746938938123339e-05
Position 590: 2.6207513434352883e-05
Position 1042: 2.460195615685458e-05
Position 1030: 2.1692943632738397e-05
Position 233: 1.6771161634929304e-05
Position 193: 9.720113211505832e-06
Position 1333: 8.447705124223813e-06
Position 928: 8.424745273372918e-06
Position 799: 8.405011579117094e-06
Position 1190: 7.711847783631411e-06
Position 566: 7.222689715143309e-06
Position 1051: 6.188902558041246e-06
Position 740: 5.71728095980613e-06
Position 399: 5.348157776917337e-06
Position 922: 5.15788962333878e-06
Position 1183: 4.505663268439652e-06
Position 445: 4.136126919230507e-06
Position 761: 3.476233950602943e-06
Position 406: 2.609408822035137e-06
Position 643: 2.0945308336179414e-06
Position 640: 2.073528937350572e-06
Position 421: 1.8121282961661183e-06
Position 1100: 1.6120223159827432e-06
Position 206: 1.4830197608345495e-06
Position 396: 1.216098670686072e-06
Position 250: 1.0848943732118656e-06
Position 708: 6.501935283552904e-07
Position 1345: 3.7075113582007517e-07
Position 533: 3.4423622770339314e-07
Position 647: 3.2810255159772836e-07
Position 175: 2.5863472719305964e-07
Position 188: 8.167485183500444e-08
Position 162: 1.3476446377688877e-08
Position 171: 1.926172262869855e-09
Position 78: 3.63342667851233e-10
Position 110: 1.7237549633162954e-10
Position 477: 3.3031331909119315e-11
Position 465: 9.567650789411849e-12
Position 488: 3.8625565346959366e-12
Position 479: 1.6270976573493908e-13
Position 452: 1.0878404228312501e-13
