Gene = AL162424.1
index = 55
Annotated 5SS: [24]
Annotated 3SS: [521]
SMsplice 5SS: [230]
SMsplice 3SS: [349]
top_k =  500
Partition function (log Z): -12.638143955806502

Sorted 5' Splice Sites (High to Low Probability):
Position 230: 0.8209957027675101
Position 97: 0.09676934189543811
Position 197: 0.050990137949654915
Position 244: 0.010295018277053732
Position 288: 0.009329925217497476
Position 130: 0.007538698440432599
Position 61: 0.0015445371467025643
Position 172: 0.000771591801589768
Position 91: 0.0007181447385840802
Position 388: 0.0003197162830698072
Position 277: 0.0001940196946761709
Position 70: 0.00015122241804981466
Position 52: 0.00013607881443047974
Position 355: 7.438277919747069e-05
Position 301: 6.428298543114046e-05
Position 457: 6.185119385508463e-05
Position 473: 6.144188693189481e-05
Position 37: 5.8118202711917336e-05
Position 361: 4.466271690573613e-05
Position 10: 2.7768812218347415e-05
Position 4: 4.630155043654217e-06
Position 58: 3.1519966720635663e-06
Position 312: 2.5922699747405044e-06
Position 324: 5.827358664671908e-07
Position 475: 5.565732380101693e-07
Position 330: 1.8970895703445372e-07
Position 315: 1.5215862581668047e-07
Position 318: 4.9454255197026685e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 349: 0.9550470569802774
Position 374: 0.01530181972401934
Position 399: 0.011165026179418641
Position 521: 0.009036682385577798
Position 354: 0.0033892677916659724
Position 211: 0.002614377962741047
Position 547: 0.0018075923643310723
Position 431: 0.00046938330646732404
Position 523: 0.0003988594322227249
Position 566: 0.0003274383732666864
Position 448: 0.0001739140099659478
Position 141: 0.00011825065201921603
Position 216: 7.66217682284351e-05
Position 272: 6.502331441881769e-05
Position 490: 5.19476745308048e-05
Position 380: 2.8835530434971382e-05
Position 472: 1.9056742576211267e-05
Position 228: 1.58251093258017e-05
Position 409: 1.3123956627544567e-05
Position 123: 1.0345622310063046e-05
Position 460: 8.412505378415244e-06
Position 573: 4.418305766041402e-06
Position 147: 3.546243523796308e-06
Position 260: 3.3245204803029158e-06
Position 457: 2.4561264038267345e-06
Position 162: 1.7062334887426867e-06
Position 252: 1.6760714885019746e-06
Position 120: 1.2959737962942328e-06
Position 287: 3.7154968495846684e-07
Position 277: 3.272088901803695e-07
Position 269: 2.9487826737482803e-07
Position 244: 1.9737116781785822e-07
Position 234: 6.868470411387786e-08
Position 154: 4.503441608605669e-09
Position 239: 8.871242245638263e-12
Position 66: 6.364257567227109e-12
Position 285: 2.4311598809223323e-12
