Gene = UTP11L
index = 1541
Annotated 5SS: [  124  3679  5029  5836  6411  6642 10068]
Annotated 3SS: [ 3616  4925  5721  6316  6510  9956 10802]
SMsplice 5SS: [  124  3679  5029  5836  6411 10068]
SMsplice 3SS: [ 3616  4925  5721  6316  9956 10802]
top_k =  500
Partition function (log Z): 8.741382833544986

Sorted 5' Splice Sites (High to Low Probability):
Position 5836: 0.9976854244035049
Position 10068: 0.9774154227938021
Position 124: 0.9761617871495232
Position 5029: 0.948047812464855
Position 3679: 0.8588685775425573
Position 6411: 0.8545896757908247
Position 6642: 0.48154308975504395
Position 10982: 0.3292523751059772
Position 434: 0.22918104468136552
Position 5274: 0.17462615446895532
Position 9529: 0.15106552477960783
Position 4103: 0.09397981192810413
Position 1580: 0.0848281052506186
Position 10256: 0.07712045802573822
Position 3697: 0.07513307293027119
Position 7503: 0.06932423585538733
Position 738: 0.06342131618999058
Position 10298: 0.05715466061630074
Position 3492: 0.053559403347720316
Position 391: 0.05263175823167055
Position 10720: 0.046506977879370366
Position 9745: 0.040871705048581335
Position 5260: 0.0333912880067929
Position 5607: 0.03306664043923506
Position 6668: 0.024229467991563298
Position 7161: 0.022874968406550397
Position 10941: 0.020690432936802058
Position 9841: 0.019532627169743733
Position 549: 0.017914967674309345
Position 5609: 0.017754799246056847
Position 1555: 0.017448412818814773
Position 4275: 0.01712267938385685
Position 742: 0.015597656274145806
Position 11003: 0.013982851244663383
Position 3193: 0.012732548658734242
Position 3423: 0.0118523031025486
Position 10839: 0.011332441420241743
Position 5017: 0.01097513233511847
Position 4107: 0.010764007589892231
Position 5048: 0.009112324144365965
Position 10824: 0.009011817208226901
Position 446: 0.00874377927989392
Position 11552: 0.00787949183015707
Position 6428: 0.0073629641614807945
Position 4052: 0.007201254597169027
Position 10986: 0.006904430752154487
Position 3113: 0.006826654832908127
Position 10730: 0.006350496410446358
Position 7355: 0.005864558235876986
Position 5156: 0.0058083332701550725
Position 243: 0.005104907766483801
Position 10914: 0.00452662187371612
Position 6130: 0.004335486388250675
Position 7022: 0.004330476630892241
Position 10508: 0.0035866593774109643
Position 3461: 0.003056808223875613
Position 8323: 0.0029803138279676043
Position 10308: 0.00221514227456526
Position 5147: 0.0022012490282844843
Position 1116: 0.0021997955511550687
Position 3542: 0.0021557881898800883
Position 1584: 0.002136983652398088
Position 10882: 0.0020730487829533884
Position 10025: 0.0020091569567624225
Position 3434: 0.001977653596008485
Position 9431: 0.0018796878709222762
Position 546: 0.0016610479560000865
Position 11259: 0.0016466245846088676
Position 383: 0.0016207401460892246
Position 7667: 0.0016155682668527035
Position 10359: 0.001373245979508322
Position 714: 0.0013202760273129377
Position 4785: 0.0013130755879111424
Position 3549: 0.0012694742194809588
