Gene = DR1
index = 470
Annotated 5SS: [ 978 8184]
Annotated 3SS: [ 8019 14604]
SMsplice 5SS: [ 978 3576 4114 8184 9555]
SMsplice 3SS: [ 3495  4030  8019  9410 12509]
top_k =  500
Partition function (log Z): -8.848753286581267

Sorted 5' Splice Sites (High to Low Probability):
Position 8184: 0.9898118261696806
Position 978: 0.7994060099568826
Position 4114: 0.7878052485861495
Position 3576: 0.6010049240850752
Position 9555: 0.5612298530049591
Position 1969: 0.5165318981081043
Position 360: 0.3515207690133725
Position 7890: 0.2089331190070948
Position 13031: 0.1882042460200286
Position 1252: 0.14196442986795454
Position 8879: 0.11098268589145814
Position 9888: 0.10679027405023808
Position 2765: 0.08778166020565867
Position 1537: 0.060107177492064345
Position 4589: 0.05289636882830971
Position 1076: 0.052713144463237015
Position 753: 0.0313370421521133
Position 11982: 0.028270007311167685
Position 12582: 0.02576001013993033
Position 11978: 0.025107331452335745
Position 13751: 0.023453989812776792
Position 9168: 0.020063213889053886
Position 3664: 0.017911904121952357
Position 349: 0.013193831183584406
Position 8348: 0.011189035380331561
Position 459: 0.010588439670573106
Position 8452: 0.009867803488013315
Position 13079: 0.007856340471770362
Position 10091: 0.006112515148964256
Position 8865: 0.005347783957548806
Position 3983: 0.004998725052256044
Position 3627: 0.004111966689211287
Position 265: 0.0035981278192937314
Position 1361: 0.002757603652673762
Position 1580: 0.0019511760534072612
Position 6551: 0.0019385783353901309
Position 5885: 0.0013725503960115002
Position 1010: 0.0008795127848572371
Position 10524: 0.0007715233261026515
Position 694: 0.000769787223648945
Position 9602: 0.0007208852516909777
Position 251: 0.0006428405983419723
Position 420: 0.0005453910423766503
Position 234: 0.0005306491589884837
Position 699: 0.0001180015770476704
Position 1018: 0.00010770289050668987
Position 989: 0.00010145129831959503
Position 151: 6.451188134802309e-05
Position 842: 4.349723704339136e-05
Position 8188: 4.212321904537881e-05
Position 28: 3.5220522973149275e-05
Position 10507: 3.3668707234717327e-05
Position 14: 3.116465000432018e-05
Position 10132: 2.9996557847972977e-05
Position 875: 2.9754046447168035e-05
Position 231: 2.7533326224717882e-05
Position 848: 2.3682107456003112e-05
Position 999: 2.1334429916093888e-05
Position 26: 2.0355775205846517e-05
Position 107: 2.008220928896643e-05
Position 620: 1.682856868780228e-05
Position 10281: 1.349102120544696e-05
Position 5474: 9.936959851184569e-06
Position 253: 8.931239110639564e-06
Position 872: 8.192303909155846e-06
Position 377: 2.32622828645078e-06
Position 519: 2.0744164344676906e-06
