Gene = PHPT1
index = 1023
Annotated 5SS: [ 497 1044]
Annotated 3SS: [ 918 1660]
SMsplice 5SS: [497]
SMsplice 3SS: [1660]
top_k =  500
Partition function (log Z): -8.87613009918994

Sorted 5' Splice Sites (High to Low Probability):
Position 497: 0.5412169123375566
Position 399: 0.3448727382240767
Position 1467: 0.2715950369621807
Position 970: 0.27003044063528975
Position 1044: 0.2656385975400779
Position 1423: 0.05241882074399518
Position 1526: 0.035121661088020666
Position 480: 0.030500097062189258
Position 307: 0.01642099105960962
Position 203: 0.01617172301422589
Position 302: 0.014453853853513695
Position 1028: 0.012914148110047608
Position 1630: 0.011099879415338455
Position 196: 0.007749554879012154
Position 180: 0.0042095529573377526
Position 466: 0.002804642070235136
Position 1166: 0.0025225840765344355
Position 1485: 0.0025122608818295353
Position 1609: 0.002368286134665738
Position 1727: 0.0015242732081392715
Position 1711: 0.0008218130001864382
Position 1517: 0.00043345377459997264
Position 1530: 0.00038173055809165085
Position 662: 0.00028814908697852217
Position 679: 0.0002782411723902612
Position 1242: 0.0002039720350145358
Position 822: 0.00015462999490383405
Position 751: 0.00012542443547970342
Position 254: 0.00011688923640439869
Position 801: 0.00011293148449019794
Position 50: 9.403724438902157e-05
Position 489: 7.78038441548098e-05
Position 285: 6.161769557757334e-05
Position 403: 4.180543310710246e-05
Position 415: 2.9162833550014636e-05
Position 122: 7.7289848219142e-06
Position 343: 1.1853435583870855e-06
Position 188: 1.1622789164300245e-06
Position 646: 6.478430095981482e-07
Position 84: 8.612061510534775e-08
Position 370: 6.588149157570492e-08
Position 257: 4.4092131314124525e-08
Position 41: 1.1300677665611054e-10
Position 7: 5.721914946514767e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1346: 0.4299073427234487
Position 1660: 0.393036269942547
Position 918: 0.28866285043708
Position 1828: 0.21789650690338816
Position 878: 0.21256570896527402
Position 1544: 0.09555467445077888
Position 661: 0.04638163943815558
Position 1411: 0.046357783885287954
Position 1445: 0.02784881740826041
Position 399: 0.015536838761733365
Position 722: 0.015316389879364671
Position 1190: 0.013205171241384681
Position 1164: 0.011568692512139468
Position 725: 0.009996667061382757
Position 1408: 0.009742084678962027
Position 1312: 0.008711731731220815
Position 786: 0.00826494595904936
Position 1004: 0.005261013565973765
Position 1678: 0.004669868310370227
Position 841: 0.004196801917135274
Position 269: 0.004068661242805673
Position 1323: 0.0035810808157496037
Position 1855: 0.003565094342490302
Position 887: 0.0033976460268669746
Position 1075: 0.002925061280858398
Position 1132: 0.002643015185491863
Position 672: 0.002332596828733627
Position 1784: 0.0019584842201442196
Position 1260: 0.0018990730266558598
Position 858: 0.001684765425664087
Position 1629: 0.0016690610154627733
Position 451: 0.0015201329186525319
Position 1880: 0.001312416667488374
Position 285: 0.0012135683439310479
Position 1602: 0.0011994516801863112
Position 1787: 0.001071574588929227
Position 1054: 0.0009102540860760318
Position 900: 0.0007849847326042334
Position 953: 0.0007483227316394127
Position 936: 0.0007278119840837613
Position 1893: 0.0006770939995129783
Position 1348: 0.0006522820793231408
Position 1499: 0.0006258705246971921
Position 625: 0.0005504145344995378
Position 816: 0.00042359656677015494
Position 1222: 0.00040840822561776603
Position 646: 0.00040319839580487977
Position 1295: 0.0003781460230725972
Position 1352: 0.00035676500411737863
Position 956: 0.0003328206760824677
Position 1374: 0.0001212035124044801
Position 1006: 0.00011610939936858677
Position 733: 0.00011352157193702508
Position 827: 7.54329363741903e-05
Position 693: 7.129453013812598e-05
Position 332: 4.71743388397595e-05
Position 793: 2.7706999594681773e-05
Position 291: 2.3816502498401556e-05
Position 415: 1.8994379648041813e-05
Position 133: 1.5205822649538882e-05
Position 1082: 1.0698993545848112e-05
Position 678: 6.9733636872718596e-06
Position 1010: 5.814682094379719e-06
Position 480: 3.8345930808563266e-06
Position 271: 3.7498224331799437e-06
Position 313: 3.7003057416362475e-06
Position 1176: 3.4099911067617656e-06
Position 1048: 2.544832428657884e-06
Position 316: 1.2318818833835141e-06
Position 453: 7.727238622111026e-07
Position 329: 7.681824545925323e-07
Position 524: 5.198497846060349e-07
Position 584: 3.9197972201390573e-07
Position 566: 1.7475287526286736e-07
Position 455: 9.01820074530847e-08
Position 184: 3.592254280602602e-08
Position 459: 5.6771328459076376e-09
Position 462: 3.163948621411652e-09
Position 489: 7.990082311284055e-10
Position 235: 6.685681256079658e-10
Position 154: 5.71344404118874e-10
Position 580: 5.514533249070504e-10
Position 147: 2.2560241961141524e-10
Position 217: 7.497542011177649e-11
Position 162: 6.627977845237787e-11
