Gene = NDUFAF3
index = 927
Annotated 5SS: [1211 1528 1758 1966]
Annotated 3SS: [1334 1690 1864 2044]
SMsplice 5SS: [ 224 1528 1758 1966]
SMsplice 3SS: [1334 1627 1864 2044]
top_k =  500
Partition function (log Z): 1.3973552947735217

Sorted 5' Splice Sites (High to Low Probability):
Position 1528: 0.995782016632613
Position 1966: 0.9909637891324755
Position 1758: 0.8619493157896819
Position 631: 0.2973353034756545
Position 224: 0.2200925202666586
Position 389: 0.21566289311496134
Position 426: 0.1972236543893141
Position 1211: 0.15629985099290056
Position 625: 0.06743898690181824
Position 774: 0.05772892294218599
Position 78: 0.02456259243189811
Position 1691: 0.020558366731665806
Position 317: 0.019415968279808293
Position 421: 0.014585869559290207
Position 436: 0.01165363907851259
Position 616: 0.008691405113961988
Position 2289: 0.008660090517120423
Position 1786: 0.0064963748845638224
Position 693: 0.006201611357897026
Position 933: 0.005133262096116563
Position 2090: 0.005021160372083353
Position 959: 0.0037404219142236693
Position 1016: 0.002986376265752279
Position 879: 0.0029611851647461146
Position 755: 0.002245488870074438
Position 416: 0.0020456850322669974
Position 24: 0.001941466060537347
Position 1021: 0.0017628870520904859
Position 117: 0.001732943586080632
Position 1060: 0.0016139368357745343
Position 1513: 0.0010813521596877743
Position 1431: 0.001052519815011954
Position 1915: 0.000976041967349477
Position 1127: 0.0003370567443454799
Position 1105: 0.00033450344763229006
Position 1163: 0.00020631452352675965
Position 1516: 0.00020026460840809993
Position 1738: 0.0001991524106889269
Position 64: 0.00014419218262505943
Position 192: 0.00013193447161953233
Position 374: 0.00011682275674845725
Position 757: 0.00010107889968473608
Position 863: 9.336190889739738e-05
Position 1008: 9.035233561408178e-05
Position 731: 7.85140948072368e-05
Position 1532: 5.592604414453799e-05
Position 1189: 3.804636179569871e-05
Position 73: 3.5431438267696575e-05
Position 2339: 3.448916357847693e-05
Position 1197: 2.3640936966675346e-05
Position 1123: 2.352854205379915e-05
Position 1788: 2.1463576276033577e-05
Position 1663: 1.4546455237363537e-05
Position 7: 1.383540097801025e-05
Position 36: 1.1816086583279219e-05
Position 2282: 1.0965436889571972e-05
Position 1954: 8.210570267582633e-06
Position 1589: 6.769581793810032e-06
Position 1545: 5.487152799251787e-06
Position 1652: 3.1132784162666845e-06
Position 1970: 2.2069033865136465e-06
Position 1380: 1.8395047445355848e-06
Position 241: 1.7800747816327758e-06
Position 269: 9.092725494854879e-07
Position 1547: 2.23427325224695e-07
Position 1614: 2.063957954707482e-07
Position 1876: 4.410854077066007e-08
Position 1870: 2.6505444668119716e-09
Position 1672: 1.551174778486077e-09
Position 2074: 4.046144809232101e-11
Position 2055: 1.808038406164775e-11
Position 2076: 1.4319047779741652e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1334: 0.9936418753265298
Position 1864: 0.9394897337554051
Position 2044: 0.6683457024190466
Position 1627: 0.5820507855677186
Position 1690: 0.33332568392456996
Position 2288: 0.1584346576535289
Position 506: 0.14835323354703991
Position 2120: 0.13631852082842366
Position 551: 0.11252389492654769
Position 1159: 0.035361600065026255
Position 2450: 0.011791400427353035
Position 1831: 0.011515948959144694
Position 2430: 0.011494312885656654
Position 1820: 0.009961127862946747
Position 2398: 0.009809771445505044
Position 1038: 0.008938408712017343
Position 1073: 0.00875585230073468
Position 2084: 0.006599489395063074
Position 2401: 0.004398747405875534
Position 1131: 0.0043342386629398625
Position 1839: 0.003916792766985006
Position 1866: 0.002534366367858341
Position 1416: 0.0017915290313234194
Position 474: 0.0017848372828938644
