Gene = TWISTNB
index = 1512
Annotated 5SS: [ 325 4309 9016]
Annotated 3SS: [ 4166  8806 10359]
SMsplice 5SS: [ 325 4309 9016]
SMsplice 3SS: [ 4166  8806 12621]
top_k =  500
Partition function (log Z): -5.319120512762118

Sorted 5' Splice Sites (High to Low Probability):
Position 4309: 0.9631676096021938
Position 9016: 0.9468628415627616
Position 325: 0.8933471824041019
Position 2864: 0.41714062665907964
Position 7175: 0.3627352242533678
Position 12806: 0.3275504046550875
Position 7541: 0.28543070043431473
Position 8649: 0.15104867689371987
Position 128: 0.13982495298679687
Position 7317: 0.10314447831276022
Position 8521: 0.04405152575242905
Position 1271: 0.041186463056079765
Position 7857: 0.03663507227855935
Position 3912: 0.031191019942620534
Position 81: 0.02577887379975267
Position 11345: 0.025209217071265236
Position 494: 0.02475037324714755
Position 7387: 0.02465187030556641
Position 829: 0.022799858628727337
Position 7286: 0.01998100585058637
Position 604: 0.019836007075329433
Position 8264: 0.01957738650583124
Position 555: 0.018708575743099032
Position 4761: 0.016294835424600685
Position 1538: 0.012774058321620027
Position 10482: 0.011617007087103623
Position 4886: 0.0113983741822156
Position 1708: 0.010800593141796395
Position 12521: 0.009364405018559351
Position 9046: 0.008423597551305083
Position 4472: 0.007823847929206415
Position 3591: 0.007808355259354545
Position 9239: 0.007355686773348731
Position 8665: 0.006601357583014573
Position 7785: 0.0043682669601197415
Position 2896: 0.0036202093048942462
Position 4048: 0.0035325263279016557
Position 6690: 0.00339691618238468
Position 1028: 0.003162192298299241
Position 2139: 0.0029919741751041925
Position 418: 0.002930740854837376
Position 973: 0.0028047099794489085
Position 991: 0.0026728273526935528
Position 375: 0.002371723465629353
Position 1713: 0.0019897726781008497
Position 12717: 0.000888003689190244
Position 4898: 0.0007563438861083314
Position 121: 0.00029392142307165046
Position 366: 0.00017362989416205908
Position 191: 0.00010655632695450628
Position 183: 9.058672489419807e-05
Position 3572: 8.976563939665124e-05
Position 634: 7.635723333177045e-05
Position 936: 4.549462078549689e-05
Position 4468: 2.0250955531086354e-05
Position 7836: 1.9322647618393427e-05
Position 3585: 1.4991823854272167e-05
Position 50: 1.2986874751963223e-05
Position 598: 6.526790023411358e-06
Position 34: 5.584133343443803e-06
Position 483: 1.2984519253140984e-06
Position 26: 7.988824979494438e-07
Position 381: 6.793350373325802e-07
Position 215: 6.22780754534149e-07
Position 549: 4.724658627022727e-07
Position 160: 1.3970415586187429e-07
Position 198: 1.1325864402610622e-07
Position 459: 8.220223516170898e-08
Position 355: 4.0657911223518966e-08
Position 343: 1.1756440699885968e-08
Position 247: 5.664039816453077e-09
Position 143: 2.223951485114121e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 4166: 0.9260388475851701
Position 8806: 0.9198822819736171
Position 12621: 0.5217932204096462
Position 7076: 0.4954087262604357
Position 12899: 0.2297759887115788
Position 7444: 0.20793479505216889
Position 2795: 0.18682426194626722
Position 2636: 0.16137039416434262
Position 13207: 0.11324863348525507
Position 8354: 0.10786630055027267
Position 13037: 0.10008872670975402
Position 10359: 0.08617593547515541
Position 8435: 0.053455567381155075
Position 267: 0.05314252572079707
Position 7472: 0.05249058332024923
Position 2737: 0.051071071887221535
Position 8718: 0.046622449863835735
Position 11027: 0.04168320438866868
Position 1147: 0.04078592068821431
Position 8506: 0.04043805380823953
Position 13277: 0.03737075806290659
Position 4174: 0.03348397339549996
Position 198: 0.03317054675383283
Position 7756: 0.03184876470971843
Position 9448: 0.02822549776569753
Position 3675: 0.028175055806893896
Position 12850: 0.02166183327863879
Position 11159: 0.021233755937284843
