Gene = CTC-534A2.2
index = 418
Annotated 5SS: [342]
Annotated 3SS: [4702]
SMsplice 5SS: [342]
SMsplice 3SS: [3142]
top_k =  500
Partition function (log Z): -10.82614704143239

Sorted 5' Splice Sites (High to Low Probability):
Position 342: 0.7795945574895133
Position 163: 0.21062517721115043
Position 3224: 0.08912973443310765
Position 899: 0.07150784757890848
Position 5780: 0.019219531119129628
Position 1442: 0.014747481155829351
Position 546: 0.01430658345207793
Position 189: 0.013848836919485874
Position 656: 0.00986277290346029
Position 633: 0.0025418788909367445
Position 3506: 0.002320926675460022
Position 148: 0.0022986012866569655
Position 2807: 0.0019660141454472028
Position 4857: 0.0017509078103809907
Position 182: 0.0015860693796527902
Position 4552: 0.0013610850296697742
Position 4532: 0.0007739449640469544
Position 3107: 0.0007389241696149832
Position 702: 0.0006421543886654292
Position 266: 0.0006376954548449446
Position 222: 0.0004142546116543487
Position 2234: 0.0003479699902919816
Position 836: 0.0003298393724382875
Position 273: 0.000158054275999973
Position 3103: 0.0001467651446621214
Position 76: 0.00011716736561551674
Position 136: 9.574426828512725e-05
Position 302: 7.648734459275166e-05
Position 1315: 6.516533909256008e-05
Position 1649: 4.7174786196487144e-05
Position 1131: 3.266127584284544e-05
Position 726: 2.7583941005766757e-05
Position 132: 2.7381783478145606e-05
Position 2732: 2.7379940180455675e-05
Position 1758: 2.389543397365111e-05
Position 413: 2.273420979684463e-05
Position 2801: 2.117580253383056e-05
Position 509: 4.458635314212491e-06
Position 52: 3.537547313328411e-06
Position 246: 3.2373022723617878e-06
Position 54: 2.64005126594402e-06
Position 10: 2.568558142680012e-06
Position 26: 2.378472517467533e-06
Position 277: 1.504390430241362e-06
Position 3193: 1.4918108451507722e-06
Position 375: 7.850087073451536e-07
Position 284: 6.771074695102176e-07
Position 290: 6.266568120135748e-07
Position 29: 4.419745522069821e-07
Position 117: 3.8697168479328267e-07
Position 205: 3.5577571347336806e-07
Position 908: 2.4336781830486814e-07
Position 775: 2.209702417005074e-07
Position 748: 2.1052412276696536e-07
Position 15: 6.476436663118557e-08
Position 44: 3.647138746403143e-08
Position 440: 3.1512827914529085e-08
Position 193: 3.346591968502711e-09
Position 229: 2.986643597802849e-09
Position 91: 7.317654620209391e-10
Position 255: 1.750708732735197e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3142: 0.2369319010860543
Position 3317: 0.14051393806334167
Position 6104: 0.10602220886605357
Position 578: 0.07829376984559891
Position 3284: 0.07190789267029034
Position 3715: 0.06943903747196004
Position 5319: 0.05806411850805114
Position 4702: 0.04806296846541411
Position 508: 0.04015777397461507
Position 4763: 0.03875628632445751
Position 528: 0.036259945405089145
Position 5679: 0.03169319086259053
Position 269: 0.022521953949790927
Position 4654: 0.0210171716566023
Position 246: 0.02081975221275175
Position 5568: 0.018000556601630864
Position 4392: 0.017962359404058093
Position 1547: 0.01601012215612583
Position 440: 0.015894677480748173
Position 960: 0.010291865731355912
Position 1014: 0.010027749443400949
Position 474: 0.00994024747631336
Position 1568: 0.008219284510171312
Position 795: 0.006985076667565148
Position 5652: 0.006840899112861639
Position 1295: 0.0064652009611156636
Position 4052: 0.00607070897969832
Position 2604: 0.005922352888319644
Position 6017: 0.005344982667735782
Position 4048: 0.005197158583875422
Position 5903: 0.003623235403675817
Position 4892: 0.0032335981294663464
Position 4147: 0.003105854797957109
Position 5355: 0.003001344792992882
Position 817: 0.002870173372959066
Position 5734: 0.002845702576613678
Position 6038: 0.0027486726514133874
Position 3020: 0.002685879640125614
Position 889: 0.002601126791363787
Position 4821: 0.0025310609510046005
Position 3739: 0.002323820653732296
Position 1342: 0.002247596887311139
Position 2065: 0.002233549374251202
Position 5048: 0.0022316630445715978
Position 1205: 0.0019198695373859546
Position 416: 0.0017662221345725341
Position 2909: 0.001727246226839745
Position 4103: 0.001475563288627192
Position 1725: 0.0013806729174461803
Position 643: 0.0013634818536587146
Position 3333: 0.001355303700285179
Position 2465: 0.0012609242114828998
Position 4802: 0.0010870774623169433
Position 2495: 0.0010315189671694636
Position 1528: 0.001020608157087835
Position 4932: 0.0009455805832367656
Position 1385: 0.0008688923593961108
Position 5779: 0.0008370220216682868
