Gene = WIPF3
index = 1572
Annotated 5SS: [  125 28261 69409 72587 78040 81664 82854 97809]
Annotated 3SS: [ 28113  69275  72454  77295  81513  82751  97731 107938]
SMsplice 5SS: [  125 28261 59932 69409 72587 81664 82500 82854 89519 97809]
SMsplice 3SS: [ 28113  59821  69275  72454  81546  82241  82751  89438  97731 107938]
top_k =  500
Partition function (log Z): -55.56319438774853

Sorted 5' Splice Sites (High to Low Probability):
Position 125: 0.9573735697904237
Position 5182: 0.4720123965232681
Position 3224: 0.2985625228214275
Position 8696: 0.24146986047530875
Position 8358: 0.16803865134747506
Position 7494: 0.16485281301643823
Position 12873: 0.03994020046771948
Position 8601: 0.038715442041214576
Position 144: 0.020305093325794558
Position 150: 0.01766589761986866
Position 3962: 0.010178957487760482
Position 2780: 0.01013677042951696
Position 3892: 0.008408199890496132
Position 452: 0.007178042486897172
Position 7362: 0.006549488335194012
Position 2666: 0.006220136350197179
Position 3487: 0.0056818936120008445
Position 3847: 0.005628540827553269
Position 3916: 0.0039666768504759515
Position 7468: 0.0022105689310880747
Position 3514: 0.002027813868381404
Position 200: 0.0020270721131180414
Position 2979: 0.0018635677441585323
Position 5967: 0.0015177510950553775
Position 2269: 0.0014921955654841098
Position 6672: 0.0012739093338705247
Position 1013: 0.0012019744663817448
Position 2137: 0.0011829893456316047
Position 1996: 0.0011797314311350882
Position 6281: 0.0011522325082677222
Position 2079: 0.0009766971111096815
Position 1435: 0.0008156806716770954
Position 1482: 0.0006918791893641471
Position 2139: 0.0006354246861453205
Position 2975: 0.00042646567186295503
Position 2745: 0.0003125866392966086
Position 1763: 0.0003002985210484367
Position 1287: 0.0002905062830719509
Position 1755: 0.0002002263573457903
Position 2347: 0.0001824442828830336
Position 2145: 0.0001519969602685105
Position 1612: 0.00015151079567708663
Position 2141: 0.00014791324190812158
Position 2143: 0.00014788548174585642
Position 2147: 0.0001453772641431633
Position 2149: 0.000140861029358431
Position 2151: 0.0001390378403094929
Position 2153: 0.00012676441205567714
Position 1017: 0.0001197602429710806
Position 2155: 0.00010943335215830334
Position 2157: 0.00010940268846724114
Position 2159: 0.00010925686561616861
Position 2161: 0.00010594439683245481
Position 1589: 0.00010502962869854947
Position 2163: 0.00010219758420797671
Position 2165: 0.00010081500179691151
Position 3239: 2.536053372178888e-05
Position 761: 9.154394143807577e-06
Position 840: 8.438076615858632e-06
Position 180: 8.068673649132489e-06
Position 844: 8.013782134271102e-06
Position 154: 3.609486428055558e-06
Position 204: 3.5910829552589663e-06
Position 719: 2.022569541748539e-06
Position 92: 1.848273086959124e-06
Position 836: 1.5640585515032605e-06
Position 690: 1.4694621456723706e-06
Position 3409: 1.1904160453825859e-06
Position 3332: 1.108659785829657e-06
Position 541: 7.450823649027887e-07
Position 76: 1.7644386102441306e-07
Position 789: 1.6844990812020114e-07
Position 395: 1.0702503611532535e-07
Position 298: 1.0682244931275967e-07
Position 648: 6.481557781503288e-08
Position 488: 4.908396690603938e-08
Position 164: 4.021450020504143e-08
Position 6: 3.651843825706001e-08
Position 407: 3.200153698716378e-08
Position 249: 1.6581198848431632e-08
Position 617: 1.4697249495529186e-08
Position 426: 1.3792138133335329e-08
Position 676: 1.3099476940917297e-08
Position 97: 1.020515498331044e-08
Position 217: 6.419966992834806e-09
Position 182: 2.250646874994462e-09
Position 307: 6.674479550366618e-14
Position 301: 5.361225467465273e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 5088: 0.4456386630010569
Position 13025: 0.29820370358920645
Position 7391: 0.2522972000159232
Position 3130: 0.21699780381819697
Position 8236: 0.1700626641193826
Position 8548: 0.16414807295623568
Position 12536: 0.16351903873165613
Position 8564: 0.11573377460171395
Position 3146: 0.06987883123614119
Position 12911: 0.060980175578936965
Position 6415: 0.05686343364028422
