Gene = GUCA2B
index = 633
Annotated 5SS: [ 120 1446]
Annotated 3SS: [1258 2113]
SMsplice 5SS: [ 120 1446]
SMsplice 3SS: [1258 1646]
top_k =  500
Partition function (log Z): -5.292771639197566

Sorted 5' Splice Sites (High to Low Probability):
Position 120: 0.9743906730699526
Position 1446: 0.78316374079113
Position 376: 0.32966121164763756
Position 1175: 0.034130631540987645
Position 382: 0.018663242467695264
Position 1754: 0.01520203333313594
Position 1924: 0.014904520116847658
Position 477: 0.01198440260374301
Position 275: 0.00944467664181676
Position 519: 0.006942731881059945
Position 805: 0.006664000525845709
Position 164: 0.006227474488451061
Position 1221: 0.005081975531918103
Position 1608: 0.004413850507457236
Position 1731: 0.0037786559914780044
Position 896: 0.0037100910447724345
Position 104: 0.0023199491693267796
Position 1018: 0.002279340152712799
Position 555: 0.0010485659709567974
Position 919: 0.0009127343412371846
Position 2079: 0.0006734275387848675
Position 1557: 0.0005846774256958491
Position 2135: 0.0005042470773689725
Position 461: 0.0004595437040660094
Position 937: 0.00029285396265415304
Position 1318: 0.00023930114272413368
Position 367: 0.00021507325964583728
Position 2085: 0.00019461871751201906
Position 481: 0.00017363754883571456
Position 1756: 0.0001529393917267273
Position 1853: 0.00013039609956217645
Position 279: 7.74054645533379e-05
Position 1274: 7.362367675198686e-05
Position 745: 5.638488214986826e-05
Position 607: 5.193281780632913e-05
Position 188: 3.7199485424549074e-06
Position 124: 1.710008312432183e-06
Position 186: 7.214108239780591e-07
Position 75: 5.627824325838154e-07
Position 456: 2.5968193251121443e-07
Position 108: 1.3849724457799155e-07
Position 305: 3.072217427270332e-08
Position 1191: 1.9112333802054372e-08
Position 66: 1.3156658960551196e-08
Position 72: 1.0513395942768624e-08
Position 384: 9.108092797283679e-09
Position 361: 8.668113473318234e-09
Position 295: 8.013063925966989e-09
Position 138: 4.1911630251809925e-09
Position 636: 1.4747956124356718e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1646: 0.5812603495296353
Position 1258: 0.3917994498854451
Position 254: 0.3262376792475326
Position 1390: 0.2063912877297566
Position 1342: 0.2032238885299056
Position 1587: 0.11422134677904189
Position 1998: 0.07965684470364559
Position 2113: 0.041065914548487924
Position 1075: 0.029991800867030547
Position 1052: 0.02370898084126683
Position 1220: 0.017826695740348224
Position 2238: 0.015286601576898007
Position 237: 0.014154394871399044
Position 1109: 0.013784800044571817
Position 356: 0.01368697446523443
Position 2069: 0.012944721564149983
Position 456: 0.011840677499797163
Position 1279: 0.01106767559817084
Position 709: 0.010128690299804358
Position 480: 0.01010673329837282
Position 1878: 0.008857744916799557
Position 1895: 0.00852812520851608
Position 1417: 0.007960590631138515
Position 1526: 0.007895664917201286
Position 288: 0.006117465044917806
Position 2045: 0.006038196959015525
Position 2263: 0.005845038772599032
Position 1533: 0.0055567338098198435
Position 1656: 0.005262919509833319
Position 2014: 0.0036706464359721183
Position 259: 0.0033429581578370378
Position 848: 0.0031019113314938607
Position 2222: 0.0028117534879048096
Position 1468: 0.002445216603062504
Position 1122: 0.0023774134823255685
Position 2302: 0.002283858824138622
Position 1202: 0.0022681957287360053
Position 2180: 0.0015483284266381526
Position 1728: 0.0015351850119403898
Position 1950: 0.0015145871682140698
Position 1616: 0.0015073719370193148
Position 1674: 0.0013655855972922102
Position 1265: 0.0013549026310666927
Position 305: 0.0013392902548558085
Position 1694: 0.0012813804912042057
Position 202: 0.001213202499780348
Position 1497: 0.001211670059246603
Position 1662: 0.0012034347668880589
Position 373: 0.0011536038538631672
Position 943: 0.0010986286127461146
Position 1144: 0.0010715901668368465
Position 653: 0.0010580833635455075
Position 1980: 0.0009156625326116354
Position 1348: 0.0008571063029544578
Position 339: 0.0007905761840389947
Position 292: 0.0007852268506147554
Position 2042: 0.0006682880847053247
Position 589: 0.0006654852870777609
Position 642: 0.0004675093876234003
Position 732: 0.00041005908021371463
Position 261: 0.0002582409611858538
Position 1399: 0.00019979579250456908
Position 1612: 0.00012547590319294876
Position 1318: 0.00011503082561069445
Position 1297: 8.557640933573165e-05
Position 905: 8.267842358275524e-05
Position 860: 8.08187204392794e-05
Position 1033: 3.220178033315689e-05
Position 1173: 2.6280425733551134e-05
Position 267: 1.6384432601888608e-05
Position 737: 1.537159955576677e-05
Position 798: 2.8203608092000507e-06
Position 204: 1.6411108733226749e-06
Position 900: 1.381743469919905e-06
Position 218: 6.035605771039053e-07
Position 271: 2.2097134473899766e-07
Position 805: 1.843534823494814e-07
Position 395: 8.078898798276848e-08
Position 417: 7.790023354063978e-08
Position 375: 6.145662446313343e-08
Position 414: 5.494700641374021e-08
Position 392: 3.416684685931027e-08
Position 422: 1.4860808548568219e-08
Position 380: 1.1783420788717846e-08
Position 486: 1.0117483239676584e-08
Position 688: 8.289736739431047e-09
Position 175: 6.693790389964348e-09
Position 516: 4.34617397604835e-09
Position 494: 4.196373339392441e-09
Position 184: 1.5734788140915642e-09
Position 676: 7.927061273597792e-10
Position 519: 7.43960193010175e-10
Position 182: 2.2541612141268717e-10
Position 154: 5.2365096973289675e-11
Position 489: 3.4228475536539446e-11
Position 170: 1.996898420448512e-11
Position 136: 3.549041483252984e-15
