Gene = TSLP
index = 1498
Annotated 5SS: [ 370 1241 1954]
Annotated 3SS: [1195 1818 4253]
SMsplice 5SS: [ 197  370 1241 1954]
SMsplice 3SS: [ 268 1195 1818 2049]
top_k =  500
Partition function (log Z): -2.7473868983844376

Sorted 5' Splice Sites (High to Low Probability):
Position 1954: 0.8788972832561903
Position 1241: 0.8237143126359487
Position 370: 0.745424733269669
Position 673: 0.701716445814803
Position 197: 0.5285104812001696
Position 1075: 0.5252445655945236
Position 2284: 0.3984731491606838
Position 1333: 0.10989513484075307
Position 1650: 0.07915176914329404
Position 2080: 0.05924868280897137
Position 2680: 0.03930454059197773
Position 589: 0.03164204158232334
Position 2089: 0.025484096849919844
Position 152: 0.015198591796893065
Position 2146: 0.014896798790565673
Position 2096: 0.012143079923320903
Position 2211: 0.006959019735678678
Position 3629: 0.006786474004088699
Position 100: 0.006372434843204953
Position 55: 0.006271753726381141
Position 1585: 0.005454444164780029
Position 3614: 0.004675020444767157
Position 2255: 0.0034297856192424003
Position 748: 0.002824693578459572
Position 1304: 0.00247256603152909
Position 161: 0.0016641130673636052
Position 149: 0.0014433471296465014
Position 3071: 0.0012785956701681714
Position 2174: 0.0011208464614387468
Position 977: 0.0011099363685150904
Position 3441: 0.00097490488657422
Position 2675: 0.0007515147381041741
Position 228: 0.0005563632724204266
Position 948: 0.0005017421455540728
Position 332: 0.00040854188190228124
Position 168: 0.0004024963011028998
Position 1514: 0.00034626738209545915
Position 943: 0.0002772881558583675
Position 265: 0.0002613431132643563
Position 1004: 0.00024782637970311594
Position 189: 0.00019665377863377413
Position 399: 0.00014952602768432275
Position 448: 0.000117286239186859
Position 179: 0.00010785156640703448
Position 2100: 8.365114529049623e-05
Position 365: 5.1469160736136665e-05
Position 510: 5.012991079050483e-05
Position 374: 4.951566463727636e-05
Position 659: 4.007085954383251e-05
Position 166: 3.73195909751021e-05
Position 1929: 3.428130650613591e-05
Position 694: 2.0807433265429104e-05
Position 299: 1.812451929134983e-05
Position 1316: 1.3006285010936635e-05
Position 191: 7.892882502451483e-06
Position 274: 6.573846845997554e-06
Position 1252: 5.0880024298482184e-06
Position 800: 3.6501728186695915e-06
Position 1981: 2.406704210368741e-06
Position 1893: 2.0982806978742867e-06
Position 1589: 1.9760803648895455e-06
Position 1383: 1.4914279574620644e-06
Position 72: 2.9119645336492944e-07
Position 201: 2.846878957881163e-07
Position 564: 2.732537437326532e-07
Position 223: 1.2310381650894772e-07
Position 232: 1.1238943542393103e-07
Position 416: 4.491400773514705e-08
Position 276: 2.9223035517902352e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1195: 0.9300783789015572
Position 1818: 0.7410030955371788
Position 2049: 0.7111217963579886
Position 4253: 0.646395437805714
Position 268: 0.4269545977651434
Position 860: 0.2997112122111136
Position 546: 0.2768960150917744
Position 864: 0.1802235396380023
Position 451: 0.16976058671232794
Position 1842: 0.1242437063089032
Position 498: 0.09124602662680388
Position 2187: 0.08118147442571136
Position 1433: 0.0796132664140858
Position 2509: 0.021505807227343493
Position 571: 0.021407901477046676
Position 2963: 0.017051844492749744
Position 1016: 0.01682955171621524
Position 3527: 0.015235498252743581
Position 2553: 0.01248105536427201
Position 619: 0.012107098272787348
Position 564: 0.011814897906508423
Position 2535: 0.011495267427452464
Position 588: 0.009068845035092112
Position 889: 0.008806129835988857
Position 640: 0.008208412832589919
Position 2797: 0.007932677448590336
Position 1159: 0.007835336393581546
Position 242: 0.007804803787930313
Position 2065: 0.00763231915325433
Position 1888: 0.006231791518453498
Position 826: 0.00512000380133532
Position 4201: 0.00483236750584795
Position 1067: 0.0046468955188356765
Position 1551: 0.004599648126054087
Position 2777: 0.003969903747949619
Position 2751: 0.0036993825412110575
Position 1815: 0.00368114857347297
Position 3778: 0.003607111712881294
Position 510: 0.0035466705336043834
Position 910: 0.003251295524688938
Position 312: 0.00281226066449217
Position 3243: 0.002752659987938151
Position 2959: 0.002660391354079334
Position 1233: 0.00250704505918421
Position 3351: 0.0024783527500840947
Position 1321: 0.0024407335357567277
Position 2228: 0.0021301213679519363
Position 3590: 0.001967014011204792
Position 232: 0.0017784768765710338
Position 598: 0.0017661390075431565
Position 1461: 0.001750977588726895
Position 669: 0.001250808790448952
Position 747: 0.0012360309428467507
Position 791: 0.0012280528898654262
Position 1099: 0.001149166638788365
Position 1276: 0.0011008017880327202
Position 411: 0.0010297120383531094
Position 765: 0.000888422522982681
Position 1567: 0.0007631391240117402
Position 829: 0.0007587980198096117
Position 1936: 0.0007461820211550337
Position 2983: 0.0007061761058209337
Position 666: 0.0006787991333243471
