Gene = BLVRA
index = 135
Annotated 5SS: [   55 12491 29346 32689 34133 41893 45168]
Annotated 3SS: [12457 29223 32568 34034 41784 44995 48296]
SMsplice 5SS: [   55 12491 34133 41893 45168]
SMsplice 3SS: [12457 33974 41784 44995 48296]
top_k =  500
Partition function (log Z): -25.234389306751545

Sorted 5' Splice Sites (High to Low Probability):
Position 55: 0.9946584592311357
Position 12491: 0.9561139198760918
Position 11513: 0.14376179168622796
Position 19502: 0.1336709622183784
Position 3673: 0.10129118867046881
Position 5626: 0.09358351792506084
Position 5272: 0.06519564997030565
Position 13067: 0.057632452720688024
Position 9694: 0.05188329084867445
Position 3785: 0.0508358361470816
Position 3388: 0.045813069847321114
Position 9628: 0.04286229889731461
Position 9659: 0.04203735778620657
Position 1800: 0.0407787718238865
Position 11308: 0.03690251193865737
Position 6114: 0.032379715160616315
Position 4095: 0.02953702191060286
Position 6498: 0.029021437854742028
Position 11836: 0.02866494131250246
Position 8014: 0.023618158915989926
Position 1848: 0.013277653275119287
Position 1088: 0.007616769106425135
Position 11632: 0.006286464385657783
Position 13443: 0.00261381326967753
Position 1870: 0.002074238977231074
Position 4459: 0.0020250920659587424
Position 5003: 0.0011753919601719459
Position 1431: 0.0008865888368830838
Position 3456: 0.0007288314479946239
Position 677: 0.0005329543771714451
Position 4815: 0.00047839559324048343
Position 600: 0.0003304589202955826
Position 4291: 0.0003154059572092373
Position 236: 0.00029529936906632314
Position 2825: 0.00015939379170267035
Position 1551: 0.00013726743155515505
Position 3199: 0.00010161953342731858
Position 247: 9.692898860986264e-05
Position 866: 9.402640765849824e-05
Position 3545: 6.432820096058594e-05
Position 4983: 6.315318173355446e-05
Position 3669: 5.908188650933668e-05
Position 1036: 5.351212540731695e-05
Position 268: 4.804833885255896e-05
Position 6109: 4.555546487114403e-05
Position 331: 1.009130318379319e-06
Position 1094: 9.959745447468809e-07
Position 602: 9.147046716642724e-07
Position 1048: 4.918711820255214e-07
Position 494: 4.740181958810677e-07
Position 42: 4.691557843876987e-07
Position 626: 3.944352450107577e-07
Position 50: 2.6043506281590227e-07
Position 860: 2.3639654448673526e-07
Position 79: 1.6891338712450836e-07
Position 1194: 1.6627525203146257e-07
Position 319: 1.1035344954864272e-07
Position 1242: 7.406002094910519e-08
Position 3054: 6.45420207229666e-08
Position 1184: 5.4045547596733154e-08
Position 2551: 4.892008382577747e-08
Position 631: 3.824475522027644e-08
Position 797: 1.8451141182110644e-08
Position 1213: 1.8390327139785767e-08
Position 854: 1.815706757142366e-08
Position 964: 1.7739226031298076e-08
Position 818: 1.2848568820222152e-08
Position 441: 4.242014598457417e-09
Position 100: 3.742980503480531e-09
Position 14: 2.2605404273051227e-09
Position 649: 1.1005426219514205e-09
Position 608: 5.894298370757541e-10
Position 399: 4.920636396289365e-10
Position 353: 3.8931765822427445e-10
Position 347: 3.529809308216919e-10
Position 344: 1.495094084325135e-12
Position 361: 7.006130481764927e-13
Position 402: 6.714600536465612e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 12457: 0.9725794632999072
Position 19421: 0.23862852472039486
Position 20395: 0.20300203820259483
Position 11447: 0.1534564444969413
Position 9536: 0.13939888311115617
Position 20074: 0.09912255494856001
Position 18812: 0.08981405134482268
Position 3620: 0.08198861169849592
Position 5528: 0.0677739407640853
Position 12558: 0.06735554449694955
Position 12911: 0.05693317310297271
Position 5140: 0.05596543912902538
Position 19244: 0.05167059689296295
Position 12577: 0.04681520382695982
Position 15406: 0.04301625182321299
Position 3263: 0.039790554597223825
Position 11192: 0.03690251193865724
Position 3585: 0.03605028001675249
Position 11681: 0.03092121786554475
Position 1665: 0.026816763024933788
Position 14579: 0.024056032791639845
Position 13279: 0.022229006009829078
Position 15922: 0.022138210358418578
Position 3952: 0.02164857506610572
Position 14627: 0.021332634187507103
Position 5163: 0.021324981984283176
Position 5924: 0.020774784695277018
Position 13357: 0.019166391321304332
Position 3554: 0.018958360500776827
Position 19093: 0.018869078354927835
Position 7879: 0.01595125951012297
Position 6312: 0.014890921640600614
Position 13533: 0.01377092754531833
Position 1652: 0.013455162348404234
Position 18773: 0.013327589587234914
Position 3597: 0.013165446293048787
Position 5953: 0.012409433557351836
Position 12939: 0.012292260217171272
Position 13096: 0.012041740405175768
Position 1713: 0.011751894702915714
Position 12845: 0.011329739838109053
Position 19667: 0.009045436853546788
Position 7812: 0.007928001328234126
Position 13815: 0.00776787477346363
Position 14732: 0.007730567655639899
Position 6291: 0.007520069721447635
Position 17020: 0.007273202002485824
Position 5510: 0.007104948418154683
Position 3976: 0.006118017290671476
Position 16800: 0.005933705959677248
Position 5566: 0.005362167754478377
Position 13162: 0.005241309436609028
Position 13236: 0.005127332292663011
Position 6192: 0.00427208426433513
Position 12194: 0.003946096920158727
Position 17534: 0.003898400642506465
Position 3319: 0.0034940493321032155
Position 17365: 0.0029333366973369767
Position 6398: 0.0028785004992470144
Position 17063: 0.0027163656237930486
Position 5385: 0.0027145115466135454
Position 3289: 0.002613030577326771
Position 1336: 0.002543383935593112
Position 1622: 0.0021115953008336258
Position 13629: 0.002090798501813297
Position 12614: 0.002000238461285026
Position 4026: 0.0019667641180575934
Position 4311: 0.0017965361261787823
Position 16218: 0.0016768469969858668
Position 3242: 0.001671991423826506
Position 13132: 0.0016347293121209085
Position 12971: 0.0015909421999813628
Position 3225: 0.0012370282718244577
Position 4982: 0.0010372982267306096
Position 948: 0.001033950061304989
Position 3734: 0.0008849914442676655
Position 771: 0.0008313117795034933
Position 14029: 0.000785330767010238
Position 10951: 0.0007850946447544784
Position 13717: 0.0006784054960693002
Position 1746: 0.0005894174445422077
Position 13626: 0.000589383879542552
Position 13437: 0.000567011410503406
Position 939: 0.0004424071991189584
Position 1048: 0.0004351949108201969
Position 1332: 0.0004285166811934855
Position 12715: 0.00040282094980478703
Position 4807: 0.0003867158929303822
Position 4845: 0.00037864405241328137
Position 889: 0.000306735218002316
Position 998: 0.00027819839576531896
Position 4377: 0.00024349728617683545
Position 4600: 0.0002346853285379174
Position 364: 0.00022425562843231866
Position 2109: 0.00017399896960312711
Position 596: 0.00017060359223350114
Position 1807: 0.00016457720994169617
Position 8473: 0.00015889906462048696
Position 10105: 0.00014413357620321056
Position 4580: 0.0001350639721312709
Position 3123: 0.0001344585041186307
Position 9679: 0.0001244624850589549
Position 8712: 0.00011703232789528211
Position 8163: 0.00011409446304655148
Position 8546: 0.0001093321674127126
Position 6498: 0.00010309318900992595
Position 1715: 0.00010043255808329876
Position 2771: 9.936142788874092e-05
Position 4898: 9.671887003664613e-05
Position 1730: 9.466903137355566e-05
Position 929: 8.937664891624983e-05
Position 8075: 8.114002157000145e-05
Position 4714: 8.063029586494915e-05
Position 9334: 7.738385504468915e-05
Position 5807: 7.634151265276513e-05
Position 2744: 7.521334560153745e-05
Position 8360: 7.046498591466009e-05
Position 1119: 6.919223387673936e-05
Position 4512: 6.827120639326268e-05
Position 4116: 6.8115810263657e-05
Position 4200: 5.622566468177946e-05
Position 5320: 4.80376098678664e-05
Position 2957: 4.075894831621093e-05
Position 1763: 3.622166214135526e-05
Position 4173: 3.4286855836005854e-05
Position 3089: 3.263767927890749e-05
Position 6753: 2.8925556647750346e-05
Position 550: 2.6027758381980587e-05
Position 4113: 2.442527899086795e-05
Position 1355: 2.344692762147731e-05
Position 180: 2.0851586406324067e-05
Position 886: 1.7962111307398447e-05
Position 402: 1.6268530755468832e-05
Position 1430: 1.6238754052683293e-05
Position 1269: 1.4559734407525491e-05
Position 2992: 1.4532991111752018e-05
Position 1002: 1.4333565442661001e-05
Position 860: 1.4143217676155685e-05
Position 2820: 1.2640810757140798e-05
Position 5671: 1.2121115169102919e-05
Position 2406: 1.0481785478864597e-05
Position 3720: 9.801807136481462e-06
Position 964: 9.637178845180945e-06
Position 2863: 9.498169031525226e-06
Position 119: 9.118584025220967e-06
Position 974: 8.827252422572985e-06
Position 156: 8.772543043241429e-06
Position 3652: 8.173100343736046e-06
Position 2299: 6.62473181904675e-06
Position 1543: 6.085870666898986e-06
Position 3494: 5.635632616275105e-06
Position 1168: 5.538542434609145e-06
Position 2056: 5.0598428531599196e-06
Position 2931: 4.485833936549533e-06
Position 1019: 4.3220644807402615e-06
Position 2963: 3.98054793435366e-06
Position 1887: 3.6726130340777426e-06
Position 416: 3.4070629347654564e-06
Position 2133: 3.17910611133974e-06
Position 2353: 2.6198505901011364e-06
Position 336: 2.220276222212859e-06
Position 1087: 1.8509200067221099e-06
Position 347: 1.5525654681962428e-06
Position 371: 1.1305506535989976e-06
Position 182: 8.481336279135595e-07
Position 916: 9.055589167683876e-08
Position 1064: 4.545728668981986e-08
Position 957: 3.239024372109618e-08
Position 774: 1.6149170649329908e-08
Position 706: 1.5444878264166076e-08
Position 727: 8.64814938876009e-09
Position 1061: 7.1738858903206115e-09
Position 649: 5.656989449425968e-09
Position 619: 5.020568550327871e-09
Position 520: 4.679658045606997e-09
Position 2690: 3.861572708684303e-09
Position 908: 3.776827994867071e-09
Position 2572: 3.0765822456609637e-09
Position 631: 2.6866875622934354e-09
Position 378: 2.630134009330933e-09
Position 453: 2.5674188634293995e-09
Position 532: 2.4466527586353653e-09
Position 444: 1.701578648308183e-09
Position 719: 5.428703951670893e-10
