Gene = SIMC1
index = 1258
Annotated 5SS: [  271 56896 57954 75479 84059 86391 98510 98780]
Annotated 3SS: [ 56662  57883  75323  83905  86261  98352  98694 106815]
SMsplice 5SS: [  271 19597 25136 32154 57954 70320 75479 84059 86391 98510 98780]
SMsplice 3SS: [ 19517  25049  32023  57883  70227  75323  83905  86261  98352  98694
 106815]
top_k =  500
Partition function (log Z): -57.165515936880254

Sorted 5' Splice Sites (High to Low Probability):
Position 271: 0.718432606630794
Position 7387: 0.3830400952116844
Position 689: 0.2791831156235921
Position 4235: 0.20656870991614984
Position 2765: 0.18968609507935613
Position 3536: 0.16229322538711577
Position 5043: 0.14939856056550804
Position 1037: 0.146629006871305
Position 3380: 0.10176685748383192
Position 1313: 0.07563713625091421
Position 3995: 0.07350293563253892
Position 1052: 0.046705272513726
Position 5039: 0.037712620044329126
Position 1078: 0.016391021367035463
Position 275: 0.014708406756201728
Position 3870: 0.01424871140483443
Position 3850: 0.013974993312301016
Position 9334: 0.006436023465368718
Position 7352: 0.006025338853581497
Position 1085: 0.005096227541857708
Position 3353: 0.004824486912156601
Position 126: 0.004718827199300209
Position 3991: 0.0026626759057836384
Position 2369: 0.002119527830197036
Position 1448: 0.0018365985587744048
Position 1859: 0.0010878607584588497
Position 918: 0.0007956082846237963
Position 915: 0.0006278010642237484
Position 985: 0.0005392108285218188
Position 2959: 0.0005111404601194591
Position 677: 0.0003362842665653501
Position 647: 0.00022743126701086925
Position 1527: 0.00020476827154119418
Position 2269: 0.00018964388464053512
Position 1177: 0.000163920617642736
Position 1024: 0.0001438277509373784
Position 3178: 0.0001422164474876235
Position 157: 0.00012515023773421047
Position 210: 9.555466721622922e-05
Position 119: 4.524413229320491e-05
Position 554: 3.5534614166922433e-05
Position 1170: 3.2147791648969484e-05
Position 982: 2.9757880367522345e-05
Position 598: 1.7154229887282484e-05
Position 612: 1.4897196798504455e-05
Position 1055: 1.2118314150486395e-05
Position 679: 9.95122357181388e-06
Position 665: 7.654552600334578e-06
Position 92: 7.313426637439986e-06
Position 1366: 5.09356972277438e-06
Position 1191: 4.8907684232073e-06
Position 1686: 4.357286030201461e-06
