Gene = CTNNBIP1
index = 420
Annotated 5SS: [  169 26559 32359 38295 39077]
Annotated 3SS: [26524 32273 38174 38985 59486]
SMsplice 5SS: [  169 16193 16445 17255 26559 32359 38295 39077 39284 51059 51579]
SMsplice 3SS: [16156 16316 17170 26524 32273 38174 38985 39229 50928 51367 59486]
top_k =  500
Partition function (log Z): -25.911798799455788

Sorted 5' Splice Sites (High to Low Probability):
Position 169: 0.999999272170501
Position 17255: 0.999868545856546
Position 16193: 0.9480971845111411
Position 16445: 0.9458550947183666
Position 26559: 0.5151010732392861
Position 19546: 0.374569447967936
Position 20605: 0.1055707691631782
Position 26681: 0.08685684394008286
Position 26182: 0.0688751836337174
Position 25714: 0.043092193313303453
Position 20092: 0.028874601417814262
Position 19304: 0.025293040864409925
Position 19699: 0.021110227647600288
Position 19526: 0.020853936588362057
Position 21019: 0.013995264524669817
Position 19284: 0.007204657355026943
Position 19358: 0.005926941501682622
Position 19091: 0.005634717882550814
Position 21291: 0.0035076870251594255
Position 20070: 0.003064193386593339
Position 18707: 0.0026003265429199694
Position 19550: 0.0009522216453528654
Position 1553: 3.5334068804986516e-06
Position 618: 3.5237930995244994e-06
Position 5327: 1.5490721371332016e-06
Position 635: 1.192249087939822e-06
Position 1283: 5.878844391500705e-07
Position 4083: 5.342737374119448e-07
Position 1081: 2.7966210520437774e-07
Position 1066: 2.3434627991284577e-07
Position 778: 1.462995025228739e-07
Position 1513: 1.3940866477072788e-07
Position 795: 1.378689441530508e-07
Position 2739: 4.2691348575765756e-08
Position 1056: 3.431299313549938e-08
Position 155: 2.7412985602888393e-08
Position 879: 1.8563504956432233e-08
Position 676: 1.57257416339848e-08
Position 404: 1.1676151166689936e-08
Position 1258: 1.0524172779392161e-08
Position 1073: 9.593111641435116e-09
Position 1106: 9.541704823926112e-09
Position 447: 7.340111357087122e-09
Position 981: 5.511559304314228e-09
Position 1194: 5.487421403316491e-09
Position 642: 5.1358999177283375e-09
Position 1317: 3.313591107242779e-09
Position 1182: 3.2100152343105896e-09
