Gene = SRA1
index = 1328
Annotated 5SS: [ 883 1164 6329 7250]
Annotated 3SS: [1037 6125 7140 7398]
SMsplice 5SS: [  49  883 1164 7250]
SMsplice 3SS: [ 717 1037 7140 7398]
top_k =  500
Partition function (log Z): -4.014451228410975

Sorted 5' Splice Sites (High to Low Probability):
Position 1164: 0.996441042162601
Position 7250: 0.8886545505092563
Position 883: 0.7790823805896813
Position 49: 0.6495756219422391
Position 7470: 0.3912123571566046
Position 6329: 0.26981184620565296
Position 869: 0.1216355591394551
Position 7485: 0.10630003445504081
Position 1701: 0.05956727814967518
Position 550: 0.05593663435942186
Position 7256: 0.039739875194132177
Position 6183: 0.03671898093753589
Position 374: 0.034243181442706924
Position 2391: 0.017730639445851362
Position 4123: 0.01655559830520705
Position 2789: 0.016217874565171327
Position 4188: 0.01461337192061679
Position 1744: 0.009824643430643314
Position 803: 0.009731239691123548
Position 462: 0.006608392534916227
Position 243: 0.005445309866166943
Position 7474: 0.004251855961300958
Position 260: 0.003817529044273517
Position 94: 0.0034371414570651777
Position 7315: 0.0029276266459317265
Position 325: 0.0028680996383209506
Position 160: 0.002237632280924948
Position 7268: 0.0018470014404345276
Position 913: 0.0012664859648804537
Position 1341: 0.0010741252697887213
Position 7936: 0.0009517866432145258
Position 456: 0.000925367032945663
Position 126: 0.0007699407444818291
Position 1216: 0.0006589348029801091
Position 548: 0.000566395299296383
Position 483: 0.000531468799890515
Position 53: 0.0005128084638133935
Position 3845: 0.0003671188145226542
Position 873: 0.00036152491874632116
Position 2471: 0.0003406865066145611
Position 354: 0.00032497070359076584
Position 320: 0.0003246326695518393
Position 1726: 0.0002865421579112596
Position 7813: 0.0002767594130892557
Position 477: 0.000272644461020369
Position 1309: 0.0002712663816638397
Position 523: 0.0002632610588935974
Position 1515: 0.0002129975614630408
Position 640: 0.00018754586758011954
Position 554: 0.00017058402857747656
Position 351: 0.00014857809520979018
Position 1291: 0.00012216581572683304
Position 2829: 0.00011999264963772787
Position 359: 0.00011691346215066235
Position 113: 0.0001025082179637914
Position 6350: 0.00010168302410937793
Position 7219: 0.00010021982959540001
Position 7147: 8.885264641773524e-05
Position 1731: 8.663701501307996e-05
Position 278: 8.366138105173157e-05
Position 162: 6.978175858346342e-05
Position 4004: 6.544699248943867e-05
Position 492: 5.790349035646226e-05
Position 647: 4.577673300832666e-05
Position 34: 3.274428446991838e-05
Position 665: 3.2354342479987e-05
Position 941: 2.37640911237228e-05
Position 1133: 2.1022010912883444e-05
Position 730: 1.9707280169283392e-05
Position 954: 1.78341597968195e-05
Position 1752: 1.7484625214813722e-05
Position 130: 1.7446730212719974e-05
Position 517: 1.7308678910783878e-05
Position 92: 1.601750100735286e-05
Position 785: 1.5142021010577548e-05
Position 852: 7.628985339684989e-06
Position 916: 6.413386976586152e-06
Position 3772: 4.188237746394953e-06
Position 117: 4.033482171298962e-06
Position 1352: 2.6397023340852065e-06
Position 1168: 2.61347136499508e-06
Position 1354: 2.2237836114460807e-06
Position 1435: 1.5504958871353747e-06
Position 2042: 4.2158799089186944e-07
Position 254: 4.316245929107538e-09
Position 14: 2.9496953547493204e-09
Position 103: 2.8189288833660567e-09
Position 140: 2.2056028899643793e-09
Position 111: 1.3303044963671804e-09
Position 206: 1.2348392386318792e-09
Position 213: 8.239594552037692e-10
Position 105: 1.9500927485584885e-10
Position 143: 1.8611779557093503e-11
Position 1214: 6.770655797984673e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 7398: 0.9050303530181009
Position 1037: 0.8854469120159808
Position 7140: 0.5331969182262718
Position 717: 0.3762186331501349
Position 6125: 0.2587234380209677
Position 741: 0.19929373185919577
Position 7143: 0.1759634537237988
Position 7920: 0.16527833148625182
Position 8032: 0.1359773975037875
Position 7185: 0.12519066026482092
Position 7625: 0.11251348978270741
Position 977: 0.09991203672789936
Position 7146: 0.0678384406256985
Position 6093: 0.04855547279360539
Position 1514: 0.04560155803166689
Position 7368: 0.04359088718917704
Position 673: 0.040039311157847486
Position 7975: 0.0355224973887832
Position 7108: 0.03466037841815342
Position 654: 0.02884572318569197
Position 7590: 0.024690202910266218
Position 706: 0.02374528381067009
Position 1653: 0.02245438774383883
Position 4067: 0.017414898518928655
Position 2619: 0.015564305864946917
Position 7972: 0.01330815035346651
Position 983: 0.011531013519914356
Position 3919: 0.011503879418511742
Position 693: 0.009647190955119438
Position 2190: 0.008248915975704551
