Gene = JAGN1
index = 724
Annotated 5SS: [258]
Annotated 3SS: [2360]
SMsplice 5SS: [258]
SMsplice 3SS: [2360]
top_k =  500
Partition function (log Z): -6.718450009599975

Sorted 5' Splice Sites (High to Low Probability):
Position 258: 0.8661313132611188
Position 2473: 0.243175855419922
Position 95: 0.14304596908973613
Position 1346: 0.056730377938008766
Position 265: 0.04630853672532605
Position 1292: 0.043980114138902716
Position 1266: 0.024462201256729082
Position 690: 0.01797084186164079
Position 1200: 0.01063698985920175
Position 132: 0.00774931787878467
Position 2315: 0.005407397817317623
Position 3471: 0.003467840032910542
Position 466: 0.0034539582808419435
Position 2273: 0.0033307313217757857
Position 1331: 0.0033114723210890947
Position 2440: 0.00177310852199773
Position 2373: 0.0015786557185581546
Position 790: 0.0015154151146291402
Position 2398: 0.0013772282784631146
Position 138: 0.0012282936757841265
Position 3429: 0.0011285292126737704
Position 125: 0.0007400455668028547
Position 1742: 0.0006178591650909601
Position 3335: 0.000575871591257832
Position 1396: 0.0005244097064029208
Position 543: 0.00046176523688890524
Position 876: 0.000413788069209192
Position 491: 0.00025976170760575384
Position 2425: 0.00021273947036103052
Position 3351: 0.00019499861715828283
Position 1901: 0.0001840549574034416
Position 2923: 0.00014588877427890642
Position 99: 0.0001321207998530088
Position 145: 0.00012860472942561192
Position 680: 0.00010520754971741906
Position 622: 0.00010473685672860167
Position 2899: 0.00010337481269738109
Position 2490: 9.83247133303299e-05
Position 593: 8.886019007146116e-05
Position 1296: 8.879837695530102e-05
Position 2979: 8.34704582936998e-05
Position 628: 7.933288387970695e-05
Position 1494: 7.255494600475834e-05
Position 2407: 6.946738276877221e-05
Position 1221: 4.0282120973866915e-05
Position 867: 2.8164386334388742e-05
Position 525: 2.7768704801277405e-05
Position 23: 2.7382731551171223e-05
Position 652: 2.3102555308084902e-05
Position 797: 1.8511417886369957e-05
Position 643: 1.3469840219582289e-05
Position 343: 1.0371927860395228e-05
Position 27: 9.997444089080875e-06
Position 508: 8.78496588470008e-06
Position 114: 4.739088581204432e-06
Position 53: 2.668199586219229e-06
Position 730: 1.9499454719500546e-06
Position 892: 1.599505994464985e-06
Position 379: 7.408800968637047e-07
Position 694: 7.102754260821202e-07
Position 12: 5.927742642431506e-07
Position 116: 5.829981247607561e-07
Position 901: 6.953851903810801e-08
Position 977: 6.935034236155569e-08
Position 153: 1.668143685314139e-08
Position 235: 5.6307488275260366e-09
Position 174: 4.67389431205652e-10
Position 119: 1.2434767432286597e-10
Position 392: 1.1444773921803884e-11
Position 520: 6.820387785657249e-14
Position 409: 5.190508023913529e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 2360: 0.9294559499746634
Position 1113: 0.12824541611190168
Position 3540: 0.1032119038951543
Position 184: 0.051032314877139044
Position 2588: 0.04548087726229463
Position 2254: 0.031013132973787494
Position 163: 0.025574342057779684
Position 3585: 0.02417646884614128
Position 3560: 0.020841667511612105
Position 2908: 0.014579944165157437
Position 2627: 0.012806825216723794
Position 1087: 0.01205750418492571
Position 2564: 0.011860358644569037
Position 1165: 0.008026498036702424
Position 3193: 0.006253273397540803
Position 2737: 0.004698342575738988
Position 2911: 0.004485891645462205
Position 3662: 0.004262701042804271
Position 2652: 0.004047300313530265
Position 356: 0.004017014766896763
Position 3324: 0.0036546490809406017
Position 3082: 0.0034062521966787963
Position 2655: 0.0031630349152991714
Position 341: 0.0030095422539850613
Position 3235: 0.0026759611383774247
Position 621: 0.0024195061883769383
Position 1239: 0.002354638280894217
Position 3350: 0.0020483955357780757
Position 3704: 0.00168583053270124
Position 212: 0.0015872573557460883
Position 3256: 0.0013411721302091088
Position 222: 0.0012026865109664962
Position 3516: 0.0011322438582014134
Position 596: 0.001102481803763953
Position 3047: 0.0010630568381623782
Position 426: 0.0010597155490352328
Position 1115: 0.0009764684515833934
Position 3012: 0.0009457130381355839
Position 2798: 0.0008706174188655565
Position 2805: 0.0007397011433667874
Position 1214: 0.0006805542888687074
Position 475: 0.0006771108874873664
Position 3143: 0.0006538209787622543
Position 2281: 0.0006137410921706931
Position 3362: 0.0005149255171254068
Position 484: 0.0004953709197426208
Position 693: 0.0004012884282187954
Position 2865: 0.0003915905762855281
Position 1831: 0.000357219878960529
Position 1645: 0.0003518043827608787
Position 3748: 0.0003443518670960298
Position 379: 0.00034134503060028463
Position 1648: 0.0003063864665628254
Position 2135: 0.0003058825669788922
Position 2768: 0.0003040244847012215
Position 1199: 0.000292034008252411
Position 360: 0.0002882649422855774
Position 2935: 0.00027895783876246804
Position 1482: 0.0002768718584850464
Position 1381: 0.00024581781598403
Position 2841: 0.00023364079928389457
Position 2757: 0.0002168672241701863
Position 1322: 0.0002104345591092473
Position 3777: 0.00018153798826752067
Position 819: 0.0001472063323487015
Position 181: 0.00014302461499291272
Position 3029: 0.00012292916131454332
Position 3403: 0.00011717304291903756
Position 2308: 0.00011188618046397611
Position 2108: 0.00010882681599785095
Position 794: 0.00010566572687720228
Position 3463: 9.844785423101938e-05
Position 1219: 9.57397060857055e-05
Position 2373: 9.496853142117199e-05
Position 3680: 8.806103762937257e-05
Position 252: 7.772576850995196e-05
Position 3602: 6.975924093077768e-05
Position 1935: 6.92429782681147e-05
Position 3677: 6.294722623148138e-05
Position 2673: 5.393104487308519e-05
Position 2978: 5.316012580268129e-05
Position 1196: 5.2807570134847446e-05
Position 444: 4.859855314460618e-05
Position 1425: 4.79537216506599e-05
Position 520: 4.362838261303736e-05
Position 2472: 3.3113799319419606e-05
Position 581: 2.733068349315203e-05
Position 939: 2.1964507446438326e-05
Position 1506: 1.907708011576632e-05
Position 726: 6.9292872446385195e-06
Position 751: 4.502809876263277e-06
Position 193: 3.4893300221617715e-06
Position 2385: 3.255618781894168e-06
Position 634: 2.9075045153287573e-06
Position 575: 1.385342009316133e-06
Position 131: 1.260767489414953e-06
Position 598: 1.1757513189183574e-06
Position 657: 7.414060565448905e-07
Position 2192: 4.0956459557055956e-07
Position 859: 1.8688906873088745e-08
Position 1270: 1.7823734583970457e-08
Position 303: 2.711552110381523e-09
Position 93: 1.4672433676692837e-09
Position 231: 1.3657651158355852e-09
Position 2086: 4.009212225072408e-10
Position 257: 1.1602831939638853e-10
Position 142: 4.6937011853361326e-11
Position 643: 2.0652972483841665e-11
Position 664: 1.080980556571295e-11
Position 602: 9.244439345125248e-12
Position 99: 1.3111381311643086e-12
Position 284: 1.1355807923124109e-16
Position 265: 9.472605188049258e-17
Position 321: 7.196958483522629e-17
Position 269: 2.3474641222383793e-17
Position 277: 6.915542375817872e-18
