Gene = NUPL2
index = 979
Annotated 5SS: [  380  3472  5320 14089 14940 17716]
Annotated 3SS: [ 3242  5224 14011 14852 17630 18340]
SMsplice 5SS: [  380  3472  5320 14940 17716]
SMsplice 3SS: [ 3242  5224 14852 17630 18340]
top_k =  500
Partition function (log Z): -1.5246127499913198

Sorted 5' Splice Sites (High to Low Probability):
Position 17716: 0.9821346959386297
Position 3472: 0.9726060212794821
Position 5320: 0.9635495069476484
Position 14940: 0.762076334533334
Position 380: 0.5831479018527084
Position 110: 0.4245516431377708
Position 4766: 0.38401490533541016
Position 18485: 0.34076302597142233
Position 11092: 0.32294614573092906
Position 11225: 0.31846364406101685
Position 11327: 0.2677041912700539
Position 14623: 0.21516485929098156
Position 15820: 0.1574683604370629
Position 663: 0.1021913715873134
Position 14089: 0.08815341777247417
Position 12001: 0.05020715491785825
Position 405: 0.03301524819392737
Position 9262: 0.032352480728788074
Position 14776: 0.03229287605133212
Position 309: 0.030280959779493265
Position 1832: 0.02876837552449858
Position 18052: 0.0235662857175364
Position 14895: 0.021919577477932876
Position 5347: 0.020649184221121296
Position 1222: 0.014892257265310545
Position 11893: 0.013512878762834244
Position 711: 0.013296359013811905
Position 659: 0.010714344594886774
Position 423: 0.010313859820492828
Position 291: 0.010059926726189312
Position 15421: 0.009564581665790793
Position 12096: 0.008355323577053101
Position 329: 0.007447052265233224
Position 15430: 0.006119057928990462
Position 54: 0.0041351544673451975
Position 12402: 0.004107140781292563
Position 15934: 0.00383224616059299
Position 10223: 0.0037480864980264095
Position 15860: 0.003563776769451617
Position 3083: 0.0030462906076384366
Position 1959: 0.002927182524779323
Position 856: 0.0029205699470350416
Position 18623: 0.0024764943707562873
Position 4833: 0.0023485734352806037
Position 3751: 0.002207682673321898
Position 1674: 0.00220323794370314
Position 9842: 0.002082689676895912
Position 11042: 0.00207916151982894
Position 17728: 0.0020651161673931368
Position 4989: 0.0016348709362739833
Position 219: 0.0016075301048037256
Position 4773: 0.0015490258802863955
Position 18659: 0.0015322229907210182
Position 1630: 0.0014916771268202555
Position 563: 0.001339559795988459
Position 3164: 0.0013332053348360147
Position 4697: 0.0013239263881924
Position 467: 0.0013005424428450087
Position 18216: 0.0012160195943245046
Position 2396: 0.001177207500873726
Position 158: 0.0011457674188407503
Position 179: 0.0007467473676617925
Position 3121: 0.0007268507457421494
Position 18047: 0.0006211252297527584
Position 338: 0.0005062198533542943
Position 18123: 0.00045961841241875265
Position 2332: 0.0004239529383795685
Position 2541: 0.00038135190145619
Position 2951: 0.00036672543483689277
Position 2223: 0.0003305412183575701
Position 1354: 0.00030115825842599566
Position 4420: 0.0002993215470201549
Position 2082: 0.0002978021032680007
Position 2400: 0.00028465058657533405
Position 4674: 0.00028383541522319146
Position 2362: 0.00025956469097782297
Position 4670: 0.00024351542420432548
Position 202: 0.00023691052880181224
Position 4329: 0.00021629179917187532
Position 18035: 0.0002043262640298992
Position 3854: 0.0002039774402254381
Position 84: 0.00018832070510364204
Position 1366: 0.00018582631829484566
Position 2464: 0.00018078481950960769
Position 1906: 0.00015760785195781269
Position 69: 0.00013921279199319108
Position 639: 0.00011778472861551121
Position 729: 0.00011660422549062503
Position 45: 0.0001146146288221087
Position 2122: 0.00010446541841738299
Position 1536: 0.00010263766260858798
Position 11558: 9.804743762735023e-05
Position 3363: 7.876111454998369e-05
Position 612: 6.0125396205435266e-05
Position 241: 5.924794203397964e-05
Position 11869: 5.655253318056421e-05
Position 594: 5.473480014277479e-05
Position 538: 5.1542342889445016e-05
Position 11367: 4.6217503916144104e-05
Position 8: 2.566243912671125e-05
Position 11281: 2.1336296877079717e-05
Position 92: 8.301564788795306e-06
Position 152: 1.2002658771702758e-06
Position 478: 3.3223449835774496e-07
Position 269: 2.452126077592878e-07
Position 486: 1.714656065237948e-07
Position 1203: 1.1762033147392798e-07
Position 453: 8.641628860247743e-09
Position 253: 6.179052378815283e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 17630: 0.9884673562260498
Position 5224: 0.9722423006283442
Position 3242: 0.9659313984974182
Position 18340: 0.8787859208053284
Position 14852: 0.7842897240783567
Position 11149: 0.3565756158744646
Position 10872: 0.3464225217008685
Position 4654: 0.2148758268507973
Position 286: 0.20610900226043413
Position 14551: 0.18354041903277402
Position 4598: 0.13310932167319658
Position 15671: 0.1319436212436946
Position 18769: 0.10647860860583323
Position 18598: 0.09731645711386452
Position 11277: 0.08550867489526642
Position 14359: 0.06115153867000295
Position 18505: 0.05406171192196216
Position 18622: 0.0455044160544434
Position 11303: 0.04016790487327289
Position 13987: 0.03779544467959861
Position 11104: 0.034458170086954225
Position 11913: 0.032892604243038026
Position 18568: 0.031924702201191084
Position 11785: 0.030851919811969986
Position 4625: 0.029059811635694648
Position 11069: 0.028933384611879172
Position 18560: 0.02660755019082316
Position 14011: 0.02563608634917138
Position 15696: 0.02524726083804993
Position 13943: 0.024721886743704145
Position 18815: 0.022906836392326716
Position 11201: 0.018266061698937745
Position 9136: 0.016718746910786092
Position 15345: 0.016226053982185202
Position 18720: 0.016048480409862516
Position 17838: 0.015228459119676449
Position 1750: 0.015043436592919446
Position 18793: 0.014296613089529437
Position 208: 0.01403767503742814
Position 12054: 0.011917903039936468
Position 18302: 0.010939759202442239
Position 18746: 0.010202702389788088
Position 578: 0.008867485768797787
Position 202: 0.008382287482857256
Position 9020: 0.0080366692084454
Position 15524: 0.006959722870062052
Position 5144: 0.006573625907902657
Position 4563: 0.006338183190309705
Position 1657: 0.005719661951845047
Position 245: 0.005694733781962571
