Gene = SASS6
index = 1225
Annotated 5SS: [  206  7074  9746 10576 11578 12562 13938 22664 25146 25328 25582 26044
 27189 30001 44817 47420]
Annotated 3SS: [ 7012  9665 10470 11405 12495 13817 22471 24950 25237 25401 25961 27051
 29871 44718 47324 47520]
SMsplice 5SS: [  206  9746 10576 11578 12562 13214 13938 22664 25146 25328 26044 27189
 30001 44817 47420]
SMsplice 3SS: [ 9665 10470 11405 12495 13113 13817 22471 24950 25237 25961 27051 29871
 44718 47324 47520]
top_k =  500
Partition function (log Z): 5.232021516490824

Sorted 5' Splice Sites (High to Low Probability):
Position 13938: 0.9992657758373651
Position 30001: 0.9848740143793348
Position 25328: 0.9312691021234989
Position 11578: 0.9202565853647225
Position 206: 0.9134812587216637
Position 10576: 0.8632045078227545
Position 25146: 0.8404171720416093
Position 26044: 0.8247781820840873
Position 9746: 0.7956782547157843
Position 22664: 0.7694578175578108
Position 13214: 0.7455223990550253
Position 27189: 0.5693816755920408
Position 12562: 0.56674384050489
Position 25582: 0.4634138071111627
Position 6304: 0.43673580167900383
Position 7074: 0.4067816461207466
Position 21273: 0.3661011837774449
Position 22853: 0.35180377596139933
Position 22253: 0.2438159735522826
Position 29149: 0.24046840613775128
Position 5423: 0.23782910325298418
Position 20268: 0.2138012272597024
Position 27208: 0.1836001603055489
Position 12587: 0.1542909124385178
Position 13499: 0.1447733335213458
Position 39319: 0.1416608473168279
Position 13234: 0.13747942582772413
Position 36964: 0.11257808981636772
Position 7017: 0.10892647738748876
Position 6438: 0.1019100704522872
Position 21430: 0.0832855325664154
Position 22119: 0.07063652680167701
Position 26048: 0.059117768861443175
Position 25451: 0.05522576733996517
Position 211: 0.052723436727196316
Position 26938: 0.051223142694795304
Position 26074: 0.04783293384819152
Position 9084: 0.0444725840402376
Position 11810: 0.04205704555251636
Position 3302: 0.04070234227440058
Position 25038: 0.039456527083039455
Position 17714: 0.03818826159869715
Position 35637: 0.03459344255139911
Position 7109: 0.03264874316588759
Position 180: 0.026087758548230266
Position 628: 0.02193658615512145
Position 10244: 0.020067474624910205
Position 10862: 0.019209877491001517
Position 6791: 0.015073304361361886
Position 35272: 0.012789375054910011
Position 14956: 0.011392826703935667
Position 14564: 0.010995536944460087
Position 13556: 0.010369392007284973
Position 29707: 0.009446952172884092
Position 32144: 0.008423789252605379
Position 6520: 0.008138220696075726
Position 17799: 0.0076470696560921566
Position 26907: 0.006892075299179306
Position 23396: 0.006851416200803871
Position 1304: 0.006782989684237176
Position 25779: 0.00621163764011559
Position 1133: 0.006050567165582797
Position 4496: 0.005969442187710859
Position 5229: 0.005382996546303348
Position 36945: 0.005078781000607843
Position 6870: 0.004927089860410199
Position 712: 0.004901792354627845
Position 33723: 0.00484866400905147
Position 196: 0.004421884087054938
Position 11731: 0.004419228064040224
Position 5527: 0.004342737640407713
Position 950: 0.004250071621859356
Position 13220: 0.0040915752695820104
Position 1123: 0.0040357907601316426
Position 11854: 0.0036511375224071154
Position 17407: 0.0034637611564318936
Position 21594: 0.003441234046503005
Position 12769: 0.0033949984584338982
Position 5792: 0.0033066378053515717
Position 35252: 0.0028177633230308213
Position 6673: 0.0024854348801928317
Position 33651: 0.00235676993974488
Position 31447: 0.0023456290388760626
Position 3079: 0.0021165738216063555
Position 32627: 0.00192908838880011
Position 3391: 0.0018336943409333637
Position 11773: 0.00180838022842324
Position 3539: 0.0017269863091318137
Position 13069: 0.0016704914441811915
Position 6090: 0.0015915174933145099
Position 25803: 0.0015775514705188166
Position 6440: 0.0015618507209567145
Position 1079: 0.001461471779357925
Position 3395: 0.001385703261185741
Position 21325: 0.0013390186505117078
Position 6897: 0.001194676526090558
Position 25585: 0.0011867516137916568
Position 4023: 0.0008475630930804239
Position 4760: 0.0008422465523421118
Position 2895: 0.0008298097926463604
Position 3000: 0.0008232014513511108
Position 542: 0.0007951071924511777
Position 4670: 0.0007051107015016562
Position 25257: 0.0004893648146800279
Position 1688: 0.0004322732391569548
Position 12819: 0.00038300424725334453
Position 5653: 0.0002949186875652155
Position 16537: 0.00027379377038221086
Position 25743: 0.00020767629120711952
Position 25191: 0.00020606767633400163
Position 17914: 0.00017736044125778194
Position 247: 0.00016426975611403535
Position 14149: 0.00012932921375616153
Position 914: 4.649858387169844e-05
Position 4688: 3.9482947382191575e-05
Position 2918: 3.821901084379129e-05
Position 571: 3.659131271143507e-05
Position 14143: 3.336236359758071e-05
Position 639: 3.23516554624746e-05
Position 1344: 2.6003673032359046e-05
Position 917: 2.1432338415937133e-05
Position 241: 2.0782408960125013e-05
Position 3979: 1.9687004637200966e-05
Position 404: 1.2865794730220609e-05
Position 406: 8.684060640274222e-06
Position 235: 7.500675810531286e-06
Position 353: 5.938510984810797e-06
Position 272: 3.564270464625369e-06
Position 150: 3.537736720563083e-06
Position 304: 3.446965559265061e-06
Position 436: 2.045775173430723e-06
Position 413: 8.287985539574789e-07
Position 282: 6.677791921228112e-07
Position 373: 6.532247235369688e-07
Position 527: 2.640560904627027e-07
Position 168: 1.7323776558000496e-07
Position 306: 1.5614938036647066e-07
Position 311: 1.40778004932556e-07
Position 101: 8.080081499687342e-08
Position 225: 6.280102808687113e-08
Position 13980: 2.2175299813257056e-08
Position 356: 1.9159856744343597e-08
Position 442: 2.5498888816027213e-09
Position 155: 2.3217891030972085e-09
Position 6: 6.331167139860497e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 24950: 0.984502319131296
Position 13817: 0.9415726038950465
Position 25961: 0.9291636554683612
Position 29871: 0.8883556333737961
Position 11405: 0.8613092144787509
Position 25237: 0.817568342697555
Position 10470: 0.8145466477731202
Position 22471: 0.8046714460913482
Position 13113: 0.7685446093086976
Position 9665: 0.7012768472631922
Position 27051: 0.6869214574627845
Position 12495: 0.566201870367496
Position 39201: 0.5420133861880587
Position 6190: 0.48481674536488817
Position 21223: 0.42788813553560057
Position 7012: 0.4101988907942789
Position 22776: 0.31659014742786157
Position 41191: 0.25668755445701863
Position 25401: 0.2483069031604044
Position 5401: 0.2127767099626718
Position 22016: 0.1637895859828295
Position 25455: 0.1552164262091686
Position 22170: 0.15066291437113016
Position 29013: 0.14567469328867386
Position 6790: 0.1442797422663447
Position 36874: 0.12361965209250612
Position 47520: 0.11359688087812436
Position 20149: 0.10953311569245923
Position 40683: 0.10879536093684136
Position 29940: 0.09777064468300077
Position 12366: 0.09476868436989368
Position 13152: 0.08912419245998289
Position 29087: 0.07104205773499939
Position 20095: 0.06152462933801726
Position 12403: 0.05468466029333976
Position 13446: 0.05388663757893999
Position 10529: 0.04865786004963424
Position 9497: 0.04850160860818023
Position 9451: 0.04589979884441172
Position 17599: 0.045835331254789315
Position 13345: 0.04561051986415771
Position 8977: 0.044472584040237614
Position 11725: 0.041285517348604285
Position 40954: 0.04112917697609149
Position 20230: 0.03945591982947818
Position 11473: 0.03917543473432175
Position 35588: 0.03640137848924174
Position 25247: 0.03463424547679741
Position 13681: 0.033730457664359496
Position 6186: 0.029517394213515152
Position 25474: 0.027962228408978787
Position 27072: 0.02765357555526976
Position 13052: 0.024632440345071616
Position 504: 0.02450422179680302
Position 26726: 0.02305027767172603
Position 5310: 0.022687069986928068
Position 21152: 0.021723523411747225
Position 3159: 0.020009067488401724
Position 39197: 0.019555748693679143
Position 13301: 0.018580567767502637
Position 11418: 0.018415337178535128
Position 6345: 0.018224887781830713
Position 13475: 0.016498315960425163
Position 13878: 0.01615038128550885
Position 25485: 0.016012975520075926
Position 12995: 0.015515654961975545
Position 27089: 0.015092146715690908
Position 10138: 0.014550502196110286
Position 25512: 0.014343656953117522
Position 35128: 0.013073826632512952
Position 977: 0.012089550511593815
Position 27145: 0.012054954896104687
Position 33575: 0.011948510006461976
Position 10692: 0.01106467159588734
Position 11682: 0.010467499082742174
Position 3173: 0.010146224329234389
Position 26647: 0.00997527473097682
Position 14439: 0.009735385126102983
Position 32041: 0.009682574693664897
Position 29570: 0.009490724677349002
Position 26823: 0.009473993174013139
Position 5381: 0.009470187841906612
Position 6571: 0.009331028308365304
Position 6206: 0.009235416757747078
Position 25509: 0.008905696225714762
Position 28835: 0.008555444477586497
Position 10781: 0.008145205895114178
Position 25349: 0.007234625407604778
Position 26992: 0.007168778956002114
Position 37172: 0.007099343189173717
Position 29029: 0.006910225150961455
Position 25694: 0.006900008373267235
Position 26806: 0.006800653117749669
Position 25250: 0.006723202083084491
Position 6370: 0.006539202452099546
Position 34555: 0.006305042506089326
Position 25422: 0.00617941052766382
Position 13827: 0.006151663555130173
Position 3194: 0.005908983709004007
Position 13258: 0.005734257105637485
Position 9889: 0.005516972428799918
Position 14667: 0.005223186962650077
Position 14857: 0.005080629961236516
Position 28883: 0.005018841683937245
Position 3301: 0.004946383911250916
Position 2999: 0.004911713459316997
Position 12526: 0.004798959893856933
Position 6688: 0.004619032138269651
Position 26768: 0.004589366197147793
Position 38589: 0.00425783632722327
Position 26788: 0.004225653102361157
Position 23197: 0.004209684977439165
Position 41100: 0.0038979555120865535
Position 12934: 0.003828305516462038
Position 12660: 0.0037780027056872425
