Gene = TBCA
index = 1379
Annotated 5SS: [  157 68119 83095]
Annotated 3SS: [68012 83007 84861]
SMsplice 5SS: [  157  6813 30763 43625 61137 68119 83095]
SMsplice 3SS: [ 6698 30633 43474 61045 68012 83007 84861]
top_k =  500
Partition function (log Z): -45.193249179924685

Sorted 5' Splice Sites (High to Low Probability):
Position 157: 0.9973569738667766
Position 6813: 0.5763119482769343
Position 4835: 0.061747723157002624
Position 6349: 0.05011712184331238
Position 7336: 0.02763800542190347
Position 8872: 0.024637474246379333
Position 8313: 0.01937623350550937
Position 11283: 0.0193654650044362
Position 1354: 0.006237141818562562
Position 952: 0.005610676722996767
Position 1796: 0.004065571354309301
Position 1924: 0.003957754150678796
Position 7711: 0.0031572494800847432
Position 8283: 0.002960164486918418
Position 5512: 0.002652650763250833
Position 1198: 0.002626706673563291
Position 8069: 0.0025310988252784375
Position 2933: 0.001987032183341907
Position 4065: 0.0019380704549861248
Position 2724: 0.0018857813833775305
Position 7384: 0.0013670706381349938
Position 1720: 0.0009786842622469543
Position 2915: 0.0008344923257706396
Position 119: 0.0006300215742326358
Position 1811: 0.00019458001112227923
Position 2277: 0.00014963442678773913
Position 1896: 0.0001400146512681069
Position 998: 0.00013916372533211667
Position 1786: 0.00013332816622606465
Position 870: 0.00011851105560339993
Position 441: 0.0001118207982884031
Position 766: 7.376448796629539e-05
Position 433: 7.078381818645374e-05
Position 1978: 6.117759360528095e-05
Position 813: 5.5142327255094797e-05
Position 1857: 5.359229899207748e-05
Position 149: 4.34190632859119e-05
Position 1088: 3.164261574193695e-05
Position 444: 2.9472119066176716e-05
Position 1423: 2.6920232022454743e-05
Position 800: 2.5238122626434453e-05
Position 1307: 2.0625085681748788e-05
Position 1950: 1.8305766788584666e-05
Position 4906: 1.1704999834294356e-05
Position 4040: 1.0330451279340024e-05
Position 4486: 9.136651255867931e-06
Position 4511: 8.73079925363843e-06
Position 3852: 8.666760765986353e-06
Position 2177: 6.2318834422503985e-06
Position 3301: 5.431775488592726e-06
Position 495: 4.881383950348201e-06
Position 895: 3.60940743509528e-06
Position 1605: 3.318533505621655e-06
Position 1014: 3.1773527384880834e-06
Position 416: 2.7051829991408737e-06
Position 957: 2.6355913123791883e-06
Position 1572: 1.705047775785521e-06
Position 585: 1.3290918039656844e-06
Position 58: 1.219794634662881e-06
Position 1514: 8.609624275038666e-07
Position 913: 5.528547355267686e-07
Position 1159: 4.518601771982049e-07
Position 628: 3.637022060489286e-07
Position 1202: 3.215827052115454e-07
Position 641: 2.607496384238827e-07
Position 883: 9.239321537631952e-08
Position 408: 2.3605694810654237e-08
Position 493: 2.0758815616295996e-08
Position 1527: 1.9022750270387628e-08
Position 1658: 3.845009222896242e-09
Position 146: 1.221939585125086e-09
Position 660: 1.0927644637873753e-09
Position 401: 9.753141888460873e-10
