Gene = IL20RB
index = 691
Annotated 5SS: [  337 22728 24486 31701 34224 37692]
Annotated 3SS: [22600 24294 31575 34072 37548 52247]
SMsplice 5SS: [  337 10871 18063 22728 24486 28920 29153 31056 31701 37692]
SMsplice 3SS: [10790 17954 22629 24294 28828 29013 30965 31575 37548 52247]
top_k =  500
Partition function (log Z): -27.476694623962953

Sorted 5' Splice Sites (High to Low Probability):
Position 337: 0.9923348027648737
Position 10871: 0.7445296292841063
Position 18063: 0.33696727105082963
Position 6923: 0.23259610878938156
Position 1816: 0.14456922363289254
Position 3031: 0.11936159321844421
Position 9022: 0.11573292865437106
Position 1502: 0.11273655743045836
Position 10463: 0.06895518769052579
Position 810: 0.04262373356921516
Position 3707: 0.027239531997026525
Position 1923: 0.02072576796021231
Position 11699: 0.01673769198222238
Position 11514: 0.009048299977735222
Position 3146: 0.0038640662685383467
Position 2944: 0.0027395406194445793
Position 11599: 0.0017191241098800376
Position 341: 0.0012901866254858914
Position 1517: 0.0009853983720196269
Position 7553: 0.0008448002201103233
Position 687: 0.0005329853661716722
Position 1620: 0.00034343231627964507
Position 1147: 0.00010217535552411681
Position 1777: 7.756040482950714e-05
Position 230: 7.535188512564519e-05
Position 861: 5.8063410888344314e-05
Position 1971: 5.484816549806284e-05
Position 2847: 4.600374082251313e-05
Position 2087: 2.5455603324843663e-05
Position 384: 1.8224922527540996e-05
Position 3127: 1.1358241085294904e-05
Position 745: 5.144530449334993e-06
Position 1385: 4.5671123841322455e-06
Position 57: 2.8852625097257243e-06
Position 1520: 2.75346080346171e-06
Position 299: 2.2542506639329018e-06
Position 75: 1.734367519094021e-06
Position 1624: 1.2480174384831191e-06
Position 839: 9.924706847007129e-07
Position 325: 5.460840977748653e-07
Position 267: 5.390827551940683e-07
Position 223: 3.8821916598581364e-07
Position 289: 3.778619346063331e-07
Position 643: 3.6840115881087815e-07
Position 365: 2.7040163805823034e-07
Position 240: 6.97745764127903e-08
Position 302: 6.976982887576787e-08
Position 432: 5.994133871362546e-08
Position 665: 5.5860605254141975e-08
Position 663: 5.4151866829764855e-08
Position 420: 4.010622015281744e-08
Position 1179: 3.294832047235576e-08
Position 795: 2.410288736320819e-08
Position 1262: 1.3532408156465596e-08
Position 1041: 9.65405146667902e-09
Position 519: 8.741345187215974e-09
Position 1132: 3.3652287249352367e-09
Position 1094: 3.339280091911968e-09
Position 1092: 3.236875317300266e-09
Position 1096: 2.812335865662858e-09
Position 1090: 2.718373232339696e-09
Position 1098: 2.166771751403888e-09
Position 3: 1.615056134301192e-09
Position 542: 1.3494197306018642e-11
Position 430: 1.1225097436416733e-11
Position 444: 5.819981279489828e-12
Position 597: 2.2523803598832993e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 10790: 0.6935813785760875
Position 17954: 0.3801798662740303
Position 16585: 0.3270297939749193
Position 24294: 0.29970751697857895
Position 6776: 0.2345318029237108
Position 2919: 0.11469440659346766
Position 10181: 0.08179440574186467
Position 8904: 0.07303862658482486
Position 16876: 0.06436637700913382
Position 1624: 0.05788336034285935
Position 10829: 0.049133210513778586
Position 11661: 0.04386503035554598
Position 15109: 0.03747369544989945
Position 20101: 0.03725975407224964
Position 1223: 0.03410527272139683
Position 11307: 0.03356389977887478
Position 1643: 0.03105249428327701
Position 1444: 0.027980421584163306
Position 8970: 0.027457949899433027
Position 10613: 0.026098205134882358
Position 13286: 0.02193584864391997
Position 1293: 0.021238374089690353
Position 1807: 0.019117788656471214
Position 1655: 0.01876197320044127
Position 677: 0.01634035212894615
Position 8925: 0.014928747866737509
Position 16423: 0.014312894773015828
Position 1687: 0.013841012910603384
Position 636: 0.011647791829596757
Position 1593: 0.010855143499360311
Position 3392: 0.010774548553669066
Position 2891: 0.010672748827152021
Position 1447: 0.00809775278724957
Position 1385: 0.007920640017612236
Position 1501: 0.007798929026556435
Position 11036: 0.007509372836498821
Position 8736: 0.007170540115286592
Position 3470: 0.007047639077462577
Position 12808: 0.006708202870875306
Position 12247: 0.0063725183014435435
Position 12176: 0.005622465682731572
Position 7293: 0.005588136324067406
Position 1483: 0.004997966518914527
