Gene = PUM3
index = 1100
Annotated 5SS: [  197  5816  7062 10211 10885 12991 13280 14468 15567 17169 19525 20461
 24224 32022 32881 33898 36428]
Annotated 3SS: [ 5723  6839 10074 10808 12896 13212 14292 15462 17089 19425 20406 24142
 31878 32657 33809 36336 39777]
SMsplice 5SS: [  197  5030  5816  6513  7062  9944 10211 10885 12991 13280 15567 17169
 19525 20461 32022 33898]
SMsplice 3SS: [ 4930  5723  6392  6839  9848 10074 10808 12896 13212 15462 17089 19425
 20406 31878 33809 39777]
top_k =  500
Partition function (log Z): 10.906016674151218

Sorted 5' Splice Sites (High to Low Probability):
Position 197: 0.9993474260357537
Position 19525: 0.9933132848047811
Position 5816: 0.9693031701228056
Position 12991: 0.9585755644540823
Position 9944: 0.939083877113149
Position 15567: 0.915390370278472
Position 20461: 0.9086559567476294
Position 10211: 0.8646384873968546
Position 7062: 0.80533561814619
Position 6513: 0.7937909410950631
Position 13280: 0.7899608155384398
Position 10885: 0.6727389259247063
Position 17169: 0.6493345890363816
Position 5030: 0.5699670160431711
Position 14221: 0.5014060932184754
Position 17615: 0.3472269217874301
Position 14468: 0.3020613442458707
Position 5034: 0.2820957395672462
Position 11678: 0.2509194596067744
Position 17244: 0.24530392705131354
Position 5495: 0.2427882361468445
Position 6727: 0.23774816528093146
Position 4484: 0.17869265129058448
Position 19929: 0.12899707294548718
Position 11862: 0.12753969269370174
Position 13544: 0.12365734920864563
Position 2603: 0.12017536327462233
Position 6289: 0.11996765416087408
Position 3795: 0.08577725212548677
Position 1990: 0.0773492364012424
Position 23361: 0.07640073688632193
Position 4274: 0.0706639685728538
Position 8089: 0.06017702132692426
Position 6737: 0.05555210838876137
Position 23325: 0.05324556874851255
Position 12564: 0.04563526863421393
Position 13768: 0.03917535367154225
Position 14383: 0.03659507204815153
Position 15499: 0.03445744784567675
Position 7125: 0.026404372812228398
Position 6299: 0.024179793483541673
Position 2081: 0.02347419135761016
Position 9622: 0.023396462978328345
Position 7178: 0.021996015189126212
Position 20150: 0.021219734549558437
Position 12153: 0.02029063297491917
Position 18529: 0.017403330053796268
Position 11880: 0.017196796984404697
Position 15647: 0.017065854370435382
Position 12709: 0.016018126666613012
Position 4235: 0.015923922808388866
Position 13594: 0.01589046313450949
Position 3248: 0.015588719300107516
Position 13469: 0.015188737994252192
Position 19190: 0.014243129754044924
Position 15620: 0.013983053576087912
Position 7863: 0.012886270536504823
Position 4243: 0.01160363340521095
Position 5834: 0.011296533452852444
Position 15067: 0.011279233743161561
Position 12949: 0.010745669437784322
Position 9367: 0.010281669831510947
Position 3037: 0.010142550177666139
Position 7072: 0.010085429278468385
Position 17636: 0.008589429316854847
Position 4839: 0.007787780497141133
Position 11048: 0.00760234888318229
Position 10734: 0.007162238705506904
Position 20501: 0.007057521302621449
Position 24378: 0.0066415000657571175
Position 10683: 0.006170651487066668
Position 9591: 0.006132467051913764
Position 7161: 0.005600990213548729
Position 1240: 0.005575768871889957
Position 16616: 0.005520621650536116
Position 4309: 0.005127003719248194
Position 3204: 0.004831317366089486
Position 10428: 0.0046472359991676536
Position 5497: 0.004604725887713509
Position 17538: 0.004576398035890555
Position 12187: 0.004402533012114154
Position 5379: 0.004318745254002566
Position 2987: 0.004247599673751843
Position 19777: 0.004045916600906318
Position 17860: 0.00382238654026826
Position 16305: 0.0036442145316423133
Position 7769: 0.003594225028139221
Position 6753: 0.003568811077620347
Position 2010: 0.0034125174664790497
Position 1673: 0.003203799382012219
Position 2877: 0.0028763009768578863
Position 1142: 0.0027296261270532093
Position 4509: 0.0026622570693111865
Position 10261: 0.0026585307709313093
Position 9928: 0.002464099425985157
Position 431: 0.002382247008788426
Position 7050: 0.00231528065632211
Position 23114: 0.0022952666019075475
Position 24224: 0.0021851764678975033
Position 16053: 0.0019007168212359753
Position 1214: 0.001890177973511042
Position 1464: 0.0015914308653526786
Position 4044: 0.0015732048025440945
Position 1134: 0.0011409170841992287
Position 13090: 0.0007910467769871881
Position 15575: 0.0007176615642723156
Position 10193: 0.0006271009497068938
Position 6256: 0.0006268314741147037
Position 13231: 0.0006098390164404404
Position 5461: 0.0005912703035175982
Position 19983: 0.000543167510318076
Position 6195: 0.0005402982747725384
Position 10435: 0.0003860588286400663
Position 7717: 0.00030800322707926506
Position 1929: 0.0002402528789841541
Position 20452: 0.00023741249637090266
Position 10235: 0.0001982615931049397
Position 826: 0.00018238371831160233
