Gene = PODXL2
index = 1048
Annotated 5SS: [  109 10343 31979 33131 39417 40022 42433]
Annotated 3SS: [10063 31196 33055 39259 39959 42252 43086]
SMsplice 5SS: [  109 24699 31454 33131 34345 39173 39417 40022 42433]
SMsplice 3SS: [24555 31196 33055 34261 38968 39259 39959 42252 43086]
top_k =  500
Partition function (log Z): -24.978740697006035

Sorted 5' Splice Sites (High to Low Probability):
Position 109: 0.7409791848414627
Position 387: 0.25471024457839136
Position 7055: 0.2403554183789606
Position 2197: 0.1734674058614373
Position 10799: 0.1283110820987619
Position 6923: 0.11822637041619967
Position 8594: 0.038624521790576134
Position 6852: 0.02673974144539167
Position 576: 0.021142208727517972
Position 10343: 0.01548574275196942
Position 275: 0.014700421936849617
Position 1438: 0.013922953904967388
Position 1877: 0.009631529289692882
Position 4117: 0.006199381786692716
Position 2845: 0.0051088083136911384
Position 2023: 0.004820131649852295
Position 5837: 0.004366922880392145
Position 5014: 0.004310052024807654
Position 1397: 0.003919270248708518
Position 1335: 0.0038059825506302656
Position 7554: 0.0020528941567171206
Position 826: 0.0016754916706825237
Position 7068: 0.0016195048555204764
Position 7921: 0.0013152577365592659
Position 6999: 0.0010921197034615493
Position 3155: 0.0009576421424514285
Position 4843: 0.0009513422022327714
Position 1789: 0.0007687879825411678
Position 1026: 0.0007661559989919123
Position 766: 0.0006256305228614339
Position 113: 0.0005932973510963366
Position 627: 0.000490039038143821
Position 951: 0.0004145541365341986
Position 102: 0.0003353200398951635
Position 544: 0.00015739449513716338
Position 939: 0.00013934986630828803
Position 1233: 0.00010548280434165101
Position 6521: 7.29710469385099e-05
Position 4803: 3.261360084072166e-05
Position 335: 2.8804497921759414e-05
Position 2122: 1.3016386258350292e-05
Position 4696: 5.118958132746038e-06
Position 445: 1.5806605916271212e-06
Position 429: 6.911690475107535e-07
Position 271: 5.538132853033491e-07
Position 433: 3.166008430741748e-07
Position 441: 3.0614808597081867e-07
Position 641: 2.2056812777748358e-07
Position 161: 1.9847661497027784e-07
Position 201: 1.9668252445447165e-07
Position 768: 1.2193557122977028e-07
Position 592: 1.0567649387945826e-07
Position 855: 9.681322265562963e-08
Position 1182: 7.123425854524168e-08
Position 1253: 6.405186189934347e-08
Position 1229: 5.0420135578623636e-08
