Gene = ADCK2
index = 27
Annotated 5SS: [ 1111  1605  6131  7985 14089 16573 17661]
Annotated 3SS: [ 1457  6001  7888 13836 16443 17606 21509]
SMsplice 5SS: [  350  1605  6131  7985 14089 16573]
SMsplice 3SS: [ 1457  6001  7888 13836 16443 21509]
top_k =  500
Partition function (log Z): -3.9565900436764037

Sorted 5' Splice Sites (High to Low Probability):
Position 1605: 0.9975808085709055
Position 16573: 0.907108812030173
Position 6131: 0.8947644838543968
Position 14089: 0.7938335141573863
Position 7985: 0.7135726793103816
Position 350: 0.42727035386488194
Position 1111: 0.38017316403173174
Position 15528: 0.3764880253246227
Position 3011: 0.24640618322049057
Position 17661: 0.1905983811539178
Position 3071: 0.10794444594314027
Position 325: 0.0786293761715729
Position 6124: 0.0785128080403922
Position 17044: 0.06321928995778898
Position 346: 0.05023990190480888
Position 19998: 0.04801729594861322
Position 15336: 0.04620693138070829
Position 5527: 0.04564754052564694
Position 17696: 0.044242605579341156
Position 7720: 0.04250391616583134
Position 2762: 0.04198704999226555
Position 228: 0.03495279287497334
Position 7705: 0.03311645229789453
Position 16581: 0.032384607619587266
Position 4910: 0.027821700260010542
Position 4781: 0.02773825634124091
Position 4659: 0.02747454941130645
Position 86: 0.027180154740939613
Position 4974: 0.024132273400920976
Position 18769: 0.016124205610035903
Position 920: 0.014575772800166099
Position 11190: 0.014526728621431636
Position 31: 0.011608239687051746
Position 385: 0.0108937044535785
Position 5456: 0.01028421659540413
Position 15496: 0.009946404790789575
Position 2282: 0.009008310533156092
Position 15517: 0.008298049303215656
Position 5039: 0.008187480376946273
Position 5119: 0.006503833577425359
Position 336: 0.006273147800381496
Position 499: 0.006040104911999392
Position 4625: 0.005794129303335457
Position 208: 0.005737971251264234
Position 17486: 0.005145140271576969
Position 2125: 0.004079415201072611
Position 5903: 0.0039529219899246655
Position 19733: 0.003783930107490744
Position 2507: 0.0034302656604559144
Position 2376: 0.0033439890208552137
Position 2803: 0.003244105911950085
Position 3062: 0.0032400874999630415
Position 2784: 0.00287075482595436
Position 3529: 0.002763630888122279
Position 1385: 0.0021740576914636143
Position 495: 0.002130866622010745
Position 12997: 0.002036093295062136
Position 17683: 0.0018899133028293363
Position 5424: 0.001545971044598508
Position 817: 0.0011382118393728354
Position 5127: 0.0011307397499636129
Position 1060: 0.0010747095002094321
Position 2072: 0.0010512132942043122
Position 5329: 0.0010371123788886923
Position 1696: 0.00100084144465925
Position 181: 0.0009974540321934133
Position 328: 0.0009259420178212308
Position 4801: 0.000866408308421767
Position 6298: 0.0007117621763036486
Position 3078: 0.0006494464162639623
Position 6663: 0.0006297784319746289
Position 2601: 0.0005527523650934185
Position 5263: 0.0005518059744022817
Position 1627: 0.000521990031399132
Position 697: 0.0005118100471636403
Position 2030: 0.00047553151739460916
Position 1027: 0.0004392952230311038
Position 691: 0.00038529899925311744
