Gene = PHAX
index = 1021
Annotated 5SS: [  791  3916  8217 17066]
Annotated 3SS: [ 3301  8095 16981 24306]
SMsplice 5SS: [  165   791  3916  8217 17066]
SMsplice 3SS: [  675  3822  8095 16981 24306]
top_k =  500
Partition function (log Z): -0.23133391092496014

Sorted 5' Splice Sites (High to Low Probability):
Position 17066: 0.997231040053156
Position 8217: 0.9970966315880871
Position 3916: 0.9564336966076737
Position 791: 0.9554227453116786
Position 3402: 0.5145539068935238
Position 47: 0.37202077720831755
Position 165: 0.36841256428192815
Position 6708: 0.2582949950456105
Position 430: 0.20565470341865302
Position 16823: 0.2014509471586879
Position 2218: 0.17956320704897832
Position 266: 0.16719942133575627
Position 4140: 0.15250985779495652
Position 9388: 0.0880890006892126
Position 9599: 0.07742605508075213
Position 15032: 0.06775916955706757
Position 287: 0.06750104463612258
Position 16883: 0.06325919771919278
Position 6742: 0.0582754283030138
Position 3609: 0.05401280929621412
Position 13773: 0.05230157348516952
Position 6051: 0.04925429808544936
Position 19699: 0.047263373474330565
Position 19970: 0.042286704311808004
Position 181: 0.035726097238726204
Position 3390: 0.03511171380008803
Position 10057: 0.03504533695520435
Position 10045: 0.03322391910590608
Position 15638: 0.030918219559247954
Position 19780: 0.024805069922213808
Position 808: 0.02196638015279249
Position 10581: 0.016174188577705043
Position 6194: 0.013159134646636905
Position 14124: 0.011080518056720348
Position 12013: 0.010035365696416464
Position 22501: 0.009858350833001196
Position 19250: 0.008937507311534688
Position 9783: 0.008690108282581313
Position 22631: 0.0068314399433011715
Position 12029: 0.006708708572039435
Position 18937: 0.00598633718589992
Position 6868: 0.005147590634572051
Position 2522: 0.004610699935157723
Position 4277: 0.004421193957621787
Position 13635: 0.004325084262678929
Position 5708: 0.004139850789774883
Position 2023: 0.0034864188875149394
Position 497: 0.003436129207024345
Position 3159: 0.002883648533767982
Position 12292: 0.0026266619840247555
Position 2554: 0.002538163459928541
Position 20061: 0.0024587799118104886
Position 865: 0.0021278336572275757
Position 9819: 0.002088564654840573
Position 28: 0.0019376065199420748
Position 2679: 0.0016263090235482162
Position 543: 0.001524928065501596
Position 1677: 0.001372654311975135
Position 362: 0.0010839762482586356
Position 512: 0.0008978572769445096
Position 20943: 0.0008305893403536406
Position 3248: 0.0007461323861082245
Position 3411: 0.0006845226410079842
Position 3365: 0.0006779051320511417
Position 707: 0.0005992767966953041
Position 1187: 0.0005849123775150185
Position 191: 0.0004883420820238422
Position 5037: 0.0003865624207983373
Position 871: 0.0002879667017654344
Position 8611: 0.00021539268703638396
Position 5835: 0.00020579181867521273
Position 5232: 0.00020209166516360117
Position 2108: 0.00018368398302852126
Position 298: 0.00018134930513793372
Position 10: 0.0001735115116716274
Position 812: 0.00014166616803901587
Position 924: 0.00013671852405528504
