Gene = IARS2
index = 671
Annotated 5SS: [  382  2125  6548  8176  8311  8503  8676  9461 11959 13050 16836 20373
 31238 32742 40409 42810 43942 45038 46188 47847 49033 51552]
Annotated 3SS: [ 2001  6387  8026  8260  8392  8584  9344 11788 12958 16683 20211 31134
 32647 40299 42706 43815 44905 46080 47700 48841 51406 53390]
SMsplice 5SS: [  382  1514  1680  2125  6548  8176  8503  8676  9461 11959 13050 16836
 19276 22524 31238 32742 42810 45038 46188 51552]
SMsplice 3SS: [ 1385  1596  2001  6387  8026  8392  8584  9344 11788 12958 16683 19229
 22321 31134 32647 42706 44905 46080 51406 53390]
top_k =  500
Partition function (log Z): 20.423222893861308

Sorted 5' Splice Sites (High to Low Probability):
Position 32742: 0.9999999188362666
Position 42810: 0.9952267315922164
Position 2125: 0.9933761695481604
Position 51552: 0.9910658295051185
Position 6548: 0.9887564365859638
Position 22524: 0.9880428887069281
Position 382: 0.9621905058278917
Position 8503: 0.9516799987783409
Position 16836: 0.9245754057882746
Position 8176: 0.8819414675177081
Position 45038: 0.864662275145104
Position 13050: 0.857621091021579
Position 46188: 0.8351391348748467
Position 1514: 0.835078002763939
Position 8676: 0.7784933374113727
Position 9461: 0.7419870299072623
Position 19276: 0.6994838644885132
Position 1680: 0.5233132803722345
Position 9669: 0.4992756470402227
Position 11959: 0.49365480826611935
Position 11915: 0.4603046623188373
Position 20373: 0.3594296094295712
Position 2406: 0.3269588254865282
Position 49033: 0.32032296957527556
Position 6019: 0.2170002788779595
Position 8680: 0.19640794838882317
Position 21733: 0.17725323538901036
Position 4342: 0.15867611906106285
Position 6121: 0.13307388194407105
Position 652: 0.12732026647476813
Position 25256: 0.12607716106758202
Position 8329: 0.12354691053643228
Position 8311: 0.11325791373343382
Position 13674: 0.11294882223327837
Position 1080: 0.10413208096753176
Position 13092: 0.09087193369739184
Position 7459: 0.0835309256620225
Position 12338: 0.0587635954819694
Position 9249: 0.044227918140283325
Position 12081: 0.036564959026410465
Position 11439: 0.03478274852483892
Position 4595: 0.03075625133968274
Position 1466: 0.029268131368786244
Position 8924: 0.02879417624172588
Position 6818: 0.027242778580848122
Position 13046: 0.023495114538805678
Position 238: 0.02294734914666738
Position 478: 0.02291119514187521
Position 1661: 0.020599115639762994
Position 21669: 0.01897773111025322
Position 2730: 0.01891945613927386
Position 10155: 0.017895527161066124
Position 9706: 0.015634795309179286
Position 243: 0.014578687401502505
Position 2762: 0.013898521540152005
Position 13348: 0.012605681541099242
Position 5996: 0.012308299131756127
Position 8130: 0.01196812987772488
Position 53519: 0.011541243257525058
Position 670: 0.01127941575408262
Position 8201: 0.010051394534722657
Position 6756: 0.009682942313160163
Position 1551: 0.008879911587854668
Position 719: 0.007216961651296703
Position 8166: 0.006930691709577498
Position 1900: 0.006570788654709911
Position 4509: 0.006321893139586931
Position 8145: 0.0057454349143880356
Position 1788: 0.00521707531693604
Position 11537: 0.005132882006186364
Position 484: 0.004980789690661596
